+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------+-------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-old | patched-old-munro | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------+-------------------+-----+-------------------------------------+----------+
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4          | 0.96        | 2.03              | 6   | 19273,19413,19553,19274,19414,19554 | 111.46   |
| 15  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 256        | 7.52        | 14.61             | 6   | 21403,21543,21683,21404,21544,21684 | 94.28    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1524288    | 384.35      | 656.3             | 6   | 24408,24548,24688,24409,24549,24689 | 70.76    |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 32         | 4.65        | 7.89              | 6   | 25168,25308,25448,25169,25309,25449 | 69.68    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 32         | 1.78        | 2.91              | 6   | 6778,6903,7028,6779,6904,7029       | 63.48    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 1          | 0.58        | 0.94              | 6   | 18843,18983,19123,18844,18984,19124 | 62.07    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 262144     | 82.99       | 133.24            | 6   | 23553,23693,23833,23554,23694,23834 | 60.55    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 3024288    | 770.92      | 1214.32           | 6   | 23583,23723,23863,23584,23724,23864 | 57.52    |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 128        | 8.19        | 12.39             | 6   | 24758,24898,25038,24759,24899,25039 | 51.28    |
| 14  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 512        | 9.23        | 13.88             | 6   | 19728,19868,20008,19729,19869,20009 | 50.38    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 11.02       | 16.53             | 6   | 18478,18618,18758,18479,18619,18759 | 50.0     |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 1          | 0.74        | 1.09              | 6   | 7128,7253,7378,7129,7254,7379       | 47.3     |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 32         | 4.83        | 6.98              | 6   | 778,903,1028,779,904,1029           | 44.51    |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 128        | 6.65        | 9.61              | 6   | 5288,5413,5538,5289,5414,5539       | 44.51    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4024288    | 1213.47     | 1748.46           | 6   | 18973,19113,19253,18974,19114,19254 | 44.09    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4024288    | 1244.02     | 1758.73           | 6   | 24433,24573,24713,24434,24574,24714 | 41.37    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 256        | 10.33       | 14.54             | 6   | 29383,29523,29663,29384,29524,29664 | 40.76    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 128        | 10.04       | 14.1              | 6   | 28118,28258,28398,28119,28259,28399 | 40.44    |
