+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1          | 0.91     | 1.68     | 6   | 3001,3126,3251,3002,3127,3252       | 84.62    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 3524288    | 873.38   | 1536.02  | 6   | 18966,19106,19246,18967,19107,19247 | 75.87    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4024288    | 995.18   | 1733.32  | 6   | 18971,19111,19251,18972,19112,19252 | 74.17    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4524288    | 1108.14  | 1916.11  | 6   | 18976,19116,19256,18977,19117,19257 | 72.91    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 1524288    | 392.34   | 667.54   | 6   | 18946,19086,19226,18947,19087,19227 | 70.14    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2024288    | 525.62   | 893.24   | 6   | 24411,24551,24691,24412,24552,24692 | 69.94    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024288    | 272.95   | 457.49   | 6   | 24401,24541,24681,24402,24542,24682 | 67.61    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 4524288    | 1117.25  | 1869.53  | 6   | 18136,18276,18416,18137,18277,18417 | 67.33    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 78.57    | 131.24   | 6   | 18091,18231,18371,18092,18232,18372 | 67.04    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 3024288    | 752.28   | 1216.87  | 6   | 18121,18261,18401,18122,18262,18402 | 61.76    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 4024288    | 1023.44  | 1655.18  | 6   | 23591,23731,23871,23592,23732,23872 | 61.73    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 48.34    | 76.45    | 6   | 18086,18226,18366,18087,18227,18367 | 58.15    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 2524288    | 625.39   | 952.47   | 6   | 18956,19096,19236,18957,19097,19237 | 52.3     |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 0.87     | 1.31     | 6   | 1501,1626,1751,1502,1627,1752       | 50.57    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 3024288    | 739.87   | 1113.61  | 6   | 18961,19101,19241,18962,19102,19242 | 50.51    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 262144     | 79.88    | 120.12   | 6   | 23551,23691,23831,23552,23692,23832 | 50.38    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 2524288    | 618.18   | 928.37   | 6   | 18116,18256,18396,18117,18257,18397 | 50.18    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 1524288    | 389.15   | 577.63   | 6   | 23566,23706,23846,23567,23707,23847 | 48.43    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 131072     | 45.98    | 67.95    | 6   | 23546,23686,23826,23547,23687,23827 | 47.78    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 146.82   | 215.78   | 6   | 23556,23696,23836,23557,23697,23837 | 46.97    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4024288    | 1017.1   | 1494.76  | 6   | 24431,24571,24711,24432,24572,24712 | 46.96    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 1524288    | 382.81   | 558.18   | 6   | 18106,18246,18386,18107,18247,18387 | 45.81    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 2024288    | 509.47   | 739.92   | 6   | 18111,18251,18391,18112,18252,18392 | 45.23    |
