+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+---------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-munro | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+---------------+-----+-------------------------------------+-----------+----------+
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4524288    | 6976.94  | 7958.59       | 6   | 29476,29616,29756,29480,29620,29760 | 981.65    | 14.07    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 4524288    | 6953.78  | 7933.81       | 6   | 27376,27516,27656,27380,27520,27660 | 980.03    | 14.09    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 4024288    | 6190.75  | 7134.44       | 6   | 27371,27511,27651,27375,27515,27655 | 943.69    | 15.24    |
| 14  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 4024288    | 4216.1   | 5050.31       | 6   | 20651,20791,20931,20655,20795,20935 | 834.21    | 19.79    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4524288    | 1112.13  | 1933.85       | 6   | 24436,24576,24716,24440,24580,24720 | 821.72    | 73.89    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 3524288    | 5436.46  | 6243.33       | 6   | 29466,29606,29746,29470,29610,29750 | 806.87    | 14.84    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4024288    | 6266.02  | 7062.5        | 6   | 29471,29611,29751,29475,29615,29755 | 796.48    | 12.71    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4524288    | 1108.14  | 1888.61       | 6   | 18976,19116,19256,18980,19120,19260 | 780.47    | 70.43    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 3524288    | 5418.32  | 6169.74       | 6   | 27366,27506,27646,27370,27510,27650 | 751.42    | 13.87    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4024288    | 995.18   | 1741.4        | 6   | 18971,19111,19251,18975,19115,19255 | 746.22    | 74.98    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | desc       | 4524288    | 6957.13  | 7688.23       | 6   | 28636,28776,28916,28640,28780,28920 | 731.1     | 10.51    |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4524288    | 2464.14  | 3188.95       | 6   | 31156,31296,31436,31160,31300,31440 | 724.81    | 29.41    |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4524288    | 2457.05  | 3168.16       | 6   | 25696,25836,25976,25700,25840,25980 | 711.11    | 28.94    |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4024288    | 2172.59  | 2878.18       | 6   | 31151,31291,31431,31155,31295,31435 | 705.59    | 32.48    |
| 14  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 4524288    | 4754.88  | 5452.22       | 6   | 20656,20796,20936,20660,20800,20940 | 697.34    | 14.67    |
| 15  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4024288    | 4254.68  | 4948.78       | 6   | 22751,22891,23031,22755,22895,23035 | 694.1     | 16.31    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 19787.36 | 20480.36      | 6   | 6496,6621,6746,6500,6625,6750       | 693.0     | 3.5      |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 4524288    | 1117.25  | 1796.33       | 6   | 18136,18276,18416,18140,18280,18420 | 679.08    | 60.78    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 3024288    | 4648.7   | 5317.37       | 6   | 27361,27501,27641,27365,27505,27645 | 668.67    | 14.38    |
| 15  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4524288    | 4801.82  | 5469.38       | 6   | 22756,22896,23036,22760,22900,23040 | 667.56    | 13.9     |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4024288    | 1017.1   | 1679.01       | 6   | 24431,24571,24711,24435,24575,24715 | 661.91    | 65.08    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | asc         | desc       | 4024288    | 6175.79  | 6837.33       | 6   | 28631,28771,28911,28635,28775,28915 | 661.54    | 10.71    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3524288    | 895.06   | 1545.36       | 6   | 24426,24566,24706,24430,24570,24710 | 650.3     | 72.65    |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4024288    | 2176.24  | 2823.45       | 6   | 25691,25831,25971,25695,25835,25975 | 647.21    | 29.74    |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 3024288    | 4675.21  | 5320.31       | 6   | 29461,29601,29741,29465,29605,29745 | 645.1     | 13.8     |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 4524288    | 1121.41  | 1740.71       | 6   | 23596,23736,23876,23600,23740,23880 | 619.3     | 55.23    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 4524288    | 6931.73  | 7546.14       | 6   | 26536,26676,26816,26540,26680,26820 | 614.41    | 8.86     |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 3524288    | 873.38   | 1480.08       | 6   | 18966,19106,19246,18970,19110,19250 | 606.7     | 69.47    |
| 14  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 4524288    | 4716.12  | 5294.16       | 6   | 19816,19956,20096,19820,19960,20100 | 578.04    | 12.26    |
| 14  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 3524288    | 3695.78  | 4271.4        | 6   | 20646,20786,20926,20650,20790,20930 | 575.62    | 15.58    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 2524288    | 3880.71  | 4450.92       | 6   | 27356,27496,27636,27360,27500,27640 | 570.21    | 14.69    |
| 15  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | desc       | 4524288    | 4770.99  | 5337.35       | 6   | 21916,22056,22196,21920,22060,22200 | 566.36    | 11.87    |
