+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-old-munro | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------------+-----+-------------------------------------+----------+
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4          | 1.13     | 2.03              | 6   | 19271,19411,19551,19274,19414,19554 | 79.65    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4524288    | 1112.13  | 1984.91           | 6   | 24436,24576,24716,24439,24579,24719 | 78.48    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 3524288    | 873.38   | 1558.49           | 6   | 18966,19106,19246,18969,19109,19249 | 78.44    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4524288    | 1108.14  | 1968.57           | 6   | 18976,19116,19256,18979,19119,19259 | 77.65    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 4024288    | 995.18   | 1748.46           | 6   | 18971,19111,19251,18974,19114,19254 | 75.69    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 3024288    | 739.87   | 1297.51           | 6   | 18961,19101,19241,18964,19104,19244 | 75.37    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 2524288    | 625.39   | 1091.1            | 6   | 18956,19096,19236,18959,19099,19239 | 74.47    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 1024288    | 264.07   | 458.69            | 6   | 18101,18241,18381,18104,18244,18384 | 73.7     |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4024288    | 1017.1   | 1758.73           | 6   | 24431,24571,24711,24434,24574,24714 | 72.92    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 3524288    | 896.69   | 1533.41           | 6   | 18126,18266,18406,18129,18269,18409 | 71.01    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3524288    | 895.06   | 1527.59           | 6   | 24426,24566,24706,24429,24569,24709 | 70.67    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3024288    | 763.66   | 1303.0            | 6   | 24421,24561,24701,24424,24564,24704 | 70.63    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 1524288    | 392.34   | 668.83            | 6   | 18946,19086,19226,18949,19089,19229 | 70.47    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 128036     | 210.07   | 354.33            | 6   | 10961,11086,11211,10964,11089,11214 | 68.67    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 1024288    | 268.62   | 448.85            | 6   | 18941,19081,19221,18944,19084,19224 | 67.09    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 262144     | 79.88    | 133.24            | 6   | 23551,23691,23831,23554,23694,23834 | 66.8     |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2024288    | 525.62   | 870.5             | 6   | 24411,24551,24691,24414,24554,24694 | 65.61    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 2524288    | 618.18   | 1020.03           | 6   | 18116,18256,18396,18119,18259,18399 | 65.01    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 1          | 0.57     | 0.94              | 6   | 18841,18981,19121,18844,18984,19124 | 64.91    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 524288     | 144.23   | 237.78            | 6   | 24396,24536,24676,24399,24539,24679 | 64.86    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1524288    | 398.35   | 656.3             | 6   | 24406,24546,24686,24409,24549,24689 | 64.75    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 146.82   | 239.92            | 6   | 23556,23696,23836,23559,23699,23839 | 63.41    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 262144     | 78.13    | 127.21            | 6   | 24391,24531,24671,24394,24534,24674 | 62.82    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 524288     | 144.17   | 234.51            | 6   | 18936,19076,19216,18939,19079,19219 | 62.66    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | asc        | 2024288    | 516.11   | 838.23            | 6   | 18951,19091,19231,18954,19094,19234 | 62.41    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 131072     | 45.98    | 74.19             | 6   | 23546,23686,23826,23549,23689,23829 | 61.35    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 1524288    | 382.81   | 617.31            | 6   | 18106,18246,18386,18109,18249,18389 | 61.26    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024288    | 272.95   | 438.84            | 6   | 24401,24541,24681,24404,24544,24684 | 60.78    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2524288    | 674.96   | 1081.8            | 6   | 24416,24556,24696,24419,24559,24699 | 60.28    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 3024288    | 758.62   | 1214.32           | 6   | 23581,23721,23861,23584,23724,23864 | 60.07    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 2024288    | 509.47   | 813.99            | 6   | 18111,18251,18391,18114,18254,18394 | 59.77    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 2524288    | 641.47   | 1021.15           | 6   | 23576,23716,23856,23579,23719,23859 | 59.19    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 3524288    | 876.78   | 1394.16           | 6   | 23586,23726,23866,23589,23729,23869 | 59.01    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 4524288    | 1121.41  | 1779.57           | 6   | 23596,23736,23876,23599,23739,23879 | 58.69    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 4524288    | 1117.25  | 1770.06           | 6   | 18136,18276,18416,18139,18279,18419 | 58.43    |
| 16  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 2024288    | 530.24   | 838.73            | 6   | 23571,23711,23851,23574,23714,23854 | 58.18    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 4024288    | 1015.36  | 1602.59           | 6   | 18131,18271,18411,18134,18274,18414 | 57.83    |
| 13  | 60         | 10000000 | 5000000   | 156250   | 4096    | 32    | 2    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 78.57    | 123.5             | 6   | 18091,18231,18371,18094,18234,18374 | 57.18    |
