+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------+----------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-old-munro |  master  | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------+----------+-----+-------------------------------------+----------+----------+
| 9   | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 10060.68          | 53683.28 | 6   | 13249,13374,13499,13246,13371,13496 | 43622.6  | 433.59   |
| 9   | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 9886.54           | 53471.26 | 6   | 12499,12624,12749,12496,12621,12746 | 43584.72 | 440.85   |
| 12  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 9798.75           | 53242.85 | 6   | 16624,16749,16874,16621,16746,16871 | 43444.1  | 443.36   |
| 12  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 10282.21          | 53721.71 | 6   | 17374,17499,17624,17371,17496,17621 | 43439.5  | 422.47   |
| 12  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 8927.79           | 48282.46 | 6   | 17369,17494,17619,17366,17491,17616 | 39354.67 | 440.81   |
| 10  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 12185.36          | 50923.25 | 6   | 13999,14124,14249,13996,14121,14246 | 38737.89 | 317.91   |
| 9   | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 9044.44           | 47742.12 | 6   | 13244,13369,13494,13241,13366,13491 | 38697.68 | 427.86   |
| 11  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 12112.99          | 50740.07 | 6   | 15124,15249,15374,15121,15246,15371 | 38627.08 | 318.89   |
| 11  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 12301.76          | 50926.45 | 6   | 15874,15999,16124,15871,15996,16121 | 38624.69 | 313.98   |
| 10  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 12327.06          | 50947.9  | 6   | 14749,14874,14999,14746,14871,14996 | 38620.84 | 313.3    |
| 9   | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 8814.31           | 47350.52 | 6   | 12494,12619,12744,12491,12616,12741 | 38536.21 | 437.2    |
| 12  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 8766.85           | 47273.14 | 6   | 16619,16744,16869,16616,16741,16866 | 38506.29 | 439.23   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 4524288    | 12636.74          | 49293.13 | 6   | 25279,25419,25559,25276,25416,25556 | 36656.39 | 290.08   |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | worker   | 12        | 16  | decrease  | desc        | asc        | 4524288    | 12460.56          | 48811.37 | 6   | 29899,30039,30179,29896,30036,30176 | 36350.81 | 291.73   |
| 17  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4524288    | 13287.12          | 49571.38 | 6   | 26119,26259,26399,26116,26256,26396 | 36284.26 | 273.08   |
| 20  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4524288    | 12909.73          | 48789.24 | 6   | 30739,30879,31019,30736,30876,31016 | 35879.51 | 277.93   |
| 19  | 20         | 10000000 | 5000000   | 476191   | 1024    | 512   | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4524288    | 11569.9           | 45994.3  | 6   | 29059,29199,29339,29056,29196,29336 | 34424.4  | 297.53   |
| 10  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 10983.8           | 45317.42 | 6   | 14744,14869,14994,14741,14866,14991 | 34333.62 | 312.58   |
| 11  | 20         | 10000000 | 625000    | 476191   | 1       | 2     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 10770.25          | 45103.53 | 6   | 15119,15244,15369,15116,15241,15366 | 34333.28 | 318.78   |
