+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched  |  master  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------+-----+-------------------------------------+----------+
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 2048       | 43.24    | 604.29   | 6   | 807,932,1057,806,931,1056           | 1297.53  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 4096       | 86.28    | 1186.07  | 6   | 5687,5812,5937,5686,5811,5936       | 1274.68  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 84.37    | 1155.49  | 6   | 3812,3937,4062,3811,3936,4061       | 1269.55  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 44.58    | 598.07   | 6   | 1932,2057,2182,1931,2056,2181       | 1241.57  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 4096       | 86.38    | 1156.04  | 6   | 812,937,1062,811,936,1061           | 1238.32  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 4096       | 87.39    | 1161.35  | 6   | 2687,2812,2937,2686,2811,2936       | 1228.93  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 84.59    | 1121.54  | 6   | 4937,5062,5187,4936,5061,5186       | 1225.85  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8192       | 160.79   | 2092.46  | 6   | 3817,3942,4067,3816,3941,4066       | 1201.36  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 8192       | 164.04   | 2132.5   | 6   | 5692,5817,5942,5691,5816,5941       | 1199.99  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 88.95    | 1132.16  | 6   | 3062,3187,3312,3061,3186,3311       | 1172.8   |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 8192       | 165.05   | 2100.05  | 6   | 817,942,1067,816,941,1066           | 1172.37  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4096       | 89.83    | 1133.87  | 6   | 1937,2062,2187,1936,2061,2186       | 1162.24  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2048       | 48.61    | 612.57   | 6   | 3807,3932,4057,3806,3931,4056       | 1160.17  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 8192       | 167.42   | 2107.7   | 6   | 1942,2067,2192,1941,2066,2191       | 1158.93  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 89.3     | 1123.67  | 6   | 62,187,312,61,186,311               | 1158.31  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048       | 50.22    | 623.86   | 6   | 5682,5807,5932,5681,5806,5931       | 1142.25  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 47.66    | 592.05   | 6   | 57,182,307,56,181,306               | 1142.24  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 2048       | 47.64    | 587.55   | 6   | 3057,3182,3307,3056,3181,3306       | 1133.31  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 172.45   | 2108.22  | 6   | 67,192,317,66,191,316               | 1122.51  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 49.88    | 609.73   | 6   | 2682,2807,2932,2681,2806,2931       | 1122.39  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 8192       | 173.11   | 2115.76  | 6   | 2692,2817,2942,2691,2816,2941       | 1122.21  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 167.72   | 2042.24  | 6   | 4942,5067,5192,4941,5066,5191       | 1117.65  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 49.12    | 595.47   | 6   | 4932,5057,5182,4931,5056,5181       | 1112.28  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 170.37   | 2039.44  | 6   | 3067,3192,3317,3066,3191,3316       | 1097.07  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 1024       | 26.0     | 308.41   | 6   | 1927,2052,2177,1926,2051,2176       | 1086.19  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 1024       | 26.16    | 306.64   | 6   | 802,927,1052,801,926,1051           | 1072.17  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 1024       | 27.16    | 312.6    | 6   | 2677,2802,2927,2676,2801,2926       | 1050.96  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 16384      | 313.01   | 3583.51  | 6   | 822,947,1072,821,946,1071           | 1044.85  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 310.63   | 3533.56  | 6   | 4947,5072,5197,4946,5071,5196       | 1037.55  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 16384      | 325.66   | 3679.91  | 6   | 2697,2822,2947,2696,2821,2946       | 1029.99  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1024       | 26.97    | 303.24   | 6   | 3052,3177,3302,3051,3176,3301       | 1024.36  |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 16384      | 325.74   | 3646.19  | 6   | 5697,5822,5947,5696,5821,5946       | 1019.36  |
| 1   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 323.78   | 3622.84  | 6   | 72,197,322,71,196,321               | 1018.92  |
| 2   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 328.21   | 3656.73  | 6   | 1947,2072,2197,1946,2071,2196       | 1014.14  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 1024       | 27.85    | 310.26   | 6   | 3802,3927,4052,3801,3926,4051       | 1014.04  |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 16384      | 330.65   | 3634.73  | 6   | 3822,3947,4072,3821,3946,4071       | 999.27   |
| 3   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 16384      | 320.99   | 3528.52  | 6   | 3072,3197,3322,3071,3196,3321       | 999.26   |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024       | 29.69    | 317.39   | 6   | 5677,5802,5927,5676,5801,5926       | 969.01   |
| 4   | 40         | 10000000 | 625000    | 238096   | 1048576 | 32    | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 29.42    | 307.89   | 6   | 4927,5052,5177,4926,5051,5176       | 946.53   |
