+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched-old-munro | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------------+-----+-------------------------------------+----------+----------+
| 7   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 5308.16       | 11925.42          | 6   | 9860,9985,10110,9859,9984,10109     | 6617.26  | 124.66   |
| 7   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 11048.69      | 17444.89          | 6   | 9125,9250,9375,9124,9249,9374       | 6396.2   | 57.89    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 11727.45      | 17699.13          | 6   | 6495,6620,6745,6494,6619,6744       | 5971.68  | 50.92    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 440536     | 10317.01      | 15549.8           | 6   | 7240,7365,7490,7239,7364,7489       | 5232.79  | 50.72    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 16594.17      | 19904.14          | 6   | 7250,7375,7500,7249,7374,7499       | 3309.97  | 19.95    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 14056.95      | 17153.99          | 6   | 8000,8125,8250,7999,8124,8249       | 3097.04  | 22.03    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 16771.27      | 19813.82          | 6   | 10625,10750,10875,10624,10749,10874 | 3042.55  | 18.14    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 14791.86      | 17815.4           | 6   | 7245,7370,7495,7244,7369,7494       | 3023.54  | 20.44    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 14707.57      | 17713.81          | 6   | 11370,11495,11620,11369,11494,11619 | 3006.24  | 20.44    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 440536     | 10277.71      | 13088.64          | 6   | 6490,6615,6740,6489,6614,6739       | 2810.93  | 27.35    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 11946.41      | 14726.01          | 6   | 10620,10745,10870,10619,10744,10869 | 2779.6   | 23.27    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 440536     | 11586.94      | 13691.38          | 6   | 9115,9240,9365,9114,9239,9364       | 2104.44  | 18.16    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 315536     | 7862.32       | 9867.27           | 6   | 7980,8105,8230,7979,8104,8229       | 2004.95  | 25.5     |
| 7   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 315536     | 7837.27       | 9723.05           | 6   | 9105,9230,9355,9104,9229,9354       | 1885.78  | 24.06    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 378036     | 9611.76       | 11464.51          | 6   | 7985,8110,8235,7984,8109,8234       | 1852.75  | 19.28    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1       | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 315536     | 9351.95       | 11179.82          | 6   | 7230,7355,7480,7229,7354,7479       | 1827.87  | 19.55    |
