+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 8539.13                | 19857.05                   | 6   | 36708,36897,37086,36706,36895,37084 | 11317.92 | 132.54   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9109.64                | 20248.17                   | 6   | 37842,38031,38220,37840,38029,38218 | 11138.53 | 122.27   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8402.48                | 19478.87                   | 6   | 37835,38024,38213,37833,38022,38211 | 11076.39 | 131.82   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7192.0                 | 18255.5                    | 6   | 36694,36883,37072,36692,36881,37070 | 11063.5  | 153.83   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 7888.8                 | 18936.33                   | 6   | 36701,36890,37079,36699,36888,37077 | 11047.53 | 140.04   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7662.1                 | 18640.16                   | 6   | 37828,38017,38206,37826,38015,38204 | 10978.06 | 143.28   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6860.23                | 17672.5                    | 6   | 37821,38010,38199,37819,38008,38197 | 10812.27 | 157.61   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6377.73                | 17047.08                   | 6   | 36687,36876,37065,36685,36874,37063 | 10669.35 | 167.29   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6025.96                | 16490.78                   | 6   | 37814,38003,38192,37812,38001,38190 | 10464.82 | 173.66   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 5633.9                 | 15951.49                   | 6   | 36680,36869,37058,36678,36867,37056 | 10317.59 | 183.13   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1012144    | 5217.11                | 15427.35                   | 6   | 37807,37996,38185,37805,37994,38183 | 10210.24 | 195.71   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 4891.6                 | 14900.13                   | 6   | 36673,36862,37051,36671,36860,37049 | 10008.53 | 204.61   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 762144     | 4436.82                | 14361.59                   | 6   | 37800,37989,38178,37798,37987,38176 | 9924.77  | 223.69   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 762144     | 4155.96                | 13974.82                   | 6   | 36666,36855,37044,36664,36853,37042 | 9818.86  | 236.26   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 512144     | 3658.01                | 13069.25                   | 6   | 37793,37982,38171,37791,37980,38169 | 9411.24  | 257.28   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 512144     | 3396.83                | 12621.2                    | 6   | 36659,36848,37037,36657,36846,37035 | 9224.37  | 271.56   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 262144     | 2722.31                | 11572.86                   | 6   | 37786,37975,38164,37784,37973,38162 | 8850.55  | 325.11   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1762144    | 6259.49                | 14783.24                   | 6   | 38395,38584,38773,38393,38582,38771 | 8523.75  | 136.17   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2012144    | 6912.86                | 15433.94                   | 6   | 38402,38591,38780,38400,38589,38778 | 8521.08  | 123.26   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2262144    | 7529.38                | 16015.65                   | 6   | 38409,38598,38787,38407,38596,38785 | 8486.27  | 112.71   |
