+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba |  master  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------+-----+-------------------------------------+----------+
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 15.34                  | 213.24   | 6   | 15645,15820,15995,15639,15814,15989 | 1290.09  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 18.88                  | 258.96   | 6   | 12495,12670,12845,12489,12664,12839 | 1271.61  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024       | 10.59                  | 142.12   | 6   | 16688,16863,17038,16682,16857,17032 | 1242.02  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 17.09                  | 228.69   | 6   | 11445,11620,11795,11439,11614,11789 | 1238.15  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 2048       | 15.84                  | 211.29   | 6   | 13020,13195,13370,13014,13189,13364 | 1233.9   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 8.94                   | 118.92   | 6   | 8813,8988,9163,8807,8982,9157       | 1230.2   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 2048       | 17.97                  | 238.48   | 6   | 9870,10045,10220,9864,10039,10214   | 1227.1   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 8.93                   | 117.95   | 6   | 15638,15813,15988,15632,15807,15982 | 1220.83  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2048       | 17.83                  | 231.58   | 6   | 14070,14245,14420,14064,14239,14414 | 1198.82  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048       | 19.91                  | 258.37   | 6   | 16695,16870,17045,16689,16864,17039 | 1197.69  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1024       | 9.03                   | 116.93   | 6   | 13013,13188,13363,13007,13182,13357 | 1194.91  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 16.53                  | 211.93   | 6   | 8820,8995,9170,8814,8989,9164       | 1182.09  |
