+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 17939.9  | 18255.5                    | 6   | 36688,36877,37066,36692,36881,37070 | 315.6    | 1.76     |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 631072     | 1172.49  | 1398.53                    | 6   | 2332,2514,2696,2336,2518,2700       | 226.04   | 19.28    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1762144    | 14617.08 | 14783.24                   | 6   | 38389,38578,38767,38393,38582,38771 | 166.16   | 1.14     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 631072     | 596.96   | 756.11                     | 6   | 8338,8520,8702,8342,8524,8706       | 159.15   | 26.66    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 631072     | 1254.63  | 1413.36                    | 6   | 3424,3606,3788,3428,3610,3792       | 158.73   | 12.65    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 506072     | 946.94   | 1100.52                    | 6   | 2325,2507,2689,2329,2511,2693       | 153.58   | 16.22    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 881072     | 4488.69  | 4633.12                    | 6   | 5622,5804,5986,5626,5808,5990       | 144.43   | 3.22     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 381072     | 361.16   | 496.84                     | 6   | 1226,1408,1590,1230,1412,1594       | 135.68   | 37.57    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 131072     | 9973.64  | 10090.28                   | 6   | 36639,36828,37017,36643,36832,37021 | 116.64   | 1.17     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 381072     | 358.65   | 474.72                     | 6   | 7232,7414,7596,7236,7418,7600       | 116.07   | 32.36    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 256072     | 517.8    | 583.28                     | 6   | 6133,6315,6497,6137,6319,6501       | 65.48    | 12.65    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 1006072    | 1966.86  | 2030.69                    | 6   | 3445,3627,3809,3449,3631,3813       | 63.83    | 3.25     |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 1131072    | 2102.38  | 2164.63                    | 6   | 2360,2542,2724,2364,2546,2728       | 62.25    | 2.96     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1131072    | 2326.57  | 2378.13                    | 6   | 6182,6364,6546,6186,6368,6550       | 51.56    | 2.22     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1006072    | 6577.58  | 6626.4                     | 6   | 715,897,1079,719,901,1083           | 48.82    | 0.74     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1512144    | 13855.4  | 13903.2                    | 6   | 38382,38571,38760,38386,38575,38764 | 47.8     | 0.34     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 1131072    | 5242.12  | 5289.89                    | 6   | 4544,4726,4908,4548,4730,4912       | 47.77    | 0.91     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1006072    | 944.76   | 991.31                     | 6   | 8359,8541,8723,8363,8545,8727       | 46.55    | 4.93     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 18594.24 | 18640.16                   | 6   | 37822,38011,38200,37826,38015,38204 | 45.92    | 0.25     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 762144     | 13930.8  | 13974.82                   | 6   | 36660,36849,37038,36664,36853,37042 | 44.02    | 0.32     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 20206.39 | 20248.17                   | 6   | 37836,38025,38214,37840,38029,38218 | 41.78    | 0.21     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 1131072    | 7389.08  | 7426.82                    | 6   | 1814,1996,2178,1818,2000,2182       | 37.74    | 0.51     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 7866.19  | 7903.06                    | 6   | 38340,38529,38718,38344,38533,38722 | 36.87    | 0.47     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 881072     | 822.82   | 858.81                     | 6   | 162,344,526,166,348,530             | 35.99    | 4.37     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 127.51   | 163.31                     | 6   | 120,302,484,124,306,488             | 35.8     | 28.08    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 756072     | 1405.18  | 1439.33                    | 6   | 2339,2521,2703,2343,2525,2707       | 34.15    | 2.43     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 631072     | 1270.82  | 1304.53                    | 6   | 6154,6336,6518,6158,6340,6522       | 33.71    | 2.65     |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 131072     | 266.35   | 299.11                     | 6   | 3396,3578,3760,3400,3582,3764       | 32.76    | 12.3     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 506072     | 3187.19  | 3218.21                    | 6   | 1779,1961,2143,1783,1965,2147       | 31.02    | 0.97     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 631072     | 2935.44  | 2964.85                    | 6   | 4516,4698,4880,4520,4702,4884       | 29.41    | 1.0      |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1131072    | 7383.41  | 7412.06                    | 6   | 722,904,1086,726,908,1090           | 28.65    | 0.39     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 381072     | 2366.97  | 2394.55                    | 6   | 1772,1954,2136,1776,1958,2140       | 27.58    | 1.17     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 756072     | 4886.43  | 4913.31                    | 6   | 1793,1975,2157,1797,1979,2161       | 26.88    | 0.55     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1131072    | 5929.71  | 5956.57                    | 6   | 5636,5818,6000,5640,5822,6004       | 26.86    | 0.45     |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 7048576    | 4370.58  | 4397.43                    | 6   | 20364,20567,20770,20368,20571,20774 | 26.85    | 0.61     |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 9048576    | 733.42   | 759.92                     | 6   | 25250,25453,25656,25254,25457,25660 | 26.5     | 3.61     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 631072     | 1172.84  | 1199.02                    | 6   | 5062,5244,5426,5066,5248,5430       | 26.18    | 2.23     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 262144     | 10924.32 | 10950.43                   | 6   | 36646,36835,37024,36650,36839,37028 | 26.11    | 0.24     |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 5101.43  | 5127.39                    | 6   | 23416,23619,23822,23420,23623,23826 | 25.96    | 0.51     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 506072     | 942.9    | 966.73                     | 6   | 5055,5237,5419,5059,5241,5423       | 23.83    | 2.53     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 381072     | 1934.98  | 1957.58                    | 6   | 5594,5776,5958,5598,5780,5962       | 22.6     | 1.17     |
