+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------+-----+-------------------------------------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 4.99                             | 13.01                  | 6   | 43378,43567,43756,43379,43568,43757 | 160.72   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 64         | 2.92                             | 7.17                   | 6   | 40536,40725,40914,40537,40726,40915 | 145.55   |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 65.48                            | 140.27                 | 6   | 7216,7398,7580,7217,7399,7581       | 114.22   |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 35.25                            | 70.03                  | 6   | 111,293,475,112,294,476             | 98.67    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 19.56                            | 38.52                  | 6   | 7202,7384,7566,7203,7385,7567       | 96.93    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 18.85                            | 36.08                  | 6   | 104,286,468,105,287,469             | 91.41    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1103.26                          | 2098.92                | 6   | 70818,71021,71224,70819,71022,71225 | 90.25    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 71.12                            | 135.05                 | 6   | 51960,52135,52310,51961,52136,52311 | 89.89    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 128        | 9.04                             | 17.05                  | 6   | 41110,41299,41488,41111,41300,41489 | 88.61    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 5048576    | 693.5                            | 1300.84                | 6   | 62880,63083,63286,62881,63084,63287 | 87.58    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 256072     | 250.55                           | 468.74                 | 6   | 7230,7412,7594,7231,7413,7595       | 87.08    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 10.38                            | 19.26                  | 6   | 97,279,461,98,280,462               | 85.55    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 66.37                            | 122.93                 | 6   | 118,300,482,119,301,483             | 85.22    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 35.7                             | 65.53                  | 6   | 7209,7391,7573,7210,7392,7574       | 83.56    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 506072     | 482.46                           | 883.14                 | 6   | 7244,7426,7608,7245,7427,7609       | 83.05    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 9048576    | 1277.52                          | 2330.93                | 6   | 70825,71028,71231,70826,71029,71232 | 82.46    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 881072     | 834.27                           | 1518.25                | 6   | 167,349,531,168,350,532             | 81.99    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 506072     | 482.42                           | 873.26                 | 6   | 146,328,510,147,329,511             | 81.02    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 1131072    | 1073.06                          | 1938.28                | 6   | 181,363,545,182,364,546             | 80.63    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1131072    | 1072.78                          | 1935.52                | 6   | 7279,7461,7643,7280,7462,7644       | 80.42    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 631072     | 601.46                           | 1083.99                | 6   | 153,335,517,154,336,518             | 80.23    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 3048576    | 425.37                           | 766.24                 | 6   | 69565,69768,69971,69566,69769,69972 | 80.13    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 506072     | 483.46                           | 870.35                 | 6   | 1238,1420,1602,1239,1421,1603       | 80.03    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 756072     | 711.11                           | 1276.84                | 6   | 1252,1434,1616,1253,1435,1617       | 79.56    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1006072    | 948.29                           | 1699.57                | 6   | 8364,8546,8728,8365,8547,8729       | 79.22    |
