+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------------------+-----+-------------------------------------+----------+----------+
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1244.94                      | 2328.72                            | 6   | 62905,63108,63311,62906,63109,63312 | 1083.78  | 87.05    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 2290.94                      | 3308.37                            | 6   | 64123,64326,64529,64124,64327,64530 | 1017.43  | 44.41    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 9048576    | 1237.13                      | 2249.5                             | 6   | 69604,69807,70010,69605,69808,70011 | 1012.37  | 81.83    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1113.98                      | 2083.54                            | 6   | 70815,71018,71221,70816,71019,71222 | 969.56   | 87.04    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 9048576    | 2482.78                      | 3431.43                            | 6   | 67168,67371,67574,67169,67372,67575 | 948.65   | 38.21    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 8048576    | 2189.71                      | 3135.52                            | 6   | 68379,68582,68785,68380,68583,68786 | 945.81   | 43.19    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 1149.57                      | 2027.41                            | 6   | 53070,53245,53420,53071,53246,53421 | 877.84   | 76.36    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1118.03                      | 1975.71                            | 6   | 69597,69800,70003,69598,69801,70004 | 857.68   | 76.71    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 7048576    | 971.29                       | 1804.91                            | 6   | 62891,63094,63297,62892,63095,63298 | 833.62   | 85.83    |
