+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------+-----+-------------------------------------+----------+
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 7048576    | 965.24   | 1784.91                      | 6   | 61671,61874,62077,61673,61876,62079 | 84.92    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 524288     | 46.82    | 80.75                        | 6   | 17270,17473,17676,17272,17475,17678 | 72.47    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 8          | 0.74     | 1.23                         | 6   | 3844,4026,4208,3846,4028,4210       | 66.22    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 7048576    | 964.41   | 1581.03                      | 6   | 70806,71009,71212,70808,71011,71214 | 63.94    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 45.85    | 73.18                        | 6   | 25187,25390,25593,25189,25392,25595 | 59.61    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 7.5      | 11.9                         | 6   | 25166,25369,25572,25168,25371,25574 | 58.67    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 5048576    | 701.35   | 1110.57                      | 6   | 62875,63078,63281,62877,63080,63283 | 58.35    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8048576    | 1098.2   | 1711.77                      | 6   | 61678,61881,62084,61680,61883,62086 | 55.87    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 1.49     | 2.31                         | 6   | 20259,20462,20665,20261,20464,20667 | 55.03    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 1.8      | 2.79                         | 6   | 70666,70869,71072,70668,70871,71074 | 55.0     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 512        | 2.04     | 3.15                         | 6   | 7162,7344,7526,7164,7346,7528       | 54.41    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256072     | 244.07   | 374.94                       | 6   | 8317,8499,8681,8319,8501,8683       | 53.62    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 2.72     | 4.1                          | 6   | 7169,7351,7533,7171,7353,7535       | 50.74    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 378036     | 770.82   | 1156.42                      | 6   | 51997,52172,52347,51999,52174,52349 | 50.02    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 16         | 0.96     | 1.43                         | 6   | 2759,2941,3123,2761,2943,3125       | 48.96    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 2          | 0.21     | 0.31                         | 6   | 20798,21001,21204,20800,21003,21206 | 47.62    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 1024288    | 154.26   | 227.57                       | 6   | 87417,87613,87809,87419,87615,87811 | 47.52    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 3048576    | 251.72   | 371.11                       | 6   | 17291,17494,17697,17293,17496,17699 | 47.43    |
