+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 3056.75                    | 6006.65  | 6   | 28761,28950,29139,28757,28946,29135 | 2949.9  | 96.5     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 262144     | 1706.37                    | 4650.36  | 2   | 38918,38914                         | 2943.99 | 172.53   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 65536      | 868.96                     | 3774.38  | 3   | 38904,38900,39089                   | 2905.42 | 334.36   |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 3009.52                    | 5892.99  | 6   | 27634,27823,28012,27630,27819,28008 | 2883.47 | 95.81    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 3699.41                    | 6543.42  | 6   | 16252,16427,16602,16248,16423,16598 | 2844.01 | 76.88    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 440536     | 3311.8                     | 6141.04  | 6   | 16245,16420,16595,16241,16416,16591 | 2829.24 | 85.43    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 378036     | 2855.66                    | 5684.49  | 6   | 16238,16413,16588,16234,16409,16584 | 2828.83 | 99.06    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 131072     | 1324.8                     | 4149.81  | 2   | 38911,38907                         | 2825.01 | 213.24   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 440536     | 3022.72                    | 5812.27  | 6   | 9420,9595,9770,9416,9591,9766       | 2789.55 | 92.29    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 315536     | 2471.94                    | 5237.35  | 6   | 16231,16406,16581,16227,16402,16577 | 2765.41 | 111.87   |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 2736.64                    | 5502.03  | 6   | 27627,27816,28005,27623,27812,28001 | 2765.39 | 101.05   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 3425.95                    | 6190.67  | 6   | 9427,9602,9777,9423,9598,9773       | 2764.72 | 80.7     |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 3745.63                    | 6507.68  | 6   | 9434,9609,9784,9430,9605,9780       | 2762.05 | 73.74    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 512144     | 2477.73                    | 5238.28  | 6   | 37224,37413,37602,37220,37409,37598 | 2760.55 | 111.41   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 762144     | 3176.68                    | 5933.83  | 6   | 37231,37420,37609,37227,37416,37605 | 2757.15 | 86.79    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 870.69                     | 3626.32  | 6   | 37203,37392,37581,37199,37388,37577 | 2755.63 | 316.49   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1262144    | 4462.39                    | 7211.48  | 6   | 37245,37434,37623,37241,37430,37619 | 2749.09 | 61.61    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1512144    | 5020.75                    | 7766.05  | 6   | 37252,37441,37630,37248,37437,37626 | 2745.3  | 54.68    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2262144    | 6589.83                    | 9334.14  | 6   | 37273,37462,37651,37269,37458,37647 | 2744.31 | 41.64    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 2730.75                    | 5470.98  | 6   | 28754,28943,29132,28750,28939,29128 | 2740.23 | 100.35   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 4149.53                    | 6882.17  | 6   | 16259,16434,16609,16255,16430,16605 | 2732.64 | 65.85    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1762144    | 5581.37                    | 8307.07  | 6   | 37259,37448,37637,37255,37444,37633 | 2725.7  | 48.84    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2012144    | 6127.53                    | 8840.66  | 6   | 37266,37455,37644,37262,37451,37640 | 2713.13 | 44.28    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 3232.38                    | 5935.14  | 6   | 35005,35194,35383,35001,35190,35379 | 2702.76 | 83.62    |
