+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 32768      | 568.76                 | 3545.0                     | 6   | 38332,38521,38710,38330,38519,38708 | 523.29   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 65536      | 949.86                 | 5911.51                    | 6   | 38339,38528,38717,38337,38526,38715 | 522.36   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 16384      | 319.35                 | 1986.78                    | 6   | 38325,38514,38703,38323,38512,38701 | 522.13   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 16384      | 494.23                 | 2925.21                    | 6   | 39459,39648,39837,39457,39646,39835 | 491.87   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 32768      | 898.87                 | 5312.56                    | 6   | 39466,39655,39844,39464,39653,39842 | 491.03   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 32768      | 905.07                 | 5344.15                    | 6   | 44002,44191,44380,44000,44189,44378 | 490.47   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 88.9                   | 523.73                     | 6   | 38311,38500,38689,38309,38498,38687 | 489.12   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 65536      | 1512.68                | 8824.75                    | 6   | 44009,44198,44387,44007,44196,44385 | 483.39   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8192       | 271.92                 | 1582.36                    | 6   | 43988,44177,44366,43986,44175,44364 | 481.92   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 1510.89                | 8775.23                    | 6   | 39473,39662,39851,39471,39660,39849 | 480.8    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 16384      | 511.75                 | 2967.86                    | 6   | 43995,44184,44373,43993,44182,44371 | 479.94   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 32768      | 693.91                 | 4021.27                    | 6   | 42868,43057,43246,42866,43055,43244 | 479.51   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 8192       | 266.16                 | 1534.99                    | 6   | 39452,39641,39830,39450,39639,39828 | 476.72   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 32768      | 784.06                 | 4518.77                    | 6   | 41167,41356,41545,41165,41354,41543 | 476.33   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 65536      | 1149.72                | 6606.76                    | 6   | 42875,43064,43253,42873,43062,43251 | 474.64   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 171.09                 | 979.2                      | 6   | 38318,38507,38696,38316,38505,38694 | 472.33   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32768      | 788.73                 | 4508.27                    | 6   | 36631,36820,37009,36629,36818,37007 | 471.59   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 32768      | 834.91                 | 4769.3                     | 6   | 37765,37954,38143,37763,37952,38141 | 471.24   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 16384      | 483.76                 | 2753.42                    | 6   | 42294,42483,42672,42292,42481,42670 | 469.17   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 65536      | 1306.83                | 7437.86                    | 6   | 41174,41363,41552,41172,41361,41550 | 469.15   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 8192       | 248.21                 | 1404.12                    | 6   | 37751,37940,38129,37749,37938,38127 | 465.7    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 1461.21                | 8262.58                    | 6   | 42308,42497,42686,42306,42495,42684 | 465.46   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 32768      | 870.71                 | 4916.4                     | 6   | 42301,42490,42679,42299,42488,42677 | 464.64   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 16384      | 465.1                  | 2599.58                    | 6   | 37758,37947,38136,37756,37945,38134 | 458.93   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 1436.49                | 7954.5                     | 6   | 37772,37961,38150,37770,37959,38148 | 453.75   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 65536      | 1338.89                | 7376.09                    | 6   | 36638,36827,37016,36636,36825,37014 | 450.91   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 16384      | 442.42                 | 2426.08                    | 6   | 41160,41349,41538,41158,41347,41536 | 448.37   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 1445.88                | 7903.06                    | 6   | 38346,38535,38724,38344,38533,38722 | 446.59   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 16384      | 391.2                  | 2134.14                    | 6   | 42861,43050,43239,42859,43048,43237 | 445.54   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16384      | 444.21                 | 2354.04                    | 6   | 36624,36813,37002,36622,36811,37000 | 429.94   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 131072     | 2273.31                | 11913.37                   | 6   | 44016,44205,44394,44014,44203,44392 | 424.05   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 8192       | 239.21                 | 1230.78                    | 6   | 36617,36806,36995,36615,36804,36993 | 414.52   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 131072     | 1973.78                | 10090.28                   | 6   | 36645,36834,37023,36643,36832,37021 | 411.22   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 131072     | 2278.7                 | 11641.35                   | 6   | 39480,39669,39858,39478,39667,39856 | 410.88   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 8192       | 260.56                 | 1328.56                    | 6   | 42287,42476,42665,42285,42474,42663 | 409.89   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 131072     | 1696.88                | 8652.03                    | 6   | 42882,43071,43260,42880,43069,43258 | 409.88   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 8192       | 243.3                  | 1228.01                    | 6   | 41153,41342,41531,41151,41340,41529 | 404.73   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 131072     | 1942.48                | 9753.12                    | 6   | 41181,41370,41559,41179,41368,41557 | 402.1    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 8192       | 222.42                 | 1115.99                    | 6   | 42854,43043,43232,42852,43041,43230 | 401.75   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2048       | 75.13                  | 373.79                     | 6   | 43974,44163,44352,43972,44161,44350 | 397.52   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 131072     | 2149.56                | 10619.02                   | 6   | 37779,37968,38157,37777,37966,38155 | 394.01   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 131072     | 2202.81                | 10843.78                   | 6   | 42315,42504,42693,42313,42502,42691 | 392.27   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4096       | 144.12                 | 694.99                     | 6   | 43981,44170,44359,43979,44168,44357 | 382.23   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 4096       | 126.25                 | 604.32                     | 6   | 36610,36799,36988,36608,36797,36986 | 378.67   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1024       | 34.25                  | 162.61                     | 6   | 36596,36785,36974,36594,36783,36972 | 374.77   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4096       | 117.53                 | 556.22                     | 6   | 42847,43036,43225,42845,43034,43223 | 373.26   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 262144     | 1916.26                | 8740.5                     | 6   | 38353,38542,38731,38351,38540,38729 | 356.12   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 262144     | 2929.77                | 13032.52                   | 6   | 44023,44212,44401,44021,44210,44399 | 344.83   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 4096       | 133.6                  | 590.12                     | 6   | 41146,41335,41524,41144,41333,41522 | 341.71   |
