0.56	0.6
0.71	0.58
1.1	0.92
1.06	1.15
1.1	1.25
1.25	1.47
1.52	1.37
1.76	1.07
1.9	1.72
2.64	2.27
3.15	2.86
5.05	4.07
9.34	6.32
12.66	11.07
23.01	18.64
50.29	35.37
81.66	65.76
224.18	126.91
439.87	243.23
365.35	361.16
730.73	479.37
596.47	593.88
1270.32	706.73
1051.73	857.22
1447.91	939.43
1628.35	1060.92
0.58	0.7
0.93	0.83
1.05	1.08
1.28	1.56
1.34	1.72
1.31	1.75
1.8	1.77
2.27	1.86
3.02	3.1
4.6	4.38
7.01	7.97
11.82	13.78
21.95	27.55
38.31	53.37
89.98	104.82
116.06	205.4
290.32	411.91
455.94	821.25
1122.79	1591.88
2026.43	2366.97
1782.45	3187.19
3445.28	4045.48
3451.44	4886.43
4896.5	5725.29
4639.73	6575.98
4131.33	7389.08
0.53	0.62
0.67	0.73
0.83	0.82
1.23	1.27
1.29	1.24
1.58	1.09
1.43	1.18
1.56	1.55
2.01	1.78
2.35	2.24
3.79	2.87
5.13	4.13
10.42	6.27
13.8	10.13
34.56	19.64
45.46	35.2
101.83	64.94
164.81	127.51
369.08	245.68
460.8	378.43
866.11	479.32
755.49	615.39
1264.1	705.6
1309.93	822.82
1456.42	938.72
1383.03	1072.18
0.55	0.73
0.84	0.93
1.09	1.24
1.2	1.3
1.35	1.43
1.72	1.3
1.99	1.59
2.14	2.65
3.73	3.32
4.85	4.23
8.73	8.04
12.26	14.56
20.65	26.5
41.07	52.64
75.37	104.33
149.08	208.42
296.9	413.43
467.67	816.25
1147.47	1592.33
1341.99	2370.05
1798.08	3191.75
2870.17	4045.7
3479.02	4883.62
4058.87	5751.1
5617.36	6577.58
7399.7	7383.41
0.6	0.72
1.19	0.8
1.04	1.36
1.47	1.3
1.43	1.62
1.78	1.36
1.98	1.81
1.93	2.19
2.44	2.22
2.97	3.07
4.75	4.25
7.51	6.16
12.61	10.73
21.29	18.98
47.65	35.32
77.97	69.08
180.94	137.76
359.08	266.35
518.27	513.34
951.0	762.1
1247.86	1012.43
1406.84	1254.63
1504.81	1498.52
1947.97	1734.29
2464.58	1966.86
2746.7	2210.66
0.59	0.65
0.9	0.76
1.04	1.17
1.34	0.74
1.55	1.17
1.79	1.58
1.67	1.75
2.38	2.24
2.87	3.09
4.29	3.76
6.18	7.92
12.17	13.7
20.86	25.36
27.27	46.09
51.28	92.78
152.48	181.06
245.71	354.26
487.21	707.2
730.84	1371.71
1399.08	2040.38
1856.01	2693.28
2301.25	3351.89
