+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 7048576    | 3510.31                          | 5517.54                    | 6   | 17933,18136,18339,17932,18135,18338 | 2007.23  | 57.18    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 7048576    | 3212.29                          | 5215.42                    | 6   | 25850,26053,26256,25849,26052,26255 | 2003.13  | 62.36    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 7048576    | 3814.1                           | 5752.61                    | 6   | 66548,66751,66954,66547,66750,66953 | 1938.51  | 50.82    |
| 22  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 378036     | 3728.65                          | 5633.4                     | 6   | 48852,49027,49202,48851,49026,49201 | 1904.75  | 51.08    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 6048576    | 2379.54                          | 4254.23                    | 6   | 68977,69180,69383,68976,69179,69382 | 1874.69  | 78.78    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 5048576    | 3531.27                          | 5402.83                    | 6   | 62271,62474,62677,62270,62473,62676 | 1871.56  | 53.0     |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 4024288    | 3155.54                          | 5001.87                    | 6   | 80408,80604,80800,80407,80603,80799 | 1846.33  | 58.51    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 9048576    | 5325.71                          | 7137.44                    | 6   | 19165,19368,19571,19164,19367,19570 | 1811.73  | 34.02    |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4524288    | 2309.34                          | 4055.84                    | 6   | 84531,84727,84923,84530,84726,84922 | 1746.5   | 75.63    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 9048576    | 8630.28                          | 10334.02                   | 6   | 63517,63720,63923,63516,63719,63922 | 1703.74  | 19.74    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 881072     | 4062.03                          | 5745.53                    | 6   | 713,895,1077,712,894,1076           | 1683.5   | 41.44    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 5048576    | 3238.21                          | 4896.04                    | 6   | 70188,70391,70594,70187,70390,70593 | 1657.83  | 51.2     |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | desc        | desc       | 4024288    | 2606.56                          | 4264.21                    | 6   | 82760,82956,83152,82759,82955,83151 | 1657.65  | 63.6     |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | increase  | asc         | desc       | 3524288    | 2758.21                          | 4382.72                    | 6   | 80401,80597,80793,80400,80596,80792 | 1624.51  | 58.9     |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 3524288    | 2408.68                          | 4000.28                    | 6   | 83929,84125,84321,83928,84124,84320 | 1591.6   | 66.08    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 8294.56                          | 9878.5                     | 6   | 46773,46948,47123,46772,46947,47122 | 1583.94  | 19.1     |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 8048576    | 4781.3                           | 6328.77                    | 6   | 17940,18143,18346,17939,18142,18345 | 1547.47  | 32.37    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 8058.62                          | 9592.1                     | 6   | 52548,52723,52898,52547,52722,52897 | 1533.48  | 19.03    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8048576    | 4428.95                          | 5956.89                    | 6   | 25857,26060,26263,25856,26059,26262 | 1527.94  | 34.5     |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 5048576    | 2443.99                          | 3966.08                    | 6   | 19137,19340,19543,19136,19339,19542 | 1522.09  | 62.28    |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3524288    | 2037.91                          | 3553.94                    | 6   | 85693,85889,86085,85692,85888,86084 | 1516.03  | 74.39    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 8048576    | 7636.95                          | 9149.98                    | 6   | 63510,63713,63916,63509,63712,63915 | 1513.03  | 19.81    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 9048576    | 4085.98                          | 5581.1                     | 6   | 64735,64938,65141,64734,64937,65140 | 1495.12  | 36.59    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 9048576    | 7267.77                          | 8759.32                    | 6   | 70216,70419,70622,70215,70418,70621 | 1491.55  | 20.52    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 8048576    | 7352.67                          | 8843.24                    | 6   | 62292,62495,62698,62291,62494,62697 | 1490.57  | 20.27    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 3024288    | 2315.86                          | 3795.19                    | 4   | 88038,88234,88037,88233             | 1479.33  | 63.88    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 881072     | 3194.17                          | 4656.41                    | 6   | 3989,4171,4353,3988,4170,4352       | 1462.24  | 45.78    |
