+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------+-----+-------------------------------------+----------+
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 1.07     | 1.8                        | 6   | 1142,1324,1506,1146,1328,1510       | 68.22    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 6048576    | 822.79   | 1339.38                    | 6   | 62882,63085,63288,62886,63089,63292 | 62.79    |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 4096       | 3.93     | 6.32                       | 6   | 81481,81677,81873,81485,81681,81877 | 60.81    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 1048576    | 152.43   | 241.52                     | 6   | 62847,63050,63253,62851,63054,63257 | 58.45    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 6048576    | 839.12   | 1297.92                    | 6   | 61664,61867,62070,61668,61871,62074 | 54.68    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 1.35     | 2.06                       | 6   | 2773,2955,3137,2777,2959,3141       | 52.59    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 64         | 1.58     | 2.39                       | 6   | 69448,69651,69854,69452,69655,69858 | 51.27    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 1.8      | 2.7                        | 6   | 70666,70869,71072,70670,70873,71076 | 50.0     |
| 22  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 16         | 1.44     | 2.14                       | 6   | 48728,48903,49078,48732,48907,49082 | 48.61    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2          | 0.71     | 1.05                       | 6   | 6014,6196,6378,6018,6200,6382       | 47.89    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 64         | 1.59     | 2.34                       | 6   | 67012,67215,67418,67016,67219,67422 | 47.17    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 128        | 2.18     | 3.17                       | 6   | 62147,62350,62553,62151,62354,62557 | 45.41    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 32         | 1.08     | 1.56                       | 6   | 4404,4586,4768,4408,4590,4772       | 44.44    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 1.49     | 2.15                       | 6   | 20259,20462,20665,20263,20466,20669 | 44.3     |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 256        | 2.25     | 3.24                       | 6   | 62763,62966,63169,62767,62970,63173 | 44.0     |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 2          | 0.87     | 1.25                       | 6   | 46082,46257,46432,46086,46261,46436 | 43.68    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 4096       | 2.72     | 3.89                       | 6   | 20266,20469,20672,20270,20473,20676 | 43.01    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 262144     | 40.15    | 56.11                      | 6   | 69532,69735,69938,69536,69739,69942 | 39.75    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 8          | 0.74     | 1.02                       | 6   | 3844,4026,4208,3848,4030,4212       | 37.84    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 381072     | 361.16   | 496.84                     | 6   | 1226,1408,1590,1230,1412,1594       | 37.57    |
