+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------+-----+-------------------------------------+----------+
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 16384      | 312.66                       | 1986.78                    | 6   | 38321,38510,38699,38323,38512,38701 | 535.44   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 32768      | 566.21                       | 3545.0                     | 6   | 38328,38517,38706,38330,38519,38708 | 526.09   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 65536      | 947.56                       | 5911.51                    | 6   | 38335,38524,38713,38337,38526,38715 | 523.87   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32768      | 783.36                       | 4508.27                    | 6   | 36627,36816,37005,36629,36818,37007 | 475.5    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 32768      | 841.88                       | 4769.3                     | 6   | 37761,37950,38139,37763,37952,38141 | 466.51   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 173.29                       | 979.2                      | 6   | 38314,38503,38692,38316,38505,38694 | 465.06   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 1425.78                      | 7954.5                     | 6   | 37768,37957,38146,37770,37959,38148 | 457.91   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 16384      | 466.89                       | 2599.58                    | 6   | 37754,37943,38132,37756,37945,38134 | 456.79   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 8192       | 253.34                       | 1404.12                    | 6   | 37747,37936,38125,37749,37938,38127 | 454.24   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 65536      | 1331.85                      | 7376.09                    | 6   | 36634,36823,37012,36636,36825,37014 | 453.82   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 95.25                        | 523.73                     | 6   | 38307,38496,38685,38309,38498,38687 | 449.85   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 1445.47                      | 7903.06                    | 6   | 38342,38531,38720,38344,38533,38722 | 446.75   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16384      | 438.96                       | 2354.04                    | 6   | 36620,36809,36998,36622,36811,37000 | 436.28   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 8192       | 241.57                       | 1230.78                    | 6   | 36613,36802,36991,36615,36804,36993 | 409.49   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 131072     | 1981.73                      | 10090.28                   | 6   | 36641,36830,37019,36643,36832,37021 | 409.17   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 131072     | 2151.9                       | 10619.02                   | 6   | 37775,37964,38153,37777,37966,38155 | 393.47   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 4096       | 130.11                       | 604.32                     | 6   | 36606,36795,36984,36608,36797,36986 | 364.47   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 262144     | 1919.81                      | 8740.5                     | 6   | 38349,38538,38727,38351,38540,38729 | 355.28   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 262144     | 2486.36                      | 10950.43                   | 6   | 36648,36837,37026,36650,36839,37028 | 340.42   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 262144     | 2722.37                      | 11572.86                   | 6   | 37782,37971,38160,37784,37973,38162 | 325.1    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1024       | 38.91                        | 162.61                     | 6   | 36592,36781,36970,36594,36783,36972 | 317.91   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2048       | 72.91                        | 293.13                     | 6   | 37733,37922,38111,37735,37924,38113 | 302.04   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2048       | 51.31                        | 196.2                      | 6   | 38300,38489,38678,38302,38491,38680 | 282.38   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 70.15                        | 267.97                     | 6   | 36599,36788,36977,36601,36790,36979 | 282.0    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 512144     | 2663.8                       | 9945.54                    | 6   | 38356,38545,38734,38358,38547,38736 | 273.36   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 4096       | 138.6                        | 517.03                     | 6   | 37740,37929,38118,37742,37931,38120 | 273.04   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 512144     | 3413.46                      | 12621.2                    | 6   | 36655,36844,37033,36657,36846,37035 | 269.75   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 512144     | 3645.15                      | 13069.25                   | 6   | 37789,37978,38167,37791,37980,38169 | 258.54   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 762144     | 4121.37                      | 13974.82                   | 6   | 36662,36851,37040,36664,36853,37042 | 239.08   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1024       | 30.52                        | 101.68                     | 6   | 38293,38482,38671,38295,38484,38673 | 233.16   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 762144     | 3365.13                      | 11030.61                   | 6   | 38363,38552,38741,38365,38554,38743 | 227.79   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 762144     | 4389.29                      | 14361.59                   | 6   | 37796,37985,38174,37798,37987,38176 | 227.2    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 4900.8                       | 14900.13                   | 6   | 36669,36858,37047,36671,36860,37049 | 204.03   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1012144    | 5169.58                      | 15427.35                   | 6   | 37803,37992,38181,37805,37994,38183 | 198.43   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1012144    | 4272.13                      | 12079.2                    | 6   | 38370,38559,38748,38372,38561,38750 | 182.74   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 512        | 22.7                         | 62.84                      | 6   | 36585,36774,36963,36587,36776,36965 | 176.83   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 5769.42                      | 15951.49                   | 6   | 36676,36865,37054,36678,36867,37056 | 176.48   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6048.71                      | 16490.78                   | 6   | 37810,37999,38188,37812,38001,38190 | 172.63   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6610.48                      | 17047.08                   | 6   | 36683,36872,37061,36685,36874,37063 | 157.88   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6919.25                      | 17672.5                    | 6   | 37817,38006,38195,37819,38008,38197 | 155.41   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1262144    | 5179.07                      | 12988.72                   | 6   | 38377,38566,38755,38379,38568,38757 | 150.79   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1024       | 47.26                        | 115.84                     | 6   | 37726,37915,38104,37728,37917,38106 | 145.11   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7643.84                      | 18255.5                    | 6   | 36690,36879,37068,36692,36881,37070 | 138.83   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7853.63                      | 18640.16                   | 6   | 37824,38013,38202,37826,38015,38204 | 137.34   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1512144    | 5977.55                      | 13903.2                    | 6   | 38384,38573,38762,38386,38575,38764 | 132.59   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8778.74                      | 19478.87                   | 6   | 37831,38020,38209,37833,38022,38211 | 121.89   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1762144    | 6664.66                      | 14783.24                   | 6   | 38391,38580,38769,38393,38582,38771 | 121.82   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 8605.1                       | 18936.33                   | 6   | 36697,36886,37075,36699,36888,37077 | 120.06   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2012144    | 7306.11                      | 15433.94                   | 6   | 38398,38587,38776,38400,38589,38778 | 111.25   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9656.08                      | 20248.17                   | 6   | 37838,38027,38216,37840,38029,38218 | 109.69   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 9472.49                      | 19857.05                   | 6   | 36704,36893,37082,36706,36895,37084 | 109.63   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2262144    | 7825.34                      | 16015.65                   | 6   | 38405,38594,38783,38407,38596,38785 | 104.66   |
