+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+------------------------------+-----+-------------------------------------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 5.26             | 10.46                        | 6   | 37697,37886,38075,37698,37887,38076 | 98.86    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 128        | 10.81            | 19.29                        | 6   | 43941,44130,44319,43942,44131,44320 | 78.45    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 128        | 2.34             | 4.14                         | 6   | 31467,31656,31845,31468,31657,31846 | 76.92    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 8.47             | 14.84                        | 6   | 43374,43563,43752,43375,43564,43753 | 75.21    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 6.02             | 10.16                        | 6   | 66453,66656,66859,66454,66657,66860 | 68.77    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 256        | 9.86             | 16.63                        | 6   | 37144,37333,37522,37145,37334,37523 | 68.66    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 4096       | 4.33             | 7.12                         | 6   | 62183,62386,62589,62184,62387,62590 | 64.43    |
| 38  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | desc        | desc       | 8          | 0.24             | 0.39                         | 6   | 83771,83967,84163,83772,83968,84164 | 62.5     |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 256        | 7.77             | 12.61                        | 6   | 38278,38467,38656,38279,38468,38657 | 62.29    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512        | 2.31             | 3.72                         | 6   | 70688,70891,71094,70689,70892,71095 | 61.04    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 256        | 2.5              | 4.02                         | 6   | 32041,32230,32419,32042,32231,32420 | 60.8     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256        | 11.28            | 18.03                        | 6   | 44515,44704,44893,44516,44705,44894 | 59.84    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 512        | 14.49            | 23.14                        | 6   | 41687,41876,42065,41688,41877,42066 | 59.7     |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 2.48             | 3.93                         | 6   | 16655,16830,17005,16656,16831,17006 | 58.47    |
| 22  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 32         | 1.75             | 2.75                         | 6   | 47161,47336,47511,47162,47337,47512 | 57.14    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 3.39             | 5.24                         | 6   | 26945,27134,27323,26946,27135,27324 | 54.57    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 1          | 0.79             | 1.21                         | 6   | 45551,45726,45901,45552,45727,45902 | 53.16    |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 512        | 3.94             | 5.98                         | 6   | 31481,31670,31859,31482,31671,31860 | 51.78    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 4.11             | 6.2                          | 6   | 64612,64815,65018,64613,64816,65019 | 50.85    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 6.24             | 9.4                          | 6   | 38838,39027,39216,38839,39028,39217 | 50.64    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 4048576    | 2899.4           | 4362.41                      | 6   | 63478,63681,63884,63479,63682,63885 | 50.46    |
| 35  | 100        | 10000000 | 625000    | 93458    | 1024    | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 32         | 1.27             | 1.89                         | 6   | 77044,77219,77394,77045,77220,77395 | 48.82    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 7048576    | 4422.38          | 6579.67                      | 6   | 65935,66138,66341,65936,66139,66342 | 48.78    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4048576    | 2648.33          | 3938.64                      | 6   | 70177,70380,70583,70178,70381,70584 | 48.72    |
| 34  | 100        | 10000000 | 625000    | 93458    | 1024    | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 64         | 1.32             | 1.95                         | 6   | 74951,75126,75301,74952,75127,75302 | 47.73    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 512        | 2.41             | 3.56                         | 6   | 66425,66628,66831,66426,66629,66832 | 47.72    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 2          | 0.21             | 0.31                         | 6   | 20799,21002,21205,20800,21003,21206 | 47.62    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 16         | 1.83             | 2.68                         | 6   | 9291,9466,9641,9292,9467,9642       | 46.45    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 8048576    | 4694.92          | 6854.83                      | 6   | 68987,69190,69393,68988,69191,69394 | 46.01    |
| 22  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 16         | 1.62             | 2.36                         | 6   | 47679,47854,48029,47680,47855,48030 | 45.68    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 64         | 7.3              | 10.57                        | 6   | 36563,36752,36941,36564,36753,36942 | 44.79    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 7048576    | 1092.76          | 1581.03                      | 6   | 70807,71010,71213,70808,71011,71214 | 44.68    |
| 35  | 100        | 10000000 | 625000    | 93458    | 1024    | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 32         | 1.01             | 1.46                         | 6   | 75994,76169,76344,75995,76170,76345 | 44.55    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 7.95             | 11.48                        | 6   | 38831,39020,39209,38832,39021,39210 | 44.4     |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 128        | 3.65             | 5.23                         | 6   | 34869,35058,35247,34870,35059,35248 | 43.29    |
