+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 3.45                       | 10.93                  | 6   | 44504,44693,44882,44506,44695,44884 | 216.81   |
| 15  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 64         | 1.38                       | 2.96                   | 6   | 31463,31652,31841,31465,31654,31843 | 114.49   |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 128        | 1.92                       | 4.02                   | 6   | 29202,29391,29580,29204,29393,29582 | 109.37   |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 68.63                      | 140.27                 | 6   | 7215,7397,7579,7217,7399,7581       | 104.39   |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 18.93                      | 38.52                  | 6   | 7201,7383,7565,7203,7385,7567       | 103.49   |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 140.44                     | 273.39                 | 6   | 45141,45316,45491,45143,45318,45493 | 94.67    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 36.23                      | 70.03                  | 6   | 110,292,474,112,294,476             | 93.29    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 148.38                     | 286.12                 | 6   | 61633,61836,62039,61635,61838,62041 | 92.83    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 6.8                        | 13.01                  | 6   | 43377,43566,43755,43379,43568,43757 | 91.32    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 76.03                      | 143.97                 | 6   | 69543,69746,69949,69545,69748,69951 | 89.36    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 6048576    | 833.4                      | 1576.45                | 6   | 70803,71006,71209,70805,71008,71211 | 89.16    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 64         | 5.74                       | 10.83                  | 6   | 39968,40157,40346,39970,40159,40348 | 88.68    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1244.83                    | 2347.06                | 6   | 62907,63110,63313,62909,63112,63315 | 88.54    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 19.17                      | 36.08                  | 6   | 103,285,467,105,287,469             | 88.21    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 256072     | 249.28                     | 468.74                 | 6   | 7229,7411,7593,7231,7413,7595       | 88.04    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 64         | 6.84                       | 12.82                  | 6   | 42236,42425,42614,42238,42427,42616 | 87.43    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 128        | 2.59                       | 4.85                   | 6   | 30903,31092,31281,30905,31094,31283 | 87.26    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4048576    | 561.37                     | 1047.55                | 6   | 70789,70992,71195,70791,70994,71197 | 86.61    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 2.88                       | 5.37                   | 6   | 29769,29958,30147,29771,29960,30149 | 86.46    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 7048576    | 976.47                     | 1819.73                | 6   | 62893,63096,63299,62895,63098,63301 | 86.36    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1130.45                    | 2098.92                | 6   | 70817,71020,71223,70819,71022,71225 | 85.67    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 3048576    | 430.21                     | 796.4                  | 6   | 62865,63068,63271,62867,63070,63273 | 85.12    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 5048576    | 701.9                      | 1296.54                | 6   | 70796,70999,71202,70798,71001,71204 | 84.72    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 66.82                      | 122.93                 | 6   | 117,299,481,119,301,483             | 83.97    |
