+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 |  master  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------+-----+-------------------------------------+----------+
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 2048       | 15.14                              | 211.29   | 6   | 13017,13192,13367,13014,13189,13364 | 1295.57  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 18.65                              | 258.96   | 6   | 12492,12667,12842,12489,12664,12839 | 1288.53  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024       | 10.49                              | 142.12   | 6   | 16685,16860,17035,16682,16857,17032 | 1254.81  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2048       | 17.49                              | 231.58   | 6   | 14067,14242,14417,14064,14239,14414 | 1224.07  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048       | 19.68                              | 258.37   | 6   | 16692,16867,17042,16689,16864,17039 | 1212.86  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 2048       | 18.23                              | 238.48   | 6   | 9867,10042,10217,9864,10039,10214   | 1208.17  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 16.41                              | 211.93   | 6   | 8817,8992,9167,8814,8989,9164       | 1191.47  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 9.26                               | 118.92   | 6   | 8810,8985,9160,8807,8982,9157       | 1184.23  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 1024       | 10.04                              | 128.52   | 6   | 11435,11610,11785,11432,11607,11782 | 1180.08  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 17.91                              | 228.69   | 6   | 11442,11617,11792,11439,11614,11789 | 1176.88  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1024       | 9.26                               | 117.95   | 6   | 15635,15810,15985,15632,15807,15982 | 1173.76  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 28.03                              | 353.98   | 6   | 13024,13199,13374,13021,13196,13371 | 1162.86  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 16.99                              | 213.24   | 6   | 15642,15817,15992,15639,15814,15989 | 1155.09  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 512        | 5.54                               | 69.1     | 6   | 14053,14228,14403,14050,14225,14400 | 1147.29  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 29.14                              | 360.17   | 6   | 15649,15824,15999,15646,15821,15996 | 1136.0   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 29.17                              | 360.23   | 6   | 8824,8999,9174,8821,8996,9171       | 1134.93  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4096       | 30.99                              | 381.24   | 6   | 11449,11624,11799,11446,11621,11796 | 1130.2   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 1024       | 10.92                              | 134.22   | 6   | 9860,10035,10210,9857,10032,10207   | 1129.12  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 4096       | 32.81                              | 399.46   | 6   | 9874,10049,10224,9871,10046,10221   | 1117.49  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 4096       | 35.8                               | 425.05   | 6   | 12499,12674,12849,12496,12671,12846 | 1087.29  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 1024       | 11.04                              | 130.93   | 6   | 14060,14235,14410,14057,14232,14407 | 1085.96  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 4096       | 35.88                              | 423.63   | 6   | 16699,16874,17049,16696,16871,17046 | 1080.69  |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 512        | 6.42                               | 75.79    | 6   | 16678,16853,17028,16675,16850,17025 | 1080.53  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 512        | 6.57                               | 77.3     | 6   | 12478,12653,12828,12475,12650,12825 | 1076.56  |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 1024       | 12.29                              | 141.01   | 6   | 12485,12660,12835,12482,12657,12832 | 1047.36  |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 512        | 6.18                               | 70.61    | 6   | 9853,10028,10203,9850,10025,10200   | 1042.56  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 33.36                              | 380.84   | 6   | 14074,14249,14424,14071,14246,14421 | 1041.61  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1024       | 10.26                              | 116.93   | 6   | 13010,13185,13360,13007,13182,13357 | 1039.67  |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 51.9                               | 539.79   | 6   | 13031,13206,13381,13028,13203,13378 | 940.06   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 53.37                              | 554.88   | 6   | 8831,9006,9181,8828,9003,9178       | 939.69   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 512        | 6.21                               | 63.93    | 6   | 15628,15803,15978,15625,15800,15975 | 929.47   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 512        | 6.67                               | 68.1     | 6   | 11428,11603,11778,11425,11600,11775 | 920.99   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 54.48                              | 545.91   | 6   | 15656,15831,16006,15653,15828,16003 | 902.04   |
