+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1762144    | 8479.46                      | 20663.15                   | 6   | 44061,44250,44439,44063,44252,44441 | 12183.69 | 143.68   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1262144    | 6454.81                      | 18607.2                    | 6   | 44047,44236,44425,44049,44238,44427 | 12152.39 | 188.27   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1512144    | 7484.98                      | 19575.03                   | 6   | 44054,44243,44432,44056,44245,44434 | 12090.05 | 161.52   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 9620.26                      | 21651.81                   | 6   | 44068,44257,44446,44070,44259,44448 | 12031.55 | 125.06   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 10560.76                     | 22416.8                    | 6   | 44075,44264,44453,44077,44266,44455 | 11856.04 | 112.27   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1012144    | 5526.89                      | 17148.58                   | 6   | 44040,44229,44418,44042,44231,44420 | 11621.69 | 210.28   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2012144    | 9027.64                      | 20571.79                   | 6   | 39532,39721,39910,39534,39723,39912 | 11544.15 | 127.88   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1762144    | 8354.09                      | 19825.83                   | 6   | 39525,39714,39903,39527,39716,39905 | 11471.74 | 137.32   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2262144    | 9615.89                      | 21071.43                   | 6   | 39539,39728,39917,39541,39730,39919 | 11455.54 | 119.13   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 762144     | 4663.79                      | 16113.4                    | 6   | 44033,44222,44411,44035,44224,44413 | 11449.61 | 245.5    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1012144    | 5644.94                      | 16926.13                   | 6   | 39504,39693,39882,39506,39695,39884 | 11281.19 | 199.85   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1512144    | 7622.4                       | 18897.99                   | 6   | 39518,39707,39896,39520,39709,39898 | 11275.59 | 147.93   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1262144    | 6707.13                      | 17902.92                   | 6   | 39511,39700,39889,39513,39702,39891 | 11195.79 | 166.92   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2262144    | 9608.35                      | 20673.27                   | 6   | 42374,42563,42752,42376,42565,42754 | 11064.92 | 115.16   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2012144    | 9034.32                      | 20054.62                   | 6   | 42367,42556,42745,42369,42558,42747 | 11020.3  | 121.98   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 762144     | 4594.65                      | 15537.07                   | 6   | 39497,39686,39875,39499,39688,39877 | 10942.42 | 238.16   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1512144    | 7638.49                      | 18551.62                   | 6   | 42353,42542,42731,42355,42544,42733 | 10913.13 | 142.87   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1262144    | 6683.12                      | 17552.63                   | 6   | 42346,42535,42724,42348,42537,42726 | 10869.51 | 162.64   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1762144    | 8418.31                      | 19247.58                   | 6   | 42360,42549,42738,42362,42551,42740 | 10829.27 | 128.64   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7853.63                      | 18640.16                   | 6   | 37824,38013,38202,37826,38015,38204 | 10786.53 | 137.34   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6919.25                      | 17672.5                    | 6   | 37817,38006,38195,37819,38008,38197 | 10753.25 | 155.41   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8778.74                      | 19478.87                   | 6   | 37831,38020,38209,37833,38022,38211 | 10700.13 | 121.89   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1012144    | 5579.36                      | 16241.34                   | 6   | 42339,42528,42717,42341,42530,42719 | 10661.98 | 191.1    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 512144     | 3835.94                      | 14490.3                    | 6   | 44026,44215,44404,44028,44217,44406 | 10654.36 | 277.75   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7643.84                      | 18255.5                    | 6   | 36690,36879,37068,36692,36881,37070 | 10611.66 | 138.83   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9656.08                      | 20248.17                   | 6   | 37838,38027,38216,37840,38029,38218 | 10592.09 | 109.69   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 762144     | 4551.31                      | 15075.02                   | 6   | 42332,42521,42710,42334,42523,42712 | 10523.71 | 231.22   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 512144     | 3790.25                      | 14296.08                   | 6   | 39490,39679,39868,39492,39681,39870 | 10505.83 | 277.18   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6048.71                      | 16490.78                   | 6   | 37810,37999,38188,37812,38001,38190 | 10442.07 | 172.63   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6610.48                      | 17047.08                   | 6   | 36683,36872,37061,36685,36874,37063 | 10436.6  | 157.88   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 9472.49                      | 19857.05                   | 6   | 36704,36893,37082,36706,36895,37084 | 10384.56 | 109.63   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 8605.1                       | 18936.33                   | 6   | 36697,36886,37075,36699,36888,37077 | 10331.23 | 120.06   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1012144    | 5169.58                      | 15427.35                   | 6   | 37803,37992,38181,37805,37994,38183 | 10257.77 | 198.43   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 5769.42                      | 15951.49                   | 6   | 36676,36865,37054,36678,36867,37056 | 10182.07 | 176.48   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 262144     | 2921.54                      | 13032.52                   | 6   | 44019,44208,44397,44021,44210,44399 | 10110.98 | 346.08   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 4900.8                       | 14900.13                   | 6   | 36669,36858,37047,36671,36860,37049 | 9999.33  | 204.03   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 762144     | 4389.29                      | 14361.59                   | 6   | 37796,37985,38174,37798,37987,38176 | 9972.3   | 227.2    |
