+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 |  diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------------+-----+-------------------------------------+---------+----------+
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1131072    | 4163.34                | 7399.7                             | 6   | 728,910,1092,725,907,1089           | 3236.36 | 77.73    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 1131072    | 3136.0                 | 5835.92                            | 6   | 2912,3094,3276,2909,3091,3273       | 2699.92 | 86.09    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 1131072    | 2705.15                | 5260.54                            | 6   | 4550,4732,4914,4547,4729,4911       | 2555.39 | 94.46    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1131072    | 3923.6                 | 6003.7                             | 6   | 7826,8008,8190,7823,8005,8187       | 2080.1  | 53.02    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1006072    | 3719.62                | 5617.36                            | 6   | 721,903,1085,718,900,1082           | 1897.74 | 51.02    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 4850.6                 | 6573.32                            | 6   | 62300,62503,62706,62297,62500,62703 | 1722.72 | 35.52    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 1006072    | 2978.7                 | 4677.67                            | 6   | 6727,6909,7091,6724,6906,7088       | 1698.97 | 57.04    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 881072     | 3206.26                | 4896.5                             | 6   | 1806,1988,2170,1803,1985,2167       | 1690.24 | 52.72    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 1006072    | 2810.7                 | 4478.63                            | 6   | 3997,4179,4361,3994,4176,4358       | 1667.93 | 59.34    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1006072    | 2799.63                | 4453.99                            | 6   | 5635,5817,5999,5632,5814,5996       | 1654.36 | 59.09    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 881072     | 3060.98                | 4684.69                            | 6   | 7812,7994,8176,7809,7991,8173       | 1623.71 | 53.05    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 4048576    | 2153.24                | 3654.28                            | 6   | 63483,63686,63889,63480,63683,63886 | 1501.04 | 69.71    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 9048576    | 4199.74                | 5680.12                            | 6   | 65954,66157,66360,65951,66154,66357 | 1480.38 | 35.25    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 756072     | 2635.71                | 4026.38                            | 6   | 7805,7987,8169,7802,7984,8166       | 1390.67 | 52.76    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 9048576    | 3585.83                | 4928.05                            | 6   | 68999,69202,69405,68996,69199,69402 | 1342.22 | 37.43    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 7048576    | 3893.56                | 5201.97                            | 6   | 63504,63707,63910,63501,63704,63907 | 1308.41 | 33.6     |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 3635.66                | 4918.27                            | 6   | 67774,67977,68180,67771,67974,68177 | 1282.61 | 35.28    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 506072     | 1538.96                | 2786.45                            | 6   | 6699,6881,7063,6696,6878,7060       | 1247.49 | 81.06    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 631072     | 2260.92                | 3445.28                            | 6   | 1792,1974,2156,1789,1971,2153       | 1184.36 | 52.38    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 8048576    | 3070.51                | 4198.13                            | 6   | 66556,66759,66962,66553,66756,66959 | 1127.62 | 36.72    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3048576    | 1411.64                | 2395.94                            | 6   | 67739,67942,68145,67736,67939,68142 | 984.3   | 69.73    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 1006072    | 3681.54                | 4639.73                            | 6   | 1813,1995,2177,1810,1992,2174       | 958.19  | 26.03    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 1131072    | 3361.04                | 4302.58                            | 6   | 6734,6916,7098,6731,6913,7095       | 941.54  | 28.01    |
