+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+------------------------------+-----+-------------------------------------+----------+
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 2.49                               | 5.61                         | 6   | 29768,29957,30146,29767,29956,30145 | 125.3    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 2048576    | 716.02                             | 1563.15                      | 6   | 66511,66714,66917,66510,66713,66916 | 118.31   |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 8048576    | 3141.58                            | 6854.83                      | 6   | 68989,69192,69395,68988,69191,69394 | 118.2    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 7048576    | 2769.97                            | 5995.44                      | 6   | 68982,69185,69388,68981,69184,69387 | 116.44   |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 5048576    | 1851.13                            | 4004.29                      | 6   | 66532,66735,66938,66531,66734,66937 | 116.32   |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 6048576    | 2222.44                            | 4786.75                      | 6   | 66539,66742,66945,66538,66741,66944 | 115.38   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 5.1                                | 10.97                        | 6   | 44503,44692,44881,44502,44691,44880 | 115.1    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 3133.35                            | 6717.8                       | 6   | 49396,49571,49746,49395,49570,49745 | 114.4    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 7048576    | 2697.43                            | 5759.36                      | 6   | 66546,66749,66952,66545,66748,66951 | 113.51   |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 378036     | 2104.23                            | 4491.19                      | 6   | 49375,49550,49725,49374,49549,49724 | 113.44   |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 2796.55                            | 5967.55                      | 6   | 49389,49564,49739,49388,49563,49738 | 113.39   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 64         | 4.36                               | 9.29                         | 6   | 38266,38455,38644,38265,38454,38643 | 113.07   |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 3048576    | 1222.86                            | 2604.19                      | 6   | 68954,69157,69360,68953,69156,69359 | 112.96   |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 190536     | 1075.5                             | 2281.97                      | 6   | 49354,49529,49704,49353,49528,49703 | 112.18   |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 65536      | 381.01                             | 806.79                       | 6   | 49340,49515,49690,49339,49514,49689 | 111.75   |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 5048576    | 2028.42                            | 4289.86                      | 6   | 68968,69171,69374,68967,69170,69373 | 111.49   |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 6048576    | 2534.89                            | 5297.38                      | 6   | 64712,64915,65118,64711,64914,65117 | 108.98   |
