+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------------+-----+-------------------------------------+-----------+----------+
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1131072    | 1052.95  | 1881.27                            | 6   | 7274,7456,7638,7277,7459,7641       | 828.32    | 78.67    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 1006072    | 1892.68  | 2620.7                             | 6   | 5083,5265,5447,5086,5268,5450       | 728.02    | 38.47    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 1131072    | 2102.38  | 2760.79                            | 6   | 2360,2542,2724,2363,2545,2727       | 658.41    | 31.32    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 631072     | 1172.49  | 1759.52                            | 6   | 2332,2514,2696,2335,2517,2699       | 587.03    | 50.07    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 1131072    | 1060.92  | 1628.35                            | 6   | 1268,1450,1632,1271,1453,1635       | 567.43    | 53.48    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1131072    | 1062.74  | 1629.23                            | 6   | 8366,8548,8730,8369,8551,8733       | 566.49    | 53.3     |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 756072     | 706.73   | 1270.32                            | 6   | 1247,1429,1611,1250,1432,1614       | 563.59    | 79.75    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 756072     | 705.6    | 1264.1                             | 6   | 155,337,519,158,340,522             | 558.5     | 79.15    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1131072    | 2326.57  | 2867.14                            | 6   | 6182,6364,6546,6185,6367,6549       | 540.57    | 23.23    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 1131072    | 2210.66  | 2746.7                             | 6   | 3452,3634,3816,3455,3637,3819       | 536.04    | 24.25    |
