+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------------+-----+-------------------------------------+----------+
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 32         | 1.74                   | 3.53                               | 6   | 14553,14728,14903,14550,14725,14900 | 102.87   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 7.76                   | 15.56                              | 6   | 38843,39032,39221,38840,39029,39218 | 100.52   |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 524288     | 262.24                 | 522.41                             | 6   | 70154,70357,70560,70151,70354,70557 | 99.21    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 256        | 7.28                   | 14.35                              | 6   | 39984,40173,40362,39981,40170,40359 | 97.12    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256        | 2.02                   | 3.95                               | 6   | 70686,70889,71092,70683,70886,71089 | 95.54    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 1131072    | 2705.15                | 5260.54                            | 6   | 4550,4732,4914,4547,4729,4911       | 94.46    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 1131072    | 3136.0                 | 5835.92                            | 6   | 2912,3094,3276,2909,3091,3273       | 86.09    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1024       | 2.64                   | 4.82                               | 6   | 70091,70294,70497,70088,70291,70494 | 82.58    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 506072     | 1538.96                | 2786.45                            | 6   | 6699,6881,7063,6696,6878,7060       | 81.06    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 6.88                   | 12.43                              | 6   | 37702,37891,38080,37699,37888,38077 | 80.67    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1131072    | 4163.34                | 7399.7                             | 6   | 728,910,1092,725,907,1089           | 77.73    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 131072     | 411.49                 | 729.56                             | 6   | 6678,6860,7042,6675,6857,7039       | 77.3     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 16384      | 46.0                   | 80.35                              | 6   | 4473,4655,4837,4470,4652,4834       | 74.67    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 128        | 9.57                   | 16.33                              | 6   | 41678,41867,42056,41675,41864,42053 | 70.64    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3048576    | 1411.64                | 2395.94                            | 6   | 67739,67942,68145,67736,67939,68142 | 69.73    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 4048576    | 2153.24                | 3654.28                            | 6   | 63483,63686,63889,63480,63683,63886 | 69.71    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 524288     | 241.1                  | 408.68                             | 6   | 64673,64876,65079,64670,64873,65076 | 69.51    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 32768      | 111.97                 | 186.9                              | 6   | 6664,6846,7028,6661,6843,7025       | 66.92    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 256        | 3.37                   | 5.57                               | 6   | 14049,14224,14399,14046,14221,14396 | 65.28    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 256        | 10.26                  | 16.85                              | 6   | 41118,41307,41496,41115,41304,41493 | 64.23    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 1.93                   | 3.16                               | 6   | 23317,23520,23723,23314,23517,23720 | 63.73    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 256072     | 627.62                 | 1004.66                            | 6   | 4501,4683,4865,4498,4680,4862       | 60.07    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 8          | 0.25                   | 0.4                                | 6   | 18382,18585,18788,18379,18582,18785 | 60.0     |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 32768      | 18.4                   | 29.33                              | 6   | 84448,84644,84840,84445,84641,84837 | 59.4     |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 1006072    | 2810.7                 | 4478.63                            | 6   | 3997,4179,4361,3994,4176,4358       | 59.34    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 256072     | 690.18                 | 1099.33                            | 6   | 5593,5775,5957,5590,5772,5954       | 59.28    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1006072    | 2799.63                | 4453.99                            | 6   | 5635,5817,5999,5632,5814,5996       | 59.09    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 512        | 2.2                    | 3.49                               | 6   | 69475,69678,69881,69472,69675,69878 | 58.64    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 32         | 2.21                   | 3.48                               | 6   | 12453,12628,12803,12450,12625,12800 | 57.47    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 2.05                   | 3.22                               | 6   | 28630,28819,29008,28627,28816,29005 | 57.07    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 1006072    | 2978.7                 | 4677.67                            | 6   | 6727,6909,7091,6724,6906,7088       | 57.04    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | asc        | 65536      | 166.31                 | 260.7                              | 6   | 4487,4669,4851,4484,4666,4848       | 56.76    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 256        | 13.59                  | 21.18                              | 6   | 44520,44709,44898,44517,44706,44895 | 55.85    |
| 11  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32768      | 12.05                  | 18.59                              | 6   | 23338,23541,23744,23335,23538,23741 | 54.27    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32768      | 94.33                  | 145.45                             | 6   | 5572,5754,5936,5569,5751,5933       | 54.19    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 128        | 8.54                   | 13.13                              | 6   | 44513,44702,44891,44510,44699,44888 | 53.75    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 381072     | 1124.4                 | 1728.0                             | 6   | 2870,3052,3234,2867,3049,3231       | 53.68    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 32768      | 99.35                  | 152.48                             | 6   | 3934,4116,4298,3931,4113,4295       | 53.48    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | asc        | 2048       | 7.78                   | 11.92                              | 6   | 5544,5726,5908,5541,5723,5905       | 53.21    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 506072     | 1770.78                | 2711.24                            | 6   | 7791,7973,8155,7788,7970,8152       | 53.11    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 881072     | 3060.98                | 4684.69                            | 6   | 7812,7994,8176,7809,7991,8173       | 53.05    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1131072    | 3923.6                 | 6003.7                             | 6   | 7826,8008,8190,7823,8005,8187       | 53.02    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 381072     | 1325.93                | 2026.43                            | 6   | 1778,1960,2142,1775,1957,2139       | 52.83    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | asc        | 756072     | 2635.71                | 4026.38                            | 6   | 7805,7987,8169,7802,7984,8166       | 52.76    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 881072     | 3206.26                | 4896.5                             | 6   | 1806,1988,2170,1803,1985,2167       | 52.72    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 631072     | 2260.92                | 3445.28                            | 6   | 1792,1974,2156,1789,1971,2153       | 52.38    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 16         | 1.22                   | 1.85                               | 6   | 46109,46284,46459,46106,46281,46456 | 51.64    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 32         | 1.11                   | 1.68                               | 6   | 7140,7322,7504,7137,7319,7501       | 51.35    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 32768      | 101.45                 | 153.43                             | 6   | 2842,3024,3206,2839,3021,3203       | 51.24    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1006072    | 3719.62                | 5617.36                            | 6   | 721,903,1085,718,900,1082           | 51.02    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 131072     | 402.45                 | 606.15                             | 6   | 2856,3038,3220,2853,3035,3217       | 50.61    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 65536      | 27.4                   | 41.24                              | 6   | 20300,20503,20706,20297,20500,20703 | 50.51    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 8.11                   | 12.17                              | 6   | 3906,4088,4270,3903,4085,4267       | 50.06    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 16384      | 60.04                  | 89.98                              | 6   | 1743,1925,2107,1740,1922,2104       | 49.87    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 52.67                  | 78.83                              | 6   | 2835,3017,3199,2832,3014,3196       | 49.67    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 2048       | 3.46                   | 5.17                               | 6   | 65226,65429,65632,65223,65426,65629 | 49.42    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 131072     | 59.3                   | 88.59                              | 6   | 24570,24773,24976,24567,24770,24973 | 49.39    |
