+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+------------------------+-----+-------------------------------------+----------+
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 66.61                        | 140.27                 | 6   | 7213,7395,7577,7217,7399,7581       | 110.58   |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 129.61                       | 261.05                 | 6   | 122,304,486,126,308,490             | 101.41   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32         | 3.32                         | 6.59                   | 6   | 41660,41849,42038,41664,41853,42042 | 98.49    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 138.83                       | 273.39                 | 6   | 45139,45314,45489,45143,45318,45493 | 96.92    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 35.96                        | 70.03                  | 6   | 108,290,472,112,294,476             | 94.74    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 149.53                       | 286.12                 | 6   | 61631,61834,62037,61635,61838,62041 | 91.35    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 20.17                        | 38.52                  | 6   | 7199,7381,7563,7203,7385,7567       | 90.98    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 16         | 0.84                         | 1.6                    | 6   | 8221,8403,8585,8225,8407,8589       | 90.48    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1244.94                      | 2347.06                | 6   | 62905,63108,63311,62909,63112,63315 | 88.53    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1113.98                      | 2098.92                | 6   | 70815,71018,71221,70819,71022,71225 | 88.42    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 256072     | 250.15                       | 468.74                 | 6   | 7227,7409,7591,7231,7413,7595       | 87.38    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 7048576    | 971.29                       | 1819.73                | 6   | 62891,63094,63297,62895,63098,63301 | 87.35    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 8048576    | 1115.62                      | 2089.69                | 6   | 62898,63101,63304,62902,63105,63308 | 87.31    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 128        | 8.38                         | 15.61                  | 6   | 39973,40162,40351,39977,40166,40355 | 86.28    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1048576    | 149.36                       | 275.46                 | 6   | 70766,70969,71172,70770,70973,71176 | 84.43    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 5048576    | 703.18                       | 1296.54                | 6   | 70794,70997,71200,70798,71001,71204 | 84.38    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3048576    | 425.54                       | 781.25                 | 6   | 70780,70983,71186,70784,70987,71190 | 83.59    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 73.71                        | 135.05                 | 6   | 51957,52132,52307,51961,52136,52311 | 83.22    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 881072     | 829.64                       | 1518.25                | 6   | 164,346,528,168,350,532             | 83.0     |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 631072     | 597.2                        | 1092.8                 | 6   | 7248,7430,7612,7252,7434,7616       | 82.99    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 506072     | 483.09                       | 883.14                 | 6   | 7241,7423,7605,7245,7427,7609       | 82.81    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 524288     | 76.59                        | 139.65                 | 6   | 70759,70962,71165,70763,70966,71169 | 82.33    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 4048576    | 566.31                       | 1031.39                | 6   | 69569,69772,69975,69573,69776,69979 | 82.12    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 32768      | 36.07                        | 65.53                  | 6   | 7206,7388,7570,7210,7392,7574       | 81.67    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 1131072    | 1068.17                      | 1938.28                | 6   | 178,360,542,182,364,546             | 81.46    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 67.84                        | 122.93                 | 6   | 115,297,479,119,301,483             | 81.21    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 756072     | 720.87                       | 1304.48                | 6   | 157,339,521,161,343,525             | 80.96    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 524288     | 79.65                        | 143.97                 | 6   | 69541,69744,69947,69545,69748,69951 | 80.75    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 381072     | 368.18                       | 664.34                 | 6   | 7234,7416,7598,7238,7420,7602       | 80.44    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 631072     | 601.42                       | 1083.99                | 6   | 150,332,514,154,336,518             | 80.24    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1006072    | 942.67                       | 1698.86                | 6   | 7269,7451,7633,7273,7455,7637       | 80.22    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1131072    | 1074.0                       | 1935.52                | 6   | 7276,7458,7640,7280,7462,7644       | 80.22    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 506072     | 483.17                       | 870.35                 | 6   | 1235,1417,1599,1239,1421,1603       | 80.13    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 563.53                       | 1011.13                | 6   | 61652,61855,62058,61656,61859,62062 | 79.43    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 381072     | 362.94                       | 650.55                 | 6   | 1228,1410,1592,1232,1414,1596       | 79.24    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1006072    | 948.34                       | 1699.57                | 6   | 8361,8543,8725,8365,8547,8729       | 79.22    |
