+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 378036     | 4299.03                    | 6278.57                          | 6   | 52526,52701,52876,52527,52702,52877 | 1979.54  | 46.05    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 6242.5                     | 7512.61                          | 6   | 50440,50615,50790,50441,50616,50791 | 1270.11  | 20.35    |
| 21  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 440536     | 6206.65                    | 7418.64                          | 6   | 45708,45883,46058,45709,45884,46059 | 1211.99  | 19.53    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 9048576    | 4802.44                    | 5991.6                           | 6   | 66561,66764,66967,66562,66765,66968 | 1189.16  | 24.76    |
| 22  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 503036     | 5813.55                    | 6983.8                           | 6   | 47815,47990,48165,47816,47991,48166 | 1170.25  | 20.13    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 7048576    | 5463.42                    | 6577.05                          | 6   | 65938,66141,66344,65939,66142,66345 | 1113.63  | 20.38    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4940.18                    | 5978.81                          | 6   | 49390,49565,49740,49391,49566,49741 | 1038.63  | 21.02    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 6048576    | 3703.34                    | 4652.5                           | 6   | 65931,66134,66337,65932,66135,66338 | 949.16   | 25.63    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | asc        | 881072     | 4102.1                     | 4851.23                          | 6   | 6718,6900,7082,6719,6901,7083       | 749.13   | 18.26    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 5048576    | 3258.83                    | 3999.54                          | 6   | 66533,66736,66939,66534,66737,66940 | 740.71   | 22.73    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1244.83                    | 1968.16                          | 6   | 62907,63110,63313,62908,63111,63314 | 723.33   | 58.11    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 2294.39                    | 2999.7                           | 6   | 64125,64328,64531,64126,64329,64532 | 705.31   | 30.74    |
