+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6935.01          | 17648.12                         | 6   | 37816,38005,38194,37820,38009,38198 | 10713.11 | 154.48   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7844.75          | 18557.64                         | 6   | 37823,38012,38201,37827,38016,38205 | 10712.89 | 136.56   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7597.95          | 18304.66                         | 6   | 36689,36878,37067,36693,36882,37071 | 10706.71 | 140.92   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8817.84          | 19508.71                         | 6   | 37830,38019,38208,37834,38023,38212 | 10690.87 | 121.24   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 8594.58          | 19205.48                         | 6   | 36696,36885,37074,36700,36889,37078 | 10610.9  | 123.46   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6038.63          | 16559.59                         | 6   | 37809,37998,38187,37813,38002,38191 | 10520.96 | 174.23   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9637.58          | 20126.67                         | 6   | 37837,38026,38215,37841,38030,38219 | 10489.09 | 108.84   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6607.76          | 17012.69                         | 6   | 36682,36871,37060,36686,36875,37064 | 10404.93 | 157.47   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 9488.92          | 19820.95                         | 6   | 36703,36892,37081,36707,36896,37085 | 10332.03 | 108.89   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 5725.52          | 15983.87                         | 6   | 36675,36864,37053,36679,36868,37057 | 10258.35 | 179.17   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1012144    | 5156.64          | 15372.98                         | 6   | 37802,37991,38180,37806,37995,38184 | 10216.34 | 198.12   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 4899.73          | 14946.35                         | 6   | 36668,36857,37046,36672,36861,37050 | 10046.62 | 205.04   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 762144     | 4386.85          | 14339.11                         | 6   | 37795,37984,38173,37799,37988,38177 | 9952.26  | 226.87   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 762144     | 4145.37          | 13866.5                          | 6   | 36661,36850,37039,36665,36854,37043 | 9721.13  | 234.51   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 512144     | 3641.26          | 13069.52                         | 6   | 37788,37977,38166,37792,37981,38170 | 9428.26  | 258.93   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 512144     | 3385.72          | 12671.88                         | 6   | 36654,36843,37032,36658,36847,37036 | 9286.16  | 274.27   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 262144     | 2715.83          | 11495.46                         | 6   | 37781,37970,38159,37785,37974,38163 | 8779.63  | 323.28   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 262144     | 2479.05          | 11180.9                          | 6   | 36647,36836,37025,36651,36840,37029 | 8701.85  | 351.02   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 131072     | 2143.11          | 10595.92                         | 6   | 37774,37963,38152,37778,37967,38156 | 8452.81  | 394.42   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2262144    | 7843.11          | 15972.45                         | 6   | 38404,38593,38782,38408,38597,38786 | 8129.34  | 103.65   |
