+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------------+-----+-------------------------------------+----------+
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 32768      | 568.76                 | 3580.18                          | 6   | 38332,38521,38710,38331,38520,38709 | 529.47   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 65536      | 949.86                 | 5894.56                          | 6   | 38339,38528,38717,38338,38527,38716 | 520.57   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 16384      | 319.35                 | 1962.92                          | 6   | 38325,38514,38703,38324,38513,38702 | 514.66   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 171.09                 | 1039.75                          | 6   | 38318,38507,38696,38317,38506,38695 | 507.72   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 32768      | 905.07                 | 5414.92                          | 6   | 44002,44191,44380,44001,44190,44379 | 498.29   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 32768      | 898.87                 | 5334.19                          | 6   | 39466,39655,39844,39465,39654,39843 | 493.43   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 65536      | 1512.68                | 8890.85                          | 6   | 44009,44198,44387,44008,44197,44386 | 487.75   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 16384      | 494.23                 | 2889.71                          | 6   | 39459,39648,39837,39458,39647,39836 | 484.69   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 32768      | 693.91                 | 4033.91                          | 6   | 42868,43057,43246,42867,43056,43245 | 481.33   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 8192       | 266.16                 | 1539.93                          | 6   | 39452,39641,39830,39451,39640,39829 | 478.57   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 1510.89                | 8697.69                          | 6   | 39473,39662,39851,39472,39661,39850 | 475.67   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8192       | 271.92                 | 1565.16                          | 6   | 43988,44177,44366,43987,44176,44365 | 475.6    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 88.9                   | 511.06                           | 6   | 38311,38500,38689,38310,38499,38688 | 474.87   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32768      | 788.73                 | 4528.01                          | 6   | 36631,36820,37009,36630,36819,37008 | 474.09   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 32768      | 834.91                 | 4770.59                          | 6   | 37765,37954,38143,37764,37953,38142 | 471.39   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 65536      | 1149.72                | 6538.68                          | 6   | 42875,43064,43253,42874,43063,43252 | 468.72   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16384      | 444.21                 | 2522.62                          | 6   | 36624,36813,37002,36623,36812,37001 | 467.89   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 1461.21                | 8266.86                          | 6   | 42308,42497,42686,42307,42496,42685 | 465.75   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 32768      | 870.71                 | 4908.61                          | 6   | 42301,42490,42679,42300,42489,42678 | 463.75   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 16384      | 465.1                  | 2620.82                          | 6   | 37758,37947,38136,37757,37946,38135 | 463.5    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 16384      | 511.75                 | 2878.28                          | 6   | 43995,44184,44373,43994,44183,44372 | 462.44   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 32768      | 784.06                 | 4402.06                          | 6   | 41167,41356,41545,41166,41355,41544 | 461.44   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 65536      | 1306.83                | 7283.04                          | 6   | 41174,41363,41552,41173,41362,41551 | 457.31   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 65536      | 1338.89                | 7409.96                          | 6   | 36638,36827,37016,36637,36826,37015 | 453.44   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 16384      | 442.42                 | 2440.99                          | 6   | 41160,41349,41538,41159,41348,41537 | 451.74   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 1436.49                | 7895.5                           | 6   | 37772,37961,38150,37771,37960,38149 | 449.64   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 1445.88                | 7876.35                          | 6   | 38346,38535,38724,38345,38534,38723 | 444.74   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 16384      | 483.76                 | 2634.17                          | 6   | 42294,42483,42672,42293,42482,42671 | 444.52   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 16384      | 391.2                  | 2128.01                          | 6   | 42861,43050,43239,42860,43049,43238 | 443.97   |
