+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------------------+-----+-------------------------------------+-----------+----------+
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | desc       | 1131072    | 6317.48                          | 7399.7                             | 6   | 727,909,1091,725,907,1089           | 1082.22   | 17.13    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1131072    | 1072.78                          | 1881.27                            | 6   | 7279,7461,7643,7277,7459,7641       | 808.49    | 75.36    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 1131072    | 2110.31                          | 2760.79                            | 6   | 2365,2547,2729,2363,2545,2727       | 650.48    | 30.82    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 756072     | 711.11                           | 1270.32                            | 6   | 1252,1434,1616,1250,1432,1614       | 559.21    | 78.64    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 1131072    | 2220.71                          | 2746.7                             | 6   | 3457,3639,3821,3455,3637,3819       | 525.99    | 23.69    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 1006072    | 2101.81                          | 2620.7                             | 6   | 5088,5270,5452,5086,5268,5450       | 518.89    | 24.69    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 1131072    | 2109.15                          | 2620.5                             | 6   | 5095,5277,5459,5093,5275,5457       | 511.35    | 24.24    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1006072    | 948.29                           | 1447.15                            | 6   | 8364,8546,8728,8362,8544,8726       | 498.86    | 52.61    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 881072     | 834.27                           | 1309.93                            | 6   | 167,349,531,165,347,529             | 475.66    | 57.02    |
