+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 9544.81                | 22546.95                         | 6   | 44079,44268,44457,44078,44267,44456 | 13002.14 | 136.22   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 8846.08                | 21544.92                         | 6   | 44072,44261,44450,44071,44260,44449 | 12698.84 | 143.55   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1762144    | 8072.21                | 20685.31                         | 6   | 44065,44254,44443,44064,44253,44442 | 12613.1  | 156.25   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1512144    | 7270.51                | 19552.82                         | 6   | 44058,44247,44436,44057,44246,44435 | 12282.31 | 168.93   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1262144    | 6419.62                | 18650.16                         | 6   | 44051,44240,44429,44050,44239,44428 | 12230.54 | 190.52   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2262144    | 9212.8                 | 21247.94                         | 6   | 39543,39732,39921,39542,39731,39920 | 12035.14 | 130.63   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2012144    | 8536.67                | 20538.46                         | 6   | 39536,39725,39914,39535,39724,39913 | 12001.79 | 140.59   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1512144    | 7030.99                | 18970.61                         | 6   | 39522,39711,39900,39521,39710,39899 | 11939.62 | 169.81   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1762144    | 7806.64                | 19691.69                         | 6   | 39529,39718,39907,39528,39717,39906 | 11885.05 | 152.24   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1262144    | 6237.1                 | 18078.13                         | 6   | 39515,39704,39893,39514,39703,39892 | 11841.03 | 189.85   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1012144    | 5514.02                | 17182.38                         | 6   | 44044,44233,44422,44043,44232,44421 | 11668.36 | 211.61   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1762144    | 7816.13                | 19327.2                          | 6   | 42364,42553,42742,42363,42552,42741 | 11511.07 | 147.27   |
