+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+-----------+----------+
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1244.83                    | 2347.06                | 6   | 62907,63110,63313,62909,63112,63315 | 1102.23   | 88.54    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 9048576    | 2465.12                    | 3540.37                | 6   | 68388,68591,68794,68390,68593,68796 | 1075.25   | 43.62    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 8048576    | 2192.26                    | 3199.91                | 6   | 68381,68584,68787,68383,68586,68789 | 1007.65   | 45.96    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1130.45                    | 2098.92                | 6   | 70817,71020,71223,70819,71022,71225 | 968.47    | 85.67    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 9048576    | 2515.41                    | 3482.5                 | 6   | 67170,67373,67576,67172,67375,67578 | 967.09    | 38.45    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 2294.39                    | 3256.61                | 6   | 64125,64328,64531,64127,64330,64533 | 962.22    | 41.94    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 8048576    | 2200.7                     | 3134.6                 | 6   | 65336,65539,65742,65338,65541,65744 | 933.9     | 42.44    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 9048576    | 1282.85                    | 2205.62                | 6   | 61689,61892,62095,61691,61894,62097 | 922.77    | 71.93    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8048576    | 1099.68                    | 1983.1                 | 6   | 69599,69802,70005,69601,69804,70007 | 883.42    | 80.33    |
