+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 8498.81                            | 19857.05                   | 6   | 36705,36894,37083,36706,36895,37084 | 11358.24 | 133.65   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9110.73                            | 20248.17                   | 6   | 37839,38028,38217,37840,38029,38218 | 11137.44 | 122.25   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7188.97                            | 18255.5                    | 6   | 36691,36880,37069,36692,36881,37070 | 11066.53 | 153.94   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8419.54                            | 19478.87                   | 6   | 37832,38021,38210,37833,38022,38211 | 11059.33 | 131.35   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 7888.65                            | 18936.33                   | 6   | 36698,36887,37076,36699,36888,37077 | 11047.68 | 140.05   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7644.54                            | 18640.16                   | 6   | 37825,38014,38203,37826,38015,38204 | 10995.62 | 143.84   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6848.02                            | 17672.5                    | 6   | 37818,38007,38196,37819,38008,38197 | 10824.48 | 158.07   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6416.69                            | 17047.08                   | 6   | 36684,36873,37062,36685,36874,37063 | 10630.39 | 165.67   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6031.82                            | 16490.78                   | 6   | 37811,38000,38189,37812,38001,38190 | 10458.96 | 173.4    |
