+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------------+-----+-------------------------------------+-----------+----------+
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 9048576    | 1228.53  | 2230.4                           | 6   | 69602,69805,70008,69607,69810,70013 | 1001.87   | 81.55    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 8048576    | 1093.63  | 2077.43                          | 6   | 62896,63099,63302,62901,63104,63307 | 983.8     | 89.96    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 7048576    | 964.41   | 1834.65                          | 6   | 70806,71009,71212,70811,71014,71217 | 870.24    | 90.24    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 1242.54  | 1968.16                          | 6   | 62903,63106,63309,62908,63111,63314 | 725.62    | 58.4     |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 2288.94  | 2999.7                           | 6   | 64121,64324,64527,64126,64329,64532 | 710.76    | 31.05    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | asc         | desc       | 8048576    | 2189.1   | 2777.92                          | 6   | 67159,67362,67565,67164,67367,67570 | 588.82    | 26.9     |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 7048576    | 1911.39  | 2484.55                          | 6   | 68370,68573,68776,68375,68578,68781 | 573.16    | 29.99    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 7048576    | 1775.32  | 2308.21                          | 6   | 64107,64310,64513,64112,64315,64518 | 532.89    | 30.02    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 7048576    | 981.11   | 1499.52                          | 6   | 69588,69791,69994,69593,69796,69999 | 518.41    | 52.84    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 6048576    | 827.69   | 1326.36                          | 6   | 70799,71002,71205,70804,71007,71210 | 498.67    | 60.25    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 6048576    | 1632.01  | 2129.03                          | 6   | 65318,65521,65724,65323,65526,65729 | 497.02    | 30.45    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 6048576    | 822.79   | 1317.58                          | 6   | 62882,63085,63288,62887,63090,63293 | 494.79    | 60.14    |
| 23  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 2100.63  | 2594.76                          | 6   | 50961,51136,51311,50966,51141,51316 | 494.13    | 23.52    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1006072    | 972.72   | 1460.13                          | 6   | 7267,7449,7631,7272,7454,7636       | 487.41    | 50.11    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 6048576    | 827.54   | 1295.04                          | 6   | 69581,69784,69987,69586,69789,69992 | 467.5     | 56.49    |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 315536     | 642.99   | 1099.78                          | 6   | 51990,52165,52340,51995,52170,52345 | 456.79    | 71.04    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 881072     | 1812.55  | 2239.04                          | 6   | 6168,6350,6532,6173,6355,6537       | 426.49    | 23.53    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1012144    | 12932.73 | 13354.15                         | 6   | 42904,43093,43282,42909,43098,43287 | 421.42    | 3.26     |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 378036     | 770.82   | 1182.89                          | 6   | 51997,52172,52347,52002,52177,52352 | 412.07    | 53.46    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 5048576    | 1369.22  | 1778.07                          | 6   | 68356,68559,68762,68361,68564,68767 | 408.85    | 29.86    |
| 30  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 8048576    | 2172.41  | 2546.23                          | 6   | 65332,65535,65738,65337,65540,65743 | 373.82    | 17.21    |
