+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1262144    | 6453.09          | 18607.2                    | 6   | 44046,44235,44424,44049,44238,44427 | 12154.11 | 188.35   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1762144    | 8517.72          | 20663.15                   | 6   | 44060,44249,44438,44063,44252,44441 | 12145.43 | 142.59   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1512144    | 7476.23          | 19575.03                   | 6   | 44053,44242,44431,44056,44245,44434 | 12098.8  | 161.83   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 9585.24          | 21651.81                   | 6   | 44067,44256,44445,44070,44259,44448 | 12066.57 | 125.89   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 10631.86         | 22416.8                    | 6   | 44074,44263,44452,44077,44266,44455 | 11784.94 | 110.85   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1012144    | 5517.21          | 17148.58                   | 6   | 44039,44228,44417,44042,44231,44420 | 11631.37 | 210.82   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2012144    | 9007.68          | 20571.79                   | 6   | 39531,39720,39909,39534,39723,39912 | 11564.11 | 128.38   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1762144    | 8344.29          | 19825.83                   | 6   | 39524,39713,39902,39527,39716,39905 | 11481.54 | 137.6    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2262144    | 9616.85          | 21071.43                   | 6   | 39538,39727,39916,39541,39730,39919 | 11454.58 | 119.11   |
| 20  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 762144     | 4672.44          | 16113.4                    | 6   | 44032,44221,44410,44035,44224,44413 | 11440.96 | 244.86   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1512144    | 7616.77          | 18897.99                   | 6   | 39517,39706,39895,39520,39709,39898 | 11281.22 | 148.11   |
