+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2012144    | 8778.74                      | 19508.71                         | 6   | 37831,38020,38209,37834,38023,38212 | 10729.97 | 122.23   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 6919.25                      | 17648.12                         | 6   | 37817,38006,38195,37820,38009,38198 | 10728.87 | 155.06   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1762144    | 7853.63                      | 18557.64                         | 6   | 37824,38013,38202,37827,38016,38205 | 10704.01 | 136.29   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 7643.84                      | 18304.66                         | 6   | 36690,36879,37068,36693,36882,37071 | 10660.82 | 139.47   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2012144    | 8605.1                       | 19205.48                         | 6   | 36697,36886,37075,36700,36889,37078 | 10600.38 | 123.19   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1262144    | 6048.71                      | 16559.59                         | 6   | 37810,37999,38188,37813,38002,38191 | 10510.88 | 173.77   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 2262144    | 9656.08                      | 20126.67                         | 6   | 37838,38027,38216,37841,38030,38219 | 10470.59 | 108.44   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1512144    | 6610.48                      | 17012.69                         | 6   | 36683,36872,37061,36686,36875,37064 | 10402.21 | 157.36   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 9472.49                      | 19820.95                         | 6   | 36704,36893,37082,36707,36896,37085 | 10348.46 | 109.25   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1262144    | 5769.42                      | 15983.87                         | 6   | 36676,36865,37054,36679,36868,37057 | 10214.45 | 177.04   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1012144    | 5169.58                      | 15372.98                         | 6   | 37803,37992,38181,37806,37995,38184 | 10203.4  | 197.37   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 4900.8                       | 14946.35                         | 6   | 36669,36858,37047,36672,36861,37050 | 10045.55 | 204.98   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 762144     | 4389.29                      | 14339.11                         | 6   | 37796,37985,38174,37799,37988,38177 | 9949.82  | 226.68   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 762144     | 4121.37                      | 13866.5                          | 6   | 36662,36851,37040,36665,36854,37043 | 9745.13  | 236.45   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 512144     | 3645.15                      | 13069.52                         | 6   | 37789,37978,38167,37792,37981,38170 | 9424.37  | 258.55   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 512144     | 3413.46                      | 12671.88                         | 6   | 36655,36844,37033,36658,36847,37036 | 9258.42  | 271.23   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 262144     | 2722.37                      | 11495.46                         | 6   | 37782,37971,38160,37785,37974,38163 | 8773.09  | 322.26   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 262144     | 2486.36                      | 11180.9                          | 6   | 36648,36837,37026,36651,36840,37029 | 8694.54  | 349.69   |
