+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 | patched-munro-728899ba | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+------------------------+-----+-------------------------------------+----------+----------+
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 1131072    | 1383.03                            | 1938.28                | 6   | 179,361,543,182,364,546             | 555.25   | 40.15    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 756072     | 720.81                             | 1261.12                | 6   | 7256,7438,7620,7259,7441,7623       | 540.31   | 74.96    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 756072     | 1504.81                            | 2030.81                | 6   | 3434,3616,3798,3437,3619,3801       | 526.0    | 34.95    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | desc        | asc        | 756072     | 1429.41                            | 1941.82                | 6   | 2342,2524,2706,2345,2527,2709       | 512.41   | 35.85    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 1006072    | 1192.25                            | 1698.86                | 6   | 7270,7452,7634,7273,7455,7637       | 506.61   | 42.49    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1006072    | 2309.47                            | 2783.97                | 6   | 6178,6360,6542,6181,6363,6545       | 474.5    | 20.55    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 631072     | 596.47                             | 1068.93                | 6   | 1243,1425,1607,1246,1428,1610       | 472.46   | 79.21    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 5048576    | 2301.2                             | 2757.25                | 6   | 25834,26037,26240,25837,26040,26243 | 456.05   | 19.82    |
| 9   | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 5048576    | 2715.36                            | 3160.1                 | 6   | 17917,18120,18323,17920,18123,18326 | 444.74   | 16.38    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 881072     | 1051.73                            | 1487.87                | 6   | 1257,1439,1621,1260,1442,1624       | 436.14   | 41.47    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 881072     | 1947.97                            | 2363.79                | 6   | 3441,3623,3805,3444,3626,3808       | 415.82   | 21.35    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 631072     | 752.79                             | 1092.8                 | 6   | 7249,7431,7613,7252,7434,7616       | 340.01   | 45.17    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | increase  | asc         | asc        | 631072     | 755.49                             | 1083.99                | 6   | 151,333,515,154,336,518             | 328.5    | 43.48    |
| 2   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | desc        | asc        | 631072     | 1406.84                            | 1708.3                 | 6   | 3427,3609,3791,3430,3612,3794       | 301.46   | 21.43    |
| 4   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | desc        | desc       | 381072     | 367.64                             | 664.34                 | 6   | 7235,7417,7599,7238,7420,7602       | 296.7    | 80.7     |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | worker   | 12        | 16  | decrease  | asc         | desc       | 1131072    | 2620.5                             | 2907.97                | 6   | 5093,5275,5457,5096,5278,5460       | 287.47   | 10.97    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | asc        | 381072     | 365.35                             | 650.55                 | 6   | 1229,1411,1593,1232,1414,1596       | 285.2    | 78.06    |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 3048576    | 1389.5                             | 1669.79                | 6   | 25820,26023,26226,25823,26026,26229 | 280.29   | 20.17    |
| 3   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1131072    | 2867.14                            | 3145.96                | 6   | 6185,6367,6549,6188,6370,6552       | 278.82   | 9.72     |
