+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------+-----+-------------------------------------+----------+
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 128        | 5.57                       | 11.82            | 6   | 52239,52428,52617,52236,52425,52614 | 112.21   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 256        | 8.8                        | 17.79            | 6   | 40906,41095,41284,40903,41092,41281 | 102.16   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 8          | 1.17                       | 2.13             | 6   | 12101,12276,12451,12098,12273,12448 | 82.05    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1024       | 2.6                        | 4.66             | 6   | 31638,31841,32044,31635,31838,32041 | 79.23    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8048576    | 2994.61                    | 5225.13          | 6   | 32975,33178,33381,32972,33175,33378 | 74.48    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4          | 1.32                       | 2.3              | 6   | 11044,11219,11394,11041,11216,11391 | 74.24    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4096       | 35.34                      | 61.48            | 6   | 41501,41690,41879,41498,41687,41876 | 73.97    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 87.04                      | 149.65           | 6   | 37546,37735,37924,37543,37732,37921 | 71.93    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 6.76                       | 11.59            | 6   | 44868,45057,45246,44865,45054,45243 | 71.45    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 64         | 3.58                       | 6.0              | 6   | 49964,50153,50342,49961,50150,50339 | 67.6     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2012144    | 2422.32                    | 4045.75          | 6   | 52932,53121,53310,52929,53118,53307 | 67.02    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4          | 1.24                       | 2.07             | 6   | 31582,31785,31988,31579,31782,31985 | 66.94    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4096       | 36.94                      | 61.62            | 6   | 42635,42824,43013,42632,42821,43010 | 66.81    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 21.0                       | 34.83            | 6   | 35257,35446,35635,35254,35443,35632 | 65.86    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 128036     | 504.48                     | 834.14           | 6   | 8524,8699,8874,8521,8696,8871       | 65.35    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 269.2                      | 442.04           | 6   | 8517,8692,8867,8514,8689,8864       | 64.21    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512144     | 622.16                     | 1015.65          | 6   | 52890,53079,53268,52887,53076,53265 | 63.25    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 1          | 1.03                       | 1.68             | 6   | 11555,11730,11905,11552,11727,11902 | 63.11    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1          | 1.02                       | 1.66             | 6   | 49922,50111,50300,49919,50108,50297 | 62.75    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 762144     | 936.89                     | 1521.5           | 6   | 52897,53086,53275,52894,53083,53272 | 62.4     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 2748.01                    | 4462.4           | 6   | 52939,53128,53317,52936,53125,53314 | 62.39    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1512144    | 1847.88                    | 2995.31          | 6   | 52918,53107,53296,52915,53104,53293 | 62.09    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 168.19                     | 272.58           | 6   | 52876,53065,53254,52873,53062,53251 | 62.07    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1762144    | 2156.79                    | 3494.44          | 6   | 52925,53114,53303,52922,53111,53300 | 62.02    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 326.4                      | 528.55           | 6   | 52883,53072,53261,52880,53069,53258 | 61.93    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 139.02                     | 224.1            | 6   | 8510,8685,8860,8507,8682,8857       | 61.2     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 1048576    | 390.2                      | 628.34           | 6   | 32926,33129,33332,32923,33126,33329 | 61.03    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1012144    | 1251.77                    | 2014.55          | 6   | 52904,53093,53282,52901,53090,53279 | 60.94    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 86.21                      | 138.3            | 6   | 52869,53058,53247,52866,53055,53244 | 60.42    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1490.28                    | 2390.27          | 6   | 25030,25233,25436,25027,25230,25433 | 60.39    |
