+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+----------------------------------+-----+-------------------------------------+----------+
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2          | 1.25             | 2.81                             | 6   | 21849,22017,22185,21853,22021,22189 | 124.8    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 128        | 5.56             | 12.45                            | 6   | 48834,49023,49212,48838,49027,49216 | 123.92   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2196.2           | 4809.22                          | 6   | 5399,5574,5749,5403,5578,5753       | 118.98   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 190536     | 1167.33          | 2429.79                          | 6   | 5378,5553,5728,5382,5557,5732       | 108.15   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 5726.47          | 10509.14                         | 6   | 14870,15045,15220,14874,15049,15224 | 83.52    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 4          | 1.07             | 1.94                             | 6   | 16,191,366,20,195,370               | 81.31    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 128        | 9.23             | 16.48                            | 6   | 35226,35415,35604,35230,35419,35608 | 78.55    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 5435.26          | 9085.14                          | 6   | 9088,9263,9438,9092,9267,9442       | 67.15    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 65536      | 894.27           | 1475.97                          | 6   | 10089,10264,10439,10093,10268,10443 | 65.05    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 0.87             | 1.38                             | 6   | 34001,34204,34407,34005,34208,34411 | 58.62    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 1.05             | 1.65                             | 6   | 2102,2277,2452,2106,2281,2456       | 57.14    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 1.84             | 2.88                             | 6   | 32832,33035,33238,32836,33039,33242 | 56.52    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 253036     | 1498.87          | 2330.38                          | 6   | 4335,4510,4685,4339,4514,4689       | 55.48    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 2          | 1.17             | 1.8                              | 6   | 1584,1759,1934,1588,1763,1938       | 53.85    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 3091.07          | 4655.01                          | 6   | 3838,4013,4188,3842,4017,4192       | 50.6     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 2          | 1.19             | 1.77                             | 6   | 14184,14359,14534,14188,14363,14538 | 48.74    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 8          | 1.32             | 1.96                             | 6   | 7898,8073,8248,7902,8077,8252       | 48.48    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 4          | 1.1              | 1.62                             | 6   | 1591,1766,1941,1595,1770,1945       | 47.27    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 512        | 11.78            | 17.17                            | 6   | 41477,41666,41855,41481,41670,41859 | 45.76    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 2          | 1.18             | 1.71                             | 6   | 29136,29339,29542,29140,29343,29546 | 44.92    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 1024       | 13.31            | 19.24                            | 6   | 39783,39972,40161,39787,39976,40165 | 44.55    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 2          | 1.28             | 1.85                             | 6   | 18825,18993,19161,18829,18997,19165 | 44.53    |
| 12  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 2          | 1.37             | 1.98                             | 6   | 22857,23025,23193,22861,23029,23197 | 44.53    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 32768      | 213.4            | 305.46                           | 6   | 4307,4482,4657,4311,4486,4661       | 43.14    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 2          | 1.16             | 1.66                             | 6   | 20841,21009,21177,20845,21013,21181 | 43.1     |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 128        | 8.3              | 11.56                            | 6   | 44298,44487,44676,44302,44491,44680 | 39.28    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 8          | 1.9              | 2.63                             | 6   | 48239,48428,48617,48243,48432,48621 | 38.42    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 16         | 2.3              | 3.17                             | 6   | 19854,20022,20190,19858,20026,20194 | 37.83    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 16         | 1.45             | 1.98                             | 6   | 5280,5455,5630,5284,5459,5634       | 36.55    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 5901.71          | 8048.09                          | 6   | 9095,9270,9445,9099,9274,9449       | 36.37    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 256        | 9.79             | 13.33                            | 6   | 41470,41659,41848,41474,41663,41852 | 36.16    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 128        | 5.87             | 7.98                             | 6   | 47700,47889,48078,47704,47893,48082 | 35.95    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 512        | 11.68            | 15.66                            | 6   | 48281,48470,48659,48285,48474,48663 | 34.08    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 64         | 1.97             | 2.64                             | 6   | 44,219,394,48,223,398               | 34.01    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 315536     | 3286.95          | 4398.99                          | 6   | 10117,10292,10467,10121,10296,10471 | 33.83    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 256        | 10.87            | 14.53                            | 6   | 46573,46762,46951,46577,46766,46955 | 33.67    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 253036     | 2678.16          | 3568.07                          | 6   | 15885,16060,16235,15889,16064,16239 | 33.23    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 64         | 7.09             | 9.39                             | 6   | 46559,46748,46937,46563,46752,46941 | 32.44    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 4          | 1.42             | 1.88                             | 6   | 17320,17488,17656,17324,17492,17660 | 32.39    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 128        | 8.02             | 10.61                            | 6   | 48267,48456,48645,48271,48460,48649 | 32.29    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 1.83             | 2.42                             | 6   | 7919,8094,8269,7923,8098,8273       | 32.24    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 64         | 2.05             | 2.71                             | 6   | 1619,1794,1969,1623,1798,1973       | 32.2     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 5363.11          | 7072.1                           | 6   | 14863,15038,15213,14867,15042,15217 | 31.87    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 315536     | 3374.53          | 4445.6                           | 6   | 9067,9242,9417,9071,9246,9421       | 31.74    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 4          | 1.08             | 1.41                             | 6   | 15766,15941,16116,15770,15945,16120 | 30.56    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 64         | 2.08             | 2.71                             | 6   | 11594,11769,11944,11598,11773,11948 | 30.29    |
| 12  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 64         | 3.31             | 4.3                              | 6   | 23900,24068,24236,23904,24072,24240 | 29.91    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 0.87             | 1.13                             | 6   | 10502,10677,10852,10506,10681,10856 | 29.89    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 2.28             | 2.95                             | 6   | 6876,7051,7226,6880,7055,7230       | 29.39    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 32         | 1.84             | 2.38                             | 6   | 3712,3887,4062,3716,3891,4066       | 29.35    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 4          | 1.31             | 1.69                             | 6   | 19840,20008,20176,19844,20012,20180 | 29.01    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 512        | 9.86             | 12.72                            | 6   | 52250,52439,52628,52254,52443,52632 | 29.01    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 32         | 4.12             | 5.31                             | 6   | 44284,44473,44662,44288,44477,44666 | 28.88    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 2.27             | 2.91                             | 6   | 24929,25132,25335,24933,25136,25339 | 28.19    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 32         | 3.7              | 4.73                             | 6   | 52222,52411,52600,52226,52415,52604 | 27.84    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 128036     | 933.72           | 1190.7                           | 6   | 3796,3971,4146,3800,3975,4150       | 27.52    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 128        | 4.43             | 5.64                             | 6   | 47133,47322,47511,47137,47326,47515 | 27.31    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 64         | 3.23             | 4.1                              | 6   | 20876,21044,21212,20880,21048,21216 | 26.93    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 5522.38          | 7004.28                          | 6   | 10138,10313,10488,10142,10317,10492 | 26.83    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 32768      | 587.53           | 743.58                           | 6   | 9032,9207,9382,9036,9211,9386       | 26.56    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 0.87             | 1.1                              | 6   | 11027,11202,11377,11031,11206,11381 | 26.44    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 17.9             | 22.62                            | 6   | 43752,43941,44130,43756,43945,44134 | 26.37    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 32         | 1.71             | 2.16                             | 6   | 2137,2312,2487,2141,2316,2491       | 26.32    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 0.95             | 1.2                              | 6   | 52187,52376,52565,52191,52380,52569 | 26.32    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 7.41             | 9.35                             | 6   | 46566,46755,46944,46570,46759,46948 | 26.18    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 16         | 1.69             | 2.13                             | 6   | 12630,12805,12980,12634,12809,12984 | 26.04    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 64         | 2.75             | 3.46                             | 6   | 12644,12819,12994,12648,12823,12998 | 25.82    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 253036     | 3671.92          | 4615.22                          | 6   | 10110,10285,10460,10114,10289,10464 | 25.69    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32         | 6.7              | 8.36                             | 6   | 40315,40504,40693,40319,40508,40697 | 24.78    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 190536     | 2417.35          | 3013.12                          | 6   | 12203,12378,12553,12207,12382,12557 | 24.65    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 440536     | 4949.93          | 6150.66                          | 6   | 10131,10306,10481,10135,10310,10485 | 24.26    |
