+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 | pct_diff |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 1          | 1.2      | 1.62                         | 6   | 39145,39334,39523,39147,39336,39525 | 35.0     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 4.62     | 6.22                         | 6   | 52830,53019,53208,52832,53021,53210 | 34.63    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 11.37    | 15.25                        | 6   | 8478,8653,8828,8480,8655,8830       | 34.12    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2          | 1.63     | 2.18                         | 6   | 36884,37073,37262,36886,37075,37264 | 33.74    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 1024       | 6.76     | 9.0                          | 6   | 8471,8646,8821,8473,8648,8823       | 33.14    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 8          | 1.54     | 2.05                         | 6   | 11047,11222,11397,11049,11224,11399 | 33.12    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 256        | 1.84     | 2.44                         | 6   | 24921,25124,25327,24923,25126,25329 | 32.61    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 253036     | 966.14   | 1277.4                       | 6   | 15359,15534,15709,15361,15536,15711 | 32.22    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 16         | 1.9      | 2.5                          | 6   | 32201,32404,32607,32203,32406,32609 | 31.58    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 6.19     | 8.12                         | 6   | 32873,33076,33279,32875,33078,33281 | 31.18    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 16         | 1.5      | 1.95                         | 6   | 6329,6504,6679,6331,6506,6681       | 30.0     |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1          | 0.97     | 1.25                         | 6   | 46516,46705,46894,46518,46707,46896 | 28.87    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 190536     | 738.96   | 949.09                       | 6   | 8527,8702,8877,8529,8704,8879       | 28.44    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 7.29     | 9.36                         | 6   | 52837,53026,53215,52839,53028,53217 | 28.4     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8192       | 5.89     | 7.56                         | 6   | 24956,25159,25362,24958,25161,25364 | 28.35    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 64         | 2.01     | 2.57                         | 6   | 4768,4943,5118,4770,4945,5120       | 27.86    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 190536     | 739.51   | 945.54                       | 6   | 15352,15527,15702,15354,15529,15704 | 27.86    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 2          | 1.27     | 1.62                         | 6   | 4208,4383,4558,4210,4385,4560       | 27.56    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 8          | 2.13     | 2.7                          | 6   | 17326,17494,17662,17328,17496,17664 | 26.76    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2012144    | 5685.05  | 7182.0                       | 6   | 35918,36107,36296,35920,36109,36298 | 26.33    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 131072     | 384.07   | 484.98                       | 6   | 35862,36051,36240,35864,36053,36242 | 26.27    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 4.22     | 5.31                         | 6   | 24949,25152,25355,24951,25154,25357 | 25.83    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 512        | 6.29     | 7.9                          | 6   | 10564,10739,10914,10566,10741,10916 | 25.6     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2012144    | 5797.54  | 7251.3                       | 6   | 43289,43478,43667,43291,43480,43669 | 25.08    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 4          | 2.58     | 3.22                         | 6   | 39159,39348,39537,39161,39350,39539 | 24.81    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 32         | 2.18     | 2.72                         | 6   | 13686,13861,14036,13688,13863,14038 | 24.77    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4          | 1.86     | 2.32                         | 6   | 41427,41616,41805,41429,41618,41807 | 24.73    |
