+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-geoghegan-2-munro-3ded1b78 | cnt |                 qid                 |   diff    | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------------------+-----+-------------------------------------+-----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2012144    | 6672.12                    | 7233.92                            | 6   | 43293,43482,43671,43292,43481,43670 | 561.8     | 8.42     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3048576    | 1130.3                     | 1484.62                            | 6   | 34158,34361,34564,34157,34360,34563 | 354.32    | 31.35    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 1762144    | 5873.22                    | 6224.23                            | 6   | 35915,36104,36293,35914,36103,36292 | 351.01    | 5.98     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4450.11                    | 4784.86                            | 6   | 11723,11898,12073,11722,11897,12072 | 334.75    | 7.52     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 6048576    | 2235.56                    | 2559.5                             | 6   | 34179,34382,34585,34178,34381,34584 | 323.94    | 14.49    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 5048576    | 1873.57                    | 2172.6                             | 6   | 34172,34375,34578,34171,34374,34577 | 299.03    | 15.96    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 2205.04                    | 2478.61                            | 6   | 16448,16623,16798,16447,16622,16797 | 273.57    | 12.41    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4486.65                    | 4748.67                            | 6   | 14348,14523,14698,14347,14522,14697 | 262.02    | 5.84     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1012144    | 3387.18                    | 3647.84                            | 6   | 43265,43454,43643,43264,43453,43642 | 260.66    | 7.7      |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 5048576    | 1885.48                    | 2133.34                            | 6   | 32954,33157,33360,32953,33156,33359 | 247.86    | 13.15    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 4057.67                    | 4300.77                            | 6   | 14341,14516,14691,14340,14515,14690 | 243.1     | 5.99     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 503036     | 1941.22                    | 2183.47                            | 6   | 9616,9791,9966,9615,9790,9965       | 242.25    | 12.48    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 565536     | 2179.38                    | 2414.56                            | 6   | 9623,9798,9973,9622,9797,9972       | 235.18    | 10.79    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 3031.92                    | 3265.24                            | 6   | 14327,14502,14677,14326,14501,14676 | 233.32    | 7.7      |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1490.28                    | 1710.26                            | 6   | 25030,25233,25436,25029,25232,25435 | 219.98    | 14.76    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 378036     | 1455.49                    | 1661.58                            | 6   | 9602,9777,9952,9601,9776,9951       | 206.09    | 14.16    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2262144    | 6989.68                    | 7195.17                            | 6   | 34795,34984,35173,34794,34983,35172 | 205.49    | 2.94     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 503036     | 2011.66                    | 2212.82                            | 6   | 16441,16616,16791,16440,16615,16790 | 201.16    | 10.0     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 440536     | 1761.3                     | 1960.53                            | 6   | 16434,16609,16784,16433,16608,16783 | 199.23    | 11.31    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 4048576    | 1514.38                    | 1713.1                             | 6   | 32947,33150,33353,32946,33149,33352 | 198.72    | 13.12    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 440536     | 1726.91                    | 1908.76                            | 6   | 9609,9784,9959,9608,9783,9958       | 181.85    | 10.53    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 3018.81                    | 3197.64                            | 6   | 11702,11877,12052,11701,11876,12051 | 178.83    | 5.92     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 3726.15                    | 3904.06                            | 6   | 3316,3491,3666,3315,3490,3665       | 177.91    | 4.77     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 6048576    | 3880.28                    | 4054.61                            | 6   | 27480,27683,27886,27479,27682,27885 | 174.33    | 4.49     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4211.9                     | 4384.14                            | 6   | 3323,3498,3673,3322,3497,3672       | 172.24    | 4.09     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1512144    | 8342.6                     | 8512.11                            | 6   | 41578,41767,41956,41577,41766,41955 | 169.51    | 2.03     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 4034.31                    | 4195.72                            | 6   | 11716,11891,12066,11715,11890,12065 | 161.41    | 4.0      |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3264.89                    | 3424.81                            | 6   | 3309,3484,3659,3308,3483,3658       | 159.92    | 4.9      |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2501.67                    | 2660.99                            | 6   | 14320,14495,14670,14319,14494,14669 | 159.32    | 6.37     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 315536     | 1264.34                    | 1421.33                            | 6   | 16420,16595,16770,16419,16594,16769 | 156.99    | 12.42    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3515.68                    | 3672.51                            | 6   | 11709,11884,12059,11708,11883,12058 | 156.83    | 4.46     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3537.53                    | 3693.76                            | 6   | 14334,14509,14684,14333,14508,14683 | 156.23    | 4.42     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3314.09                    | 3466.47                            | 6   | 5934,6109,6284,5933,6108,6283       | 152.38    | 4.6      |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 2016.07                    | 2163.05                            | 6   | 11688,11863,12038,11687,11862,12037 | 146.98    | 7.29     |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 762144     | 2548.69                    | 2693.05                            | 6   | 35887,36076,36265,35886,36075,36264 | 144.36    | 5.66     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4243.86                    | 4387.19                            | 6   | 5948,6123,6298,5947,6122,6297       | 143.33    | 3.38     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 2816.36                    | 2952.29                            | 6   | 3302,3477,3652,3301,3476,3651       | 135.93    | 4.83     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 3763.79                    | 3898.26                            | 6   | 5941,6116,6291,5940,6115,6290       | 134.47    | 3.57     |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2262144    | 11433.14                   | 11562.93                           | 6   | 41032,41221,41410,41031,41220,41409 | 129.79    | 1.14     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1215.2                     | 1339.49                            | 6   | 9595,9770,9945,9594,9769,9944       | 124.29    | 10.23    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048576    | 772.79                     | 895.45                             | 6   | 34151,34354,34557,34150,34353,34556 | 122.66    | 15.87    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1995.22                    | 2117.32                            | 6   | 14313,14488,14663,14312,14487,14662 | 122.1     | 6.12     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 378036     | 2817.79                    | 2938.15                            | 6   | 5927,6102,6277,5926,6101,6276       | 120.36    | 4.27     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 524288     | 706.16                     | 825.82                             | 6   | 25611,25814,26017,25610,25813,26016 | 119.66    | 16.95    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2328.88                    | 2447.41                            | 6   | 3295,3470,3645,3294,3469,3644       | 118.53    | 5.09     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2508.89                    | 2625.54                            | 6   | 11695,11870,12045,11694,11869,12044 | 116.65    | 4.65     |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 2012144    | 9644.38                    | 9759.03                            | 6   | 39891,40080,40269,39890,40079,40268 | 114.65    | 1.19     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 1868.92                    | 1978.83                            | 6   | 8048,8223,8398,8047,8222,8397       | 109.91    | 5.88     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2012144    | 2394.06                    | 2503.83                            | 2   | 54066,54065                         | 109.77    | 4.59     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1505.05                    | 1607.35                            | 6   | 14306,14481,14656,14305,14480,14655 | 102.3     | 6.8      |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2368.74                    | 2470.71                            | 6   | 5920,6095,6270,5919,6094,6269       | 101.97    | 4.3      |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 1762144    | 5146.36                    | 5247.59                            | 6   | 48956,49145,49334,48955,49144,49333 | 101.23    | 1.97     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 253036     | 999.02                     | 1097.78                            | 6   | 9588,9763,9938,9587,9762,9937       | 98.76     | 9.89     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 190536     | 739.95                     | 836.16                             | 6   | 9581,9756,9931,9580,9755,9930       | 96.21     | 13.0     |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 10569.4                    | 10664.74                           | 6   | 53492,53681,53870,53491,53680,53869 | 95.34     | 0.9      |
