+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-728899ba | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1024       | 15.0             | 19.86                  | 6   | 35247,35436,35625,35252,35441,35630 | 32.4     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 6048576    | 2480.54          | 3277.87                | 6   | 26259,26462,26665,26264,26467,26670 | 32.14    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 9048576    | 3652.3           | 4825.82                | 6   | 26280,26483,26686,26285,26488,26691 | 32.13    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 5048576    | 2050.13          | 2706.31                | 6   | 26252,26455,26658,26257,26460,26663 | 32.01    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 64         | 2.1              | 2.77                   | 6   | 6344,6519,6694,6349,6524,6699       | 31.9     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 512        | 11.78            | 15.5                   | 6   | 41477,41666,41855,41482,41671,41860 | 31.58    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 3048576    | 1235.4           | 1619.17                | 6   | 34155,34358,34561,34160,34363,34566 | 31.06    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 512        | 14.79            | 19.35                  | 6   | 46580,46769,46958,46585,46774,46963 | 30.83    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 256        | 9.66             | 12.6                   | 6   | 49975,50164,50353,49980,50169,50358 | 30.43    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 9048576    | 3713.74          | 4826.14                | 6   | 34197,34400,34603,34202,34405,34608 | 29.95    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 2048576    | 841.45           | 1093.11                | 6   | 26231,26434,26637,26236,26439,26642 | 29.91    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 64         | 6.0              | 7.78                   | 6   | 49961,50150,50339,49966,50155,50344 | 29.67    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 7048576    | 2909.02          | 3762.85                | 6   | 26266,26469,26672,26271,26474,26677 | 29.35    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 64         | 2.13             | 2.75                   | 6   | 29171,29374,29577,29176,29379,29582 | 29.11    |
| 10  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 4          | 1.31             | 1.69                   | 6   | 19840,20008,20176,19845,20013,20181 | 29.01    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1048576    | 438.94           | 561.94                 | 6   | 34141,34344,34547,34146,34349,34552 | 28.02    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 256        | 8.72             | 11.14                  | 6   | 48841,49030,49219,48846,49035,49224 | 27.75    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8          | 1.34             | 1.71                   | 6   | 13673,13848,14023,13678,13853,14028 | 27.61    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 0.87             | 1.11                   | 6   | 10502,10677,10852,10507,10682,10857 | 27.59    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 1048576    | 438.17           | 557.97                 | 6   | 26224,26427,26630,26229,26432,26635 | 27.34    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 4          | 1.1              | 1.4                    | 6   | 6841,7016,7191,6846,7021,7196       | 27.27    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 16         | 1.89             | 2.4                    | 6   | 29157,29360,29563,29162,29365,29568 | 26.98    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 524288     | 222.23           | 280.75                 | 6   | 34134,34337,34540,34139,34342,34545 | 26.33    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 1          | 0.95             | 1.19                   | 6   | 12077,12252,12427,12082,12257,12432 | 25.26    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 256        | 9.79             | 12.18                  | 6   | 41470,41659,41848,41475,41664,41853 | 24.41    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 524288     | 227.07           | 282.24                 | 6   | 26217,26420,26623,26222,26425,26628 | 24.3     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4          | 2.31             | 2.87                   | 6   | 41428,41617,41806,41433,41622,41811 | 24.24    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 2          | 1.16             | 1.44                   | 6   | 20841,21009,21177,20846,21014,21182 | 24.14    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 16         | 1.43             | 1.77                   | 6   | 2130,2305,2480,2135,2310,2485       | 23.78    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 32         | 6.58             | 8.1                    | 6   | 36346,36535,36724,36351,36540,36729 | 23.1     |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1024       | 16.6             | 20.42                  | 6   | 49422,49611,49800,49427,49616,49805 | 23.01    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 128        | 1.46             | 1.79                   | 4   | 53937,54126,53942,54131             | 22.6     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 2          | 1.11             | 1.36                   | 6   | 18321,18489,18657,18326,18494,18662 | 22.52    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 262144     | 112.12           | 137.23                 | 6   | 26210,26413,26616,26215,26418,26621 | 22.4     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 2          | 0.99             | 1.21                   | 6   | 2109,2284,2459,2114,2289,2464       | 22.22    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1024       | 18.05            | 21.99                  | 6   | 50556,50745,50934,50561,50750,50939 | 21.83    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 1.11             | 1.35                   | 6   | 7877,8052,8227,7882,8057,8232       | 21.62    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | asc        | 2048       | 3.42             | 4.15                   | 6   | 28597,28800,29003,28602,28805,29008 | 21.35    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 4          | 1.41             | 1.71                   | 6   | 17824,17992,18160,17829,17997,18165 | 21.28    |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 4          | 1.0              | 1.21                   | 6   | 541,716,891,546,721,896             | 21.0     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 32         | 3.06             | 3.69                   | 6   | 21373,21541,21709,21378,21546,21714 | 20.59    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 32         | 8.48             | 10.22                  | 6   | 40882,41071,41260,40887,41076,41265 | 20.52    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512        | 12.58            | 15.16                  | 6   | 43745,43934,44123,43750,43939,44128 | 20.51    |
| 4   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 1          | 1.03             | 1.24                   | 6   | 6827,7002,7177,6832,7007,7182       | 20.39    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 4          | 1.19             | 1.43                   | 6   | 11566,11741,11916,11571,11746,11921 | 20.17    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 1.84             | 2.21                   | 6   | 32832,33035,33238,32837,33040,33243 | 20.11    |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 64         | 7.29             | 8.73                   | 6   | 50528,50717,50906,50533,50722,50911 | 19.75    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 4          | 1.07             | 1.28                   | 4   | 53902,54091,53907,54096             | 19.63    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4          | 1.02             | 1.22                   | 6   | 52768,52957,53146,52773,52962,53151 | 19.61    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 1          | 0.92             | 1.1                    | 6   | 8402,8577,8752,8407,8582,8757       | 19.57    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 16         | 5.49             | 6.54                   | 6   | 40308,40497,40686,40313,40502,40691 | 19.13    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 11.71            | 13.93                  | 6   | 44305,44494,44683,44310,44499,44688 | 18.96    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 8          | 1.27             | 1.51                   | 6   | 11048,11223,11398,11053,11228,11403 | 18.9     |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 8.95             | 10.64                  | 6   | 42030,42219,42408,42035,42224,42413 | 18.88    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 4          | 1.23             | 1.46                   | 6   | 29752,29955,30158,29757,29960,30163 | 18.7     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 2          | 1.13             | 1.34                   | 6   | 8934,9109,9284,8939,9114,9289       | 18.58    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 128        | 5.87             | 6.93                   | 6   | 47700,47889,48078,47705,47894,48083 | 18.06    |
| 12  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 64         | 2.94             | 3.47                   | 6   | 24404,24572,24740,24409,24577,24745 | 18.03    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 256        | 2.84             | 3.35                   | 6   | 53377,53566,53755,53382,53571,53760 | 17.96    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 16         | 1.45             | 1.71                   | 6   | 11055,11230,11405,11060,11235,11410 | 17.93    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 256        | 9.96             | 11.73                  | 6   | 44872,45061,45250,44877,45066,45255 | 17.77    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 27.69            | 32.59                  | 6   | 47728,47917,48106,47733,47922,48111 | 17.7     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 64         | 1.64             | 1.93                   | 6   | 1094,1269,1444,1099,1274,1449       | 17.68    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 32         | 6.86             | 8.07                   | 6   | 34645,34834,35023,34650,34839,35028 | 17.64    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 128        | 7.41             | 8.71                   | 6   | 46566,46755,46944,46571,46760,46949 | 17.54    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 128        | 8.9              | 10.39                  | 6   | 43731,43920,44109,43736,43925,44114 | 16.74    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2          | 1.02             | 1.19                   | 4   | 53895,54084,53900,54089             | 16.67    |
| 11  | 100        | 10000000 | 312500    | 93458    | 64     | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 16         | 2.35             | 2.74                   | 6   | 20862,21030,21198,20867,21035,21203 | 16.6     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 2048576    | 944.39           | 1101.01                | 6   | 34148,34351,34554,34153,34356,34559 | 16.58    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 4          | 1.15             | 1.34                   | 6   | 10516,10691,10866,10521,10696,10871 | 16.52    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 512        | 13.91            | 16.18                  | 6   | 36941,37130,37319,36946,37135,37324 | 16.32    |
