+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 12319.11                           | 22464.93                   | 6   | 35361,35550,35739,35362,35551,35740 | 10145.82 | 82.36    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 13303.1                            | 23311.48                   | 6   | 42732,42921,43110,42733,42922,43111 | 10008.38 | 75.23    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 5564.91                            | 12734.54                   | 6   | 10147,10322,10497,10148,10323,10498 | 7169.63  | 128.84   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 5587.91                            | 12746.96                   | 6   | 14872,15047,15222,14873,15048,15223 | 7159.05  | 128.12   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 5552.15                            | 12687.42                   | 6   | 9097,9272,9447,9098,9273,9448       | 7135.27  | 128.51   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 5552.71                            | 12647.02                   | 6   | 15922,16097,16272,15923,16098,16273 | 7094.31  | 127.76   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9244.86                            | 16150.34                   | 6   | 39323,39512,39701,39324,39513,39702 | 6905.48  | 74.7     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4435.23                            | 11012.5                    | 6   | 13822,13997,14172,13823,13998,14173 | 6577.27  | 148.3    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 4877.25                            | 11385.31                   | 6   | 10140,10315,10490,10141,10316,10491 | 6508.06  | 133.44   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 4960.69                            | 11467.86                   | 6   | 9090,9265,9440,9091,9266,9441       | 6507.17  | 131.17   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 4600.68                            | 11073.61                   | 6   | 12247,12422,12597,12248,12423,12598 | 6472.93  | 140.7    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 4936.19                            | 11351.13                   | 6   | 15915,16090,16265,15916,16091,16266 | 6414.94  | 129.96   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 4860.29                            | 11114.41                   | 6   | 11197,11372,11547,11198,11373,11548 | 6254.12  | 128.68   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 4993.77                            | 11247.87                   | 6   | 14865,15040,15215,14866,15041,15216 | 6254.1   | 125.24   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 4771.97                            | 11011.87                   | 6   | 12772,12947,13122,12773,12948,13123 | 6239.9   | 130.76   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1762144    | 8106.95                            | 14326.01                   | 6   | 37615,37804,37993,37616,37805,37994 | 6219.06  | 76.71    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 3252.34                            | 9152.62                    | 6   | 5422,5597,5772,5423,5598,5773       | 5900.28  | 181.42   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 3233.24                            | 9133.52                    | 6   | 4372,4547,4722,4373,4548,4723       | 5900.28  | 182.49   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 3234.0                             | 9125.6                     | 6   | 2797,2972,3147,2798,2973,3148       | 5891.6   | 182.18   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1762144    | 8753.92                            | 14565.63                   | 6   | 38749,38938,39127,38750,38939,39128 | 5811.71  | 66.39    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 3303.79                            | 9115.28                    | 6   | 3847,4022,4197,3848,4023,4198       | 5811.49  | 175.9    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 3936.55                            | 9705.77                    | 6   | 13815,13990,14165,13816,13991,14166 | 5769.22  | 146.56   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 4093.78                            | 9825.66                    | 6   | 12240,12415,12590,12241,12416,12591 | 5731.88  | 140.01   |
