+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-munro-3ded1b78 |  master  | cnt |                 qid                 |  diff   | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------------+----------+-----+-------------------------------------+---------+----------+
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 5552.15                            | 12763.94 | 6   | 9097,9272,9447,9094,9269,9444       | 7211.79 | 129.89   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 5552.71                            | 12721.84 | 6   | 15922,16097,16272,15919,16094,16269 | 7169.13 | 129.11   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 5564.91                            | 12721.47 | 6   | 10147,10322,10497,10144,10319,10494 | 7156.56 | 128.6    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 5587.91                            | 12717.83 | 6   | 14872,15047,15222,14869,15044,15219 | 7129.92 | 127.6    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 282768     | 4310.63                            | 11026.08 | 6   | 17469,17637,17805,17466,17634,17802 | 6715.45 | 155.79   |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 4109.31                            | 10774.04 | 6   | 697,872,1047,694,869,1044           | 6664.73 | 162.19   |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 282768     | 4323.26                            | 10957.12 | 6   | 23013,23181,23349,23010,23178,23346 | 6633.86 | 153.45   |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 4077.9                             | 10658.25 | 6   | 6472,6647,6822,6469,6644,6819       | 6580.35 | 161.37   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4435.23                            | 10979.01 | 6   | 13822,13997,14172,13819,13994,14169 | 6543.78 | 147.54   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 4877.25                            | 11352.74 | 6   | 10140,10315,10490,10137,10312,10487 | 6475.49 | 132.77   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 4960.69                            | 11358.63 | 6   | 9090,9265,9440,9087,9262,9437       | 6397.94 | 128.97   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 4600.68                            | 10986.94 | 6   | 12247,12422,12597,12244,12419,12594 | 6386.26 | 138.81   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 4993.77                            | 11377.65 | 6   | 14865,15040,15215,14862,15037,15212 | 6383.88 | 127.84   |
