+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------------+---------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro | patched-munro | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+-------------------------+---------------+-----+-------------------------------------+----------+
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8192       | 256.21                  | 647.93        | 6   | 10149,10269,10389,10150,10270,10390 | 152.89   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 76.01                   | 189.18        | 6   | 8339,8459,8579,8340,8460,8580       | 148.89   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 189018     | 5850.21                 | 14548.67      | 6   | 9104,9224,9344,9105,9225,9345       | 148.69   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 64018      | 1976.35                 | 4913.98       | 6   | 9084,9204,9324,9085,9205,9325       | 148.64   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 126518     | 3942.39                 | 9761.14       | 6   | 10174,10294,10414,10175,10295,10415 | 147.59   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 157768     | 4917.29                 | 12168.56      | 6   | 10179,10299,10419,10180,10300,10420 | 147.46   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 157768     | 4883.21                 | 12076.02      | 6   | 9099,9219,9339,9100,9220,9340       | 147.3    |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 64018      | 1986.1                  | 4890.65       | 6   | 10164,10284,10404,10165,10285,10405 | 146.24   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 189018     | 5872.95                 | 14428.7       | 6   | 10184,10304,10424,10185,10305,10425 | 145.68   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 95268      | 2974.66                 | 7301.38       | 6   | 10169,10289,10409,10170,10290,10410 | 145.45   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 32768      | 1024.01                 | 2513.03       | 6   | 10159,10279,10399,10160,10280,10400 | 145.41   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 32768      | 1062.96                 | 2602.65       | 6   | 9439,9559,9679,9440,9560,9680       | 144.85   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 251518     | 7834.57                 | 19149.3       | 6   | 10194,10314,10434,10195,10315,10435 | 144.42   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 220268     | 7135.8                  | 17346.97      | 6   | 8389,8509,8629,8390,8510,8630       | 143.1    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 251518     | 8148.26                 | 19777.58      | 6   | 8394,8514,8634,8395,8515,8635       | 142.72   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 95268      | 3096.48                 | 7503.64       | 6   | 9449,9569,9689,9450,9570,9690       | 142.33   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 135.56                  | 328.24        | 6   | 9424,9544,9664,9425,9545,9665       | 142.14   |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 189018     | 6142.48                 | 14851.78      | 6   | 8384,8504,8624,8385,8505,8625       | 141.79   |
| 7   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 64018      | 2087.46                 | 5036.58       | 6   | 9444,9564,9684,9445,9565,9685       | 141.28   |
