+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------+-----+-------------------------------------+----------+
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 1          | 1.01     | 1.95             | 6   | 24361,24529,24697,24362,24530,24698 | 93.07    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 134.01   | 224.1            | 6   | 8506,8681,8856,8507,8682,8857       | 67.23    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 65536      | 265.97   | 442.04           | 6   | 8513,8688,8863,8514,8689,8864       | 66.2     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 128036     | 501.97   | 834.14           | 6   | 8520,8695,8870,8521,8696,8871       | 66.17    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 16384      | 69.28    | 114.18           | 6   | 8499,8674,8849,8500,8675,8850       | 64.81    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 6048576    | 2197.3   | 3599.23          | 6   | 25040,25243,25446,25041,25244,25447 | 63.8     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1467.5   | 2390.27          | 6   | 25026,25229,25432,25027,25230,25433 | 62.88    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4          | 1.42     | 2.3              | 6   | 11040,11215,11390,11041,11216,11391 | 61.97    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 5048576    | 1834.95  | 2967.89          | 6   | 25033,25236,25439,25034,25237,25440 | 61.74    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8048576    | 2938.6   | 4732.64          | 6   | 25054,25257,25460,25055,25258,25461 | 61.05    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 524288     | 198.7    | 317.71           | 6   | 24998,25201,25404,24999,25202,25405 | 59.89    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 16384      | 70.6     | 112.6            | 6   | 15324,15499,15674,15325,15500,15675 | 59.49    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 2048576    | 758.13   | 1206.38          | 6   | 25012,25215,25418,25013,25216,25419 | 59.13    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 37.51    | 59.16            | 6   | 15317,15492,15667,15318,15493,15668 | 57.72    |
