+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------+-----+-------------------------------------+----------+
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 65536      | 477.55                           | 1286.09          | 6   | 13768,13943,14118,13764,13939,14114 | 169.31   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 16384      | 122.61                           | 323.2            | 6   | 13754,13929,14104,13750,13925,14100 | 163.6    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 253036     | 1902.56                          | 4967.24          | 6   | 13789,13964,14139,13785,13960,14135 | 161.08   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 25.53                            | 65.53            | 6   | 4290,4465,4640,4286,4461,4636       | 156.68   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2911.07                          | 7470.65          | 6   | 13803,13978,14153,13799,13974,14149 | 156.63   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 315536     | 2412.66                          | 6147.26          | 6   | 13796,13971,14146,13792,13967,14142 | 154.79   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 32.52                            | 82.8             | 6   | 13740,13915,14090,13736,13911,14086 | 154.61   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 13.76                            | 34.07            | 6   | 2708,2883,3058,2704,2879,3054       | 147.6    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 32768      | 268.13                           | 652.78           | 6   | 12186,12361,12536,12182,12357,12532 | 143.46   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 128036     | 1058.52                          | 2568.98          | 6   | 12725,12900,13075,12721,12896,13071 | 142.7    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 65536      | 528.97                           | 1281.62          | 6   | 12193,12368,12543,12189,12364,12539 | 142.29   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 8192       | 84.75                            | 201.91           | 6   | 14797,14972,15147,14793,14968,15143 | 138.24   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4250.55                          | 10123.98         | 6   | 12767,12942,13117,12763,12938,13113 | 138.18   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 49.7                             | 118.23           | 6   | 4297,4472,4647,4293,4468,4643       | 137.89   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 253036     | 2121.35                          | 5041.85          | 6   | 12739,12914,13089,12735,12910,13085 | 137.67   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 36.64                            | 86.77            | 6   | 12690,12865,13040,12686,12861,13036 | 136.82   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 4096       | 35.48                            | 83.99            | 6   | 12165,12340,12515,12161,12336,12511 | 136.72   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 65536      | 562.96                           | 1320.89          | 6   | 11143,11318,11493,11139,11314,11489 | 134.63   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 143.98                           | 336.02           | 6   | 11129,11304,11479,11125,11300,11475 | 133.38   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 4096       | 37.44                            | 86.94            | 6   | 11115,11290,11465,11111,11286,11461 | 132.21   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 16384      | 166.15                           | 379.25           | 6   | 10079,10254,10429,10075,10250,10425 | 128.26   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 8192       | 84.69                            | 192.89           | 6   | 10072,10247,10422,10068,10243,10418 | 127.76   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 2048       | 22.9                             | 51.91            | 6   | 14783,14958,15133,14779,14954,15129 | 126.68   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 19.11                            | 43.13            | 6   | 12158,12333,12508,12154,12329,12504 | 125.69   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1024       | 8.31                             | 18.74            | 6   | 4276,4451,4626,4272,4447,4622       | 125.51   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 19.85                            | 44.67            | 6   | 11108,11283,11458,11104,11279,11454 | 125.04   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 4096       | 43.12                            | 96.37            | 6   | 10065,10240,10415,10061,10236,10411 | 123.49   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 16384      | 96.88                            | 215.15           | 6   | 4304,4479,4654,4300,4475,4650       | 122.08   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 1024       | 7.79                             | 17.05            | 6   | 3751,3926,4101,3747,3922,4097       | 118.87   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 1024       | 8.01                             | 17.47            | 6   | 2701,2876,3051,2697,2872,3047       | 118.1    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 2048       | 13.8                             | 29.87            | 6   | 5333,5508,5683,5329,5504,5679       | 116.45   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 8192       | 49.94                            | 107.71           | 6   | 2722,2897,3072,2718,2893,3068       | 115.68   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 1024       | 12.61                            | 27.17            | 6   | 14776,14951,15126,14772,14947,15122 | 115.46   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 16384      | 97.48                            | 209.93           | 6   | 5354,5529,5704,5350,5525,5700       | 115.36   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 1024       | 7.86                             | 16.59            | 6   | 5326,5501,5676,5322,5497,5672       | 111.07   |
