+-----+------------+----------+-----------+----------+-------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+---------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched  | patched-munro | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+-------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+---------------+-----+-------------------------------------+----------+
| 39  | 60         | 10000000 | 10000000  | 156250   | 65536 | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1024       | 12.49    | 28.26         | 6   | 63157,63302,63447,63160,63305,63450 | 126.26   |
| 46  | 20         | 10000000 | 5000000   | 476191   | 1024  | 512   | 2    | io_uring | 12        | 16  | increase  | desc        | asc        | 1          | 1.07     | 2.4           | 6   | 74282,74422,74562,74285,74425,74565 | 124.3    |
| 29  | 80         | 10000000 | 10000000  | 117648   | 4     | 2048  | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 1          | 0.8      | 1.74          | 6   | 46187,46332,46477,46190,46335,46480 | 117.5    |
| 37  | 60         | 10000000 | 10000000  | 156250   | 65536 | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 2048       | 16.01    | 32.41         | 6   | 58812,58957,59102,58815,58960,59105 | 102.44   |
| 4   | 80         | 10000000 | 10000000  | 117648   | 16384 | 128   | 1    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024       | 8.1      | 15.97         | 6   | 6577,6722,6867,6580,6725,6870       | 97.16    |
| 39  | 60         | 10000000 | 10000000  | 156250   | 65536 | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | desc       | 2048       | 18.46    | 35.44         | 6   | 63162,63307,63452,63165,63310,63455 | 91.98    |
| 8   | 60         | 10000000 | 5000000   | 156250   | 16384 | 2048  | 2    | worker   | 12        | 16  | decrease  | desc        | desc       | 256        | 8.48     | 16.08         | 6   | 12462,12602,12742,12465,12605,12745 | 89.62    |
| 1   | 80         | 10000000 | 10000000  | 117648   | 16384 | 128   | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 2          | 1.0      | 1.88          | 6   | 1312,1457,1602,1315,1460,1605       | 88.0     |
| 37  | 60         | 10000000 | 10000000  | 156250   | 65536 | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 256        | 12.99    | 23.97         | 6   | 59667,59812,59957,59670,59815,59960 | 84.53    |
| 23  | 100        | 10000000 | 2500000   | 93458    | 4     | 32    | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 1          | 0.88     | 1.61          | 6   | 36617,36752,36887,36620,36755,36890 | 82.95    |
| 37  | 60         | 10000000 | 10000000  | 156250   | 65536 | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 2048       | 14.65    | 26.44         | 6   | 59247,59392,59537,59250,59395,59540 | 80.48    |
| 18  | 20         | 10000000 | 5000000   | 476191   | 4     | 512   | 2    | worker   | 12        | 16  | increase  | desc        | asc        | 1          | 0.97     | 1.72          | 6   | 27122,27262,27402,27125,27265,27405 | 77.32    |
| 7   | 60         | 10000000 | 5000000   | 156250   | 16384 | 2048  | 2    | io_uring | 12        | 16  | decrease  | asc         | desc       | 128        | 10.76    | 18.96         | 6   | 11617,11757,11897,11620,11760,11900 | 76.21    |
| 2   | 80         | 10000000 | 10000000  | 117648   | 16384 | 128   | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 1024       | 8.98     | 15.66         | 6   | 2227,2372,2517,2230,2375,2520       | 74.39    |
