+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-2-3ded1b78 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------------------+-----+-------------------------------------+----------+----------+
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2262144    | 12415.69               | 22690.36                     | 6   | 41601,41790,41979,41597,41786,41975 | 10274.67 | 82.76    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2262144    | 10323.71               | 18219.11                     | 6   | 39333,39522,39711,39329,39518,39707 | 7895.4   | 76.48    |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 2262144    | 11088.09               | 18635.01                     | 6   | 40467,40656,40845,40463,40652,40841 | 7546.92  | 68.06    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2262144    | 11217.28               | 18715.26                     | 6   | 38766,38955,39144,38762,38951,39140 | 7497.98  | 66.84    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2012144    | 9259.01                | 16163.59                     | 6   | 37625,37814,38003,37621,37810,37999 | 6904.58  | 74.57    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4445.59                | 10961.59                     | 6   | 13825,14000,14175,13821,13996,14171 | 6516.0   | 146.57   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 4799.93                | 11295.84                     | 6   | 12775,12950,13125,12771,12946,13121 | 6495.91  | 135.33   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1762144    | 8750.78                | 14584.46                     | 6   | 38752,38941,39130,38748,38937,39126 | 5833.68  | 66.66    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 8249.1                 | 14023.53                     | 6   | 25676,25879,26082,25672,25875,26078 | 5774.43  | 70.0     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 9048576    | 8328.87                | 14098.01                     | 6   | 32375,32578,32781,32371,32574,32777 | 5769.14  | 69.27    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 3940.62                | 9644.51                      | 6   | 13818,13993,14168,13814,13989,14164 | 5703.89  | 144.75   |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 9048576    | 8323.6                 | 14008.47                     | 6   | 26894,27097,27300,26890,27093,27296 | 5684.87  | 68.3     |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 9048576    | 8430.53                | 14061.99                     | 6   | 33593,33796,33999,33589,33792,33995 | 5631.46  | 66.8     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4247.33                | 9848.73                      | 6   | 12768,12943,13118,12764,12939,13114 | 5601.4   | 131.88   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 4843.39                | 10297.2                      | 6   | 11200,11375,11550,11196,11371,11546 | 5453.81  | 112.6    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 4609.34                | 10012.23                     | 6   | 12250,12425,12600,12246,12421,12596 | 5402.89  | 117.22   |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 9048576    | 6919.52                | 12169.49                     | 6   | 31157,31360,31563,31153,31356,31559 | 5249.97  | 75.87    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 8048576    | 7304.16                | 12549.45                     | 6   | 25669,25872,26075,25665,25868,26071 | 5245.29  | 71.81    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 9048576    | 6928.4                 | 12157.7                      | 6   | 29330,29533,29736,29326,29529,29732 | 5229.3   | 75.48    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 1512144    | 7494.43                | 12678.78                     | 6   | 38745,38934,39123,38741,38930,39119 | 5184.35  | 69.18    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 8048576    | 7351.25                | 12503.85                     | 6   | 32368,32571,32774,32364,32567,32770 | 5152.6   | 70.09    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 440536     | 3409.55                | 8537.31                      | 6   | 13811,13986,14161,13807,13982,14157 | 5127.76  | 150.39   |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8048576    | 7425.56                | 12537.39                     | 6   | 33586,33789,33992,33582,33785,33988 | 5111.83  | 68.84    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 440536     | 3705.22                | 8785.84                      | 6   | 12761,12936,13111,12757,12932,13107 | 5080.62  | 137.12   |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 9048576    | 7197.92                | 12175.54                     | 6   | 29939,30142,30345,29935,30138,30341 | 4977.62  | 69.15    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 8048576    | 7431.0                 | 12406.29                     | 6   | 26887,27090,27293,26883,27086,27289 | 4975.29  | 66.95    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 9048576    | 7241.71                | 12189.38                     | 6   | 28112,28315,28518,28108,28311,28514 | 4947.67  | 68.32    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 503036     | 4321.33                | 9089.85                      | 6   | 11193,11368,11543,11189,11364,11539 | 4768.52  | 110.35   |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 8048576    | 6112.2                 | 10828.78                     | 6   | 29323,29526,29729,29319,29522,29725 | 4716.58  | 77.17    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 4922.63                | 9469.65                      | 6   | 10143,10318,10493,10139,10314,10489 | 4547.02  | 92.37    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 6268.71                | 10806.9                      | 6   | 31150,31353,31556,31146,31349,31552 | 4538.19  | 72.39    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 7048576    | 6469.54                | 10971.1                      | 6   | 25662,25865,26068,25658,25861,26064 | 4501.56  | 69.58    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2938.59                | 7428.5                       | 6   | 13804,13979,14154,13800,13975,14150 | 4489.91  | 152.79   |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 8048576    | 6369.08                | 10854.46                     | 6   | 28105,28308,28511,28101,28304,28507 | 4485.38  | 70.42    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 8048576    | 6375.77                | 10836.75                     | 6   | 29932,30135,30338,29928,30131,30334 | 4460.98  | 69.97    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 7048576    | 6515.01                | 10975.48                     | 6   | 33579,33782,33985,33575,33778,33981 | 4460.47  | 68.46    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 7048576    | 6509.01                | 10950.95                     | 6   | 26880,27083,27286,26876,27079,27282 | 4441.94  | 68.24    |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1262144    | 5810.17                | 10220.34                     | 6   | 37604,37793,37982,37600,37789,37978 | 4410.17  | 75.9     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 378036     | 3198.2                 | 7598.22                      | 6   | 12754,12929,13104,12750,12925,13100 | 4400.02  | 137.58   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1262144    | 6154.72                | 10425.61                     | 6   | 40439,40628,40817,40435,40624,40813 | 4270.89  | 69.39    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 4099.49                | 8349.39                      | 6   | 12243,12418,12593,12239,12414,12589 | 4249.9   | 103.67   |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 7048576    | 5307.86                | 9491.88                      | 6   | 31143,31346,31549,31139,31342,31545 | 4184.02  | 78.83    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 7048576    | 5323.87                | 9450.13                      | 6   | 29316,29519,29722,29312,29515,29718 | 4126.26  | 77.5     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 440536     | 3582.23                | 7698.74                      | 6   | 12236,12411,12586,12232,12407,12582 | 4116.51  | 114.91   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 440536     | 3765.3                 | 7808.78                      | 6   | 11186,11361,11536,11182,11357,11532 | 4043.48  | 107.39   |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 6048576    | 5441.85                | 9399.02                      | 6   | 25655,25858,26061,25651,25854,26057 | 3957.17  | 72.72    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 7048576    | 5531.61                | 9482.49                      | 6   | 28098,28301,28504,28094,28297,28500 | 3950.88  | 71.42    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 7048576    | 5542.36                | 9481.0                       | 6   | 29925,30128,30331,29921,30124,30327 | 3938.64  | 71.06    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 6048576    | 5551.12                | 9414.05                      | 6   | 26873,27076,27279,26869,27072,27275 | 3862.93  | 69.59    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 6048576    | 5579.32                | 9400.93                      | 6   | 32354,32557,32760,32350,32553,32756 | 3821.61  | 68.5     |
