+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched  | patched-geoghegan | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+-------------------+-----+-------------------------------------+----------+
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1012144    | 5031.0   | 11654.79          | 6   | 4157,4292,4427,4158,4293,4428       | 131.66   |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 65536      | 381.03   | 767.91            | 6   | 4132,4267,4402,4133,4268,4403       | 101.54   |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1012144    | 5547.42  | 10027.22          | 6   | 512,647,782,513,648,783             | 80.75    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2012144    | 11075.21 | 19848.36          | 6   | 4987,5122,5257,4988,5123,5258       | 79.21    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 131072     | 744.6    | 1319.33           | 6   | 492,627,762,493,628,763             | 77.19    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 1762144    | 8122.93  | 14191.2           | 6   | 3362,3497,3632,3363,3498,3633       | 74.71    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 762144     | 3561.94  | 6198.87           | 6   | 2127,2262,2397,2128,2263,2398       | 74.03    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 762144     | 3497.38  | 6071.62           | 6   | 3342,3477,3612,3343,3478,3613       | 73.6     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9272.98  | 16048.75          | 6   | 3367,3502,3637,3368,3503,3638       | 73.07    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 262144     | 1237.94  | 2122.82           | 6   | 2117,2252,2387,2118,2253,2388       | 71.48    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 131072     | 659.52   | 1095.56           | 6   | 2922,3057,3192,2923,3058,3193       | 66.11    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1262144    | 6274.1   | 10355.4           | 6   | 4162,4297,4432,4163,4298,4433       | 65.05    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 1512144    | 7518.03  | 12396.88          | 6   | 4167,4302,4437,4168,4303,4438       | 64.9     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 262144     | 1328.73  | 2181.5            | 6   | 2927,3062,3197,2928,3063,3198       | 64.18    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 32         | 5.87     | 9.05              | 6   | 4482,4617,4752,4483,4618,4753       | 54.17    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 16384      | 94.74    | 145.92            | 6   | 2907,3042,3177,2908,3043,3178       | 54.02    |
