+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------+-----+-------------------------------------+----------+
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 128036     | 924.83                 | 2496.31          | 6   | 13776,13951,14126,13771,13946,14121 | 169.92   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 32768      | 238.37                 | 642.82           | 6   | 13762,13937,14112,13757,13932,14107 | 169.67   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 65536      | 481.64                 | 1286.09          | 6   | 13769,13944,14119,13764,13939,14114 | 167.02   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 16384      | 121.61                 | 323.2            | 6   | 13755,13930,14105,13750,13925,14100 | 165.77   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 190536     | 1398.7                 | 3701.31          | 6   | 13783,13958,14133,13778,13953,14128 | 164.63   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 8192       | 61.99                  | 162.54           | 6   | 13748,13923,14098,13743,13918,14093 | 162.2    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 253036     | 1912.87                | 4967.24          | 6   | 13790,13965,14140,13785,13960,14135 | 159.67   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 315536     | 2399.14                | 6147.26          | 6   | 13797,13972,14147,13792,13967,14142 | 156.23   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2938.59                | 7470.65          | 6   | 13804,13979,14154,13799,13974,14149 | 154.23   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 440536     | 3409.55                | 8591.82          | 6   | 13811,13986,14161,13806,13981,14156 | 151.99   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 26.01                  | 65.53            | 6   | 4291,4466,4641,4286,4461,4636       | 151.94   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 33.09                  | 82.8             | 6   | 13741,13916,14091,13736,13911,14086 | 150.23   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 3940.62                | 9831.58          | 6   | 13818,13993,14168,13813,13988,14163 | 149.49   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 32768      | 282.33                 | 703.47           | 6   | 11137,11312,11487,11132,11307,11482 | 149.17   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4445.59                | 11032.44         | 6   | 13825,14000,14175,13820,13995,14170 | 148.17   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 16384      | 139.2                  | 343.16           | 6   | 12705,12880,13055,12700,12875,13050 | 146.52   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 2048       | 13.87                  | 34.08            | 6   | 4284,4459,4634,4279,4454,4629       | 145.71   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 65536      | 542.54                 | 1330.5           | 6   | 12719,12894,13069,12714,12889,13064 | 145.24   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 128036     | 1051.71                | 2568.98          | 6   | 12726,12901,13076,12721,12896,13071 | 144.27   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 16384      | 164.83                 | 402.61           | 6   | 14805,14980,15155,14800,14975,15150 | 144.26   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 70.12                  | 170.76           | 6   | 12698,12873,13048,12693,12868,13043 | 143.53   |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2048       | 14.06                  | 34.07            | 6   | 2709,2884,3059,2704,2879,3054       | 142.32   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 32768      | 269.52                 | 652.78           | 6   | 12187,12362,12537,12182,12357,12532 | 142.2    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 32768      | 274.08                 | 663.23           | 6   | 12712,12887,13062,12707,12882,13057 | 141.98   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 32768      | 329.32                 | 793.73           | 6   | 14812,14987,15162,14807,14982,15157 | 141.02   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 8192       | 84.35                  | 203.22           | 6   | 9023,9198,9373,9018,9193,9368       | 140.92   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 16384      | 135.52                 | 326.06           | 6   | 12180,12355,12530,12175,12350,12525 | 140.6    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 190536     | 1589.57                | 3820.26          | 6   | 12733,12908,13083,12728,12903,13078 | 140.33   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 65536      | 533.9                  | 1281.62          | 6   | 12194,12369,12544,12189,12364,12539 | 140.05   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 8192       | 84.32                  | 201.91           | 6   | 14798,14973,15148,14793,14968,15143 | 139.46   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4247.33                | 10123.98         | 6   | 12768,12943,13118,12763,12938,13113 | 138.36   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 253036     | 2116.17                | 5041.85          | 6   | 12740,12915,13090,12735,12910,13085 | 138.25   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 49.73                  | 118.23           | 6   | 4298,4473,4648,4293,4468,4643       | 137.74   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 440536     | 3705.22                | 8789.96          | 6   | 12761,12936,13111,12756,12931,13106 | 137.23   |
