+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba |  master  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------+-----+-------------------------------------+----------+
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 26.18                  | 207.66   | 6   | 51135,51324,51513,51129,51318,51507 | 693.2    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 44.76                  | 352.1    | 6   | 43771,43960,44149,43765,43954,44143 | 686.64   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 44.61                  | 343.16   | 6   | 51142,51331,51520,51136,51325,51514 | 669.24   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 4096       | 45.69                  | 347.99   | 6   | 48307,48496,48685,48301,48490,48679 | 661.63   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4096       | 45.46                  | 343.61   | 6   | 52276,52465,52654,52270,52459,52648 | 655.85   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 4096       | 50.98                  | 383.95   | 6   | 47173,47362,47551,47167,47356,47545 | 653.14   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 51.21                  | 383.6    | 6   | 46039,46228,46417,46033,46222,46411 | 649.07   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 4096       | 48.54                  | 358.31   | 6   | 44905,45094,45283,44899,45088,45277 | 638.17   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 4096       | 49.58                  | 364.63   | 6   | 49441,49630,49819,49435,49624,49813 | 635.44   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1024       | 16.38                  | 120.28   | 6   | 46592,46781,46970,46586,46775,46964 | 634.31   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 72.56                  | 530.67   | 6   | 48314,48503,48692,48308,48497,48686 | 631.35   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2048       | 30.22                  | 216.83   | 6   | 51702,51891,52080,51696,51885,52074 | 617.5    |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 4096       | 51.23                  | 364.65   | 6   | 47740,47929,48118,47734,47923,48112 | 611.79   |
