+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-728899ba | cnt |                 qid                 |   diff   | pct_diff |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 157768     | 1125.96  | 1243.88          | 6   | 17942,18110,18278,17943,18111,18279 | 117.92   | 10.47    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 2008.77  | 2125.96          | 6   | 14309,14484,14659,14310,14485,14660 | 117.19   | 5.83     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 189018     | 2852.6   | 2965.92          | 6   | 22485,22653,22821,22486,22654,22822 | 113.32   | 3.97     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 253036     | 4931.74  | 5041.85          | 6   | 12734,12909,13084,12735,12910,13085 | 110.11   | 2.23     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 2828.43  | 2937.79          | 6   | 3298,3473,3648,3299,3474,3649       | 109.36   | 3.87     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1235.9   | 1343.29          | 6   | 9591,9766,9941,9592,9767,9942       | 107.39   | 8.69     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4231.64  | 4335.74          | 6   | 3319,3494,3669,3320,3495,3670       | 104.1    | 2.46     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 65536      | 268.3    | 365.99           | 6   | 15338,15513,15688,15339,15514,15689 | 97.69    | 36.41    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 2020.16  | 2116.88          | 6   | 11684,11859,12034,11685,11860,12035 | 96.72    | 4.79     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 3811.98  | 3907.19          | 6   | 3312,3487,3662,3313,3488,3663       | 95.21    | 2.5      |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | desc        | asc        | 503036     | 3740.04  | 3830.99          | 6   | 2262,2437,2612,2263,2438,2613       | 90.95    | 2.43     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 251518     | 1878.23  | 1968.6           | 6   | 24515,24683,24851,24516,24684,24852 | 90.37    | 4.81     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3297.33  | 3387.52          | 6   | 3305,3480,3655,3306,3481,3656       | 90.19    | 2.74     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 32768      | 134.01   | 224.1            | 6   | 8506,8681,8856,8507,8682,8857       | 90.09    | 67.23    |
