+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| 17  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 2262144    | 12308.71               | 22464.93                   | 6   | 35364,35553,35742,35362,35551,35740 | 10156.22 | 82.51    |
| 20  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2262144    | 13348.93               | 23311.48                   | 6   | 42735,42924,43113,42733,42922,43111 | 9962.55  | 74.63    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 5537.59                | 12734.54                   | 6   | 10150,10325,10500,10148,10323,10498 | 7196.95  | 129.97   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 5562.83                | 12687.42                   | 6   | 9100,9275,9450,9098,9273,9448       | 7124.59  | 128.07   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 5628.94                | 12746.96                   | 6   | 14875,15050,15225,14873,15048,15223 | 7118.02  | 126.45   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 5564.31                | 12647.02                   | 6   | 15925,16100,16275,15923,16098,16273 | 7082.71  | 127.29   |
| 19  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2012144    | 9201.71                | 16150.34                   | 6   | 39326,39515,39704,39324,39513,39702 | 6948.63  | 75.51    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4445.59                | 11012.5                    | 6   | 13825,14000,14175,13823,13998,14173 | 6566.91  | 147.72   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 503036     | 4951.1                 | 11467.86                   | 6   | 9093,9268,9443,9091,9266,9441       | 6516.76  | 131.62   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 4609.34                | 11073.61                   | 6   | 12250,12425,12600,12248,12423,12598 | 6464.27  | 140.24   |
| 5   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 503036     | 4922.63                | 11385.31                   | 6   | 10143,10318,10493,10141,10316,10491 | 6462.68  | 131.29   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 4911.31                | 11351.13                   | 6   | 15918,16093,16268,15916,16091,16266 | 6439.82  | 131.12   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 4843.39                | 11114.41                   | 6   | 11200,11375,11550,11198,11373,11548 | 6271.02  | 129.48   |
| 8   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 5005.9                 | 11247.87                   | 6   | 14868,15043,15218,14866,15041,15216 | 6241.97  | 124.69   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 4799.93                | 11011.87                   | 6   | 12775,12950,13125,12773,12948,13123 | 6211.94  | 129.42   |
| 18  | 20         | 10000000 | 2500000   | 476191   | 1024   | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 1762144    | 8136.69                | 14326.01                   | 6   | 37618,37807,37996,37616,37805,37994 | 6189.32  | 76.07    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 3248.19                | 9152.62                    | 6   | 5425,5600,5775,5423,5598,5773       | 5904.43  | 181.78   |
| 3   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 3229.12                | 9133.52                    | 6   | 4375,4550,4725,4373,4548,4723       | 5904.4   | 182.85   |
