+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+----------+
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 2048       | 27.79                      | 207.75   | 6   | 44896,45085,45274,44892,45081,45270 | 647.57   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 4096       | 48.59                      | 362.03   | 6   | 46604,46793,46982,46600,46789,46978 | 645.07   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 4096       | 48.27                      | 358.31   | 6   | 44903,45092,45281,44899,45088,45277 | 642.3    |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 2048       | 29.1                       | 215.51   | 6   | 48865,49054,49243,48861,49050,49239 | 640.58   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 4096       | 46.59                      | 343.16   | 6   | 51140,51329,51518,51136,51325,51514 | 636.55   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 4096       | 49.94                      | 364.65   | 6   | 47738,47927,48116,47734,47923,48112 | 630.18   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 72.73                      | 530.67   | 6   | 48312,48501,48690,48308,48497,48686 | 629.64   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 8192       | 75.57                      | 549.64   | 6   | 51147,51336,51525,51143,51332,51521 | 627.33   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 4096       | 53.27                      | 383.6    | 6   | 46037,46226,46415,46033,46222,46411 | 620.11   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 4096       | 53.4                       | 383.95   | 6   | 47171,47360,47549,47167,47356,47545 | 619.01   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 4096       | 50.92                      | 365.61   | 6   | 50573,50762,50951,50569,50758,50947 | 618.01   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 8192       | 80.97                      | 580.95   | 6   | 46044,46233,46422,46040,46229,46418 | 617.49   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 2048       | 29.33                      | 209.45   | 6   | 43762,43951,44140,43758,43947,44136 | 614.12   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 4096       | 53.88                      | 383.48   | 6   | 50006,50195,50384,50002,50191,50380 | 611.73   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 4096       | 49.49                      | 352.1    | 6   | 43769,43958,44147,43765,43954,44143 | 611.46   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 4096       | 52.57                      | 373.41   | 6   | 44336,44525,44714,44332,44521,44710 | 610.31   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 4096       | 51.93                      | 368.59   | 6   | 45470,45659,45848,45466,45655,45844 | 609.78   |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 16384      | 108.87                     | 769.95   | 6   | 46618,46807,46996,46614,46803,46992 | 607.22   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1024       | 17.03                      | 120.25   | 6   | 52260,52449,52638,52256,52445,52634 | 606.11   |
| 23  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 2048       | 31.04                      | 218.52   | 6   | 48298,48487,48676,48294,48483,48672 | 603.99   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 2048       | 29.5                       | 207.66   | 6   | 51133,51322,51511,51129,51318,51507 | 603.93   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4096       | 48.97                      | 343.61   | 6   | 52274,52463,52652,52270,52459,52648 | 601.67   |
| 24  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4096       | 53.37                      | 374.35   | 6   | 51707,51896,52085,51703,51892,52081 | 601.42   |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 8192       | 84.34                      | 591.07   | 6   | 45477,45666,45855,45473,45662,45851 | 600.82   |
