+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 282768     | 4294.64                    | 11026.08 | 6   | 17470,17638,17806,17466,17634,17802 | 6731.44 | 156.74   |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 282768     | 4278.78                    | 10957.12 | 6   | 23014,23182,23350,23010,23178,23346 | 6678.34 | 156.08   |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 565536     | 4117.14                    | 10774.04 | 6   | 698,873,1048,694,869,1044           | 6656.9  | 161.69   |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 4119.68                    | 10658.25 | 6   | 6473,6648,6823,6469,6644,6819       | 6538.57 | 158.72   |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 565536     | 4327.59                    | 10690.11 | 6   | 7523,7698,7873,7519,7694,7869       | 6362.52 | 147.02   |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 565536     | 4309.67                    | 10648.68 | 6   | 1748,1923,2098,1744,1919,2094       | 6339.01 | 147.09   |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 282768     | 4893.56                    | 10988.0  | 6   | 18478,18646,18814,18474,18642,18810 | 6094.44 | 124.54   |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 282768     | 4907.89                    | 11002.25 | 6   | 24022,24190,24358,24018,24186,24354 | 6094.36 | 124.17   |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 251518     | 2462.84                    | 8441.38  | 6   | 19479,19647,19815,19475,19643,19811 | 5978.54 | 242.75   |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 282768     | 2742.63                    | 8695.5   | 6   | 19486,19654,19822,19482,19650,19818 | 5952.87 | 217.05   |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | asc        | 282768     | 2819.55                    | 8758.25  | 6   | 20998,21166,21334,20994,21162,21330 | 5938.7  | 210.63   |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | asc         | desc       | 251518     | 3847.45                    | 9769.88  | 6   | 17463,17631,17799,17459,17627,17795 | 5922.43 | 153.93   |
