+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro-728899ba | patched-728899ba | cnt |                 qid                 |   diff   | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------+------------------+-----+-------------------------------------+----------+----------+
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 8249.1                 | 15339.83         | 6   | 25676,25879,26082,25671,25874,26077 | 7090.73  | 85.96    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 8048576    | 7304.16                | 14340.74         | 6   | 25669,25872,26075,25664,25867,26070 | 7036.58  | 96.34    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 9048576    | 8328.87                | 15315.47         | 6   | 32375,32578,32781,32370,32573,32776 | 6986.6   | 83.88    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 565536     | 4445.59                | 11032.44         | 6   | 13825,14000,14175,13820,13995,14170 | 6586.85  | 148.17   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 565536     | 4799.93                | 11216.39         | 6   | 12775,12950,13125,12770,12945,13120 | 6416.46  | 133.68   |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 8048576    | 7351.25                | 13722.84         | 6   | 32368,32571,32774,32363,32566,32769 | 6371.59  | 86.67    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 9048576    | 8323.6                 | 14417.1          | 6   | 26894,27097,27300,26889,27092,27295 | 6093.5   | 73.21    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 9048576    | 8430.53                | 14478.93         | 6   | 33593,33796,33999,33588,33791,33994 | 6048.4   | 71.74    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 503036     | 3940.62                | 9831.58          | 6   | 13818,13993,14168,13813,13988,14163 | 5890.96  | 149.49   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 503036     | 4247.33                | 10123.98         | 6   | 12768,12943,13118,12763,12938,13113 | 5876.65  | 138.36   |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 9048576    | 7197.92                | 13067.33         | 6   | 29939,30142,30345,29934,30137,30340 | 5869.41  | 81.54    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 9048576    | 7241.71                | 13105.11         | 6   | 28112,28315,28518,28107,28310,28513 | 5863.4   | 80.97    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 7048576    | 6469.54                | 11935.64         | 6   | 25662,25865,26068,25657,25860,26063 | 5466.1   | 84.49    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 8048576    | 7425.56                | 12880.97         | 6   | 33586,33789,33992,33581,33784,33987 | 5455.41  | 73.47    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 8048576    | 6375.77                | 11726.16         | 6   | 29932,30135,30338,29927,30130,30333 | 5350.39  | 83.92    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 8048576    | 7431.0                 | 12774.18         | 6   | 26887,27090,27293,26882,27085,27288 | 5343.18  | 71.9     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 9048576    | 6928.4                 | 12267.81         | 6   | 29330,29533,29736,29325,29528,29731 | 5339.41  | 77.07    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 9048576    | 6919.52                | 12253.51         | 6   | 31157,31360,31563,31152,31355,31558 | 5333.99  | 77.09    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 8048576    | 6369.08                | 11626.65         | 6   | 28105,28308,28511,28100,28303,28506 | 5257.57  | 82.55    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 565536     | 4609.34                | 9800.41          | 6   | 12250,12425,12600,12245,12420,12595 | 5191.07  | 112.62   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 440536     | 3409.55                | 8591.82          | 6   | 13811,13986,14161,13806,13981,14156 | 5182.27  | 151.99   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 565536     | 4843.39                | 9984.55          | 6   | 11200,11375,11550,11195,11370,11545 | 5141.16  | 106.15   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 440536     | 3705.22                | 8789.96          | 6   | 12761,12936,13111,12756,12931,13106 | 5084.74  | 137.23   |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 8048576    | 6112.2                 | 10908.91         | 6   | 29323,29526,29729,29318,29521,29724 | 4796.71  | 78.48    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 6048576    | 5441.85                | 10218.76         | 6   | 25655,25858,26061,25650,25853,26056 | 4776.91  | 87.78    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 7048576    | 6515.01                | 11272.13         | 6   | 33579,33782,33985,33574,33777,33980 | 4757.12  | 73.02    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 7048576    | 6509.01                | 11221.06         | 6   | 26880,27083,27286,26875,27078,27281 | 4712.05  | 72.39    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 8048576    | 6268.71                | 10932.4          | 6   | 31150,31353,31556,31145,31348,31551 | 4663.69  | 74.4     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 7048576    | 5531.61                | 10193.83         | 6   | 28098,28301,28504,28093,28296,28499 | 4662.22  | 84.28    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 7048576    | 5542.36                | 10186.2          | 6   | 29925,30128,30331,29920,30123,30326 | 4643.84  | 83.79    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 378036     | 2938.59                | 7470.65          | 6   | 13804,13979,14154,13799,13974,14149 | 4532.06  | 154.23   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 503036     | 4321.33                | 8718.55          | 6   | 11193,11368,11543,11188,11363,11538 | 4397.22  | 101.76   |
| 6   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | desc       | 503036     | 4099.49                | 8456.77          | 6   | 12243,12418,12593,12238,12413,12588 | 4357.28  | 106.29   |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 378036     | 3198.2                 | 7531.62          | 6   | 12754,12929,13104,12749,12924,13099 | 4333.42  | 135.5    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 7048576    | 5307.86                | 9560.11          | 6   | 31143,31346,31549,31138,31341,31544 | 4252.25  | 80.11    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | desc        | desc       | 7048576    | 5323.87                | 9566.48          | 6   | 29316,29519,29722,29311,29514,29717 | 4242.61  | 79.69    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 6048576    | 5551.12                | 9656.37          | 6   | 26873,27076,27279,26868,27071,27274 | 4105.25  | 73.95    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 6048576    | 5635.58                | 9667.95          | 6   | 33572,33775,33978,33567,33770,33973 | 4032.37  | 71.55    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 6048576    | 4762.4                 | 8757.99          | 6   | 29918,30121,30324,29913,30116,30319 | 3995.59  | 83.9     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 6048576    | 4778.21                | 8768.83          | 6   | 28091,28294,28497,28086,28289,28492 | 3990.62  | 83.52    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 5048576    | 4628.18                | 8535.1           | 6   | 25648,25851,26054,25643,25846,26049 | 3906.92  | 84.42    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 5048576    | 4731.06                | 8586.61          | 6   | 32347,32550,32753,32342,32545,32748 | 3855.55  | 81.49    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | asc        | 315536     | 2399.14                | 6147.26          | 6   | 13797,13972,14147,13792,13967,14142 | 3748.12  | 156.23   |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 7048576    | 6388.03                | 10077.93         | 6   | 32361,32564,32767,32356,32559,32762 | 3689.9   | 57.76    |
