+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 |   diff   | pct_diff |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 3048576    | 1146.51                    | 1641.92                | 6   | 26241,26444,26647,26243,26446,26649 | 495.41   | 43.21    |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 4048576    | 2599.38                    | 3072.17                | 4   | 27466,27669,27468,27671             | 472.79   | 18.19    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 4048576    | 1772.29                    | 2185.23                | 6   | 26248,26451,26654,26250,26453,26656 | 412.94   | 23.3     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4450.11                    | 4815.32                | 6   | 11723,11898,12073,11725,11900,12075 | 365.21   | 8.21     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 3048576    | 1961.95                    | 2324.26                | 6   | 27459,27662,27865,27461,27664,27867 | 362.31   | 18.47    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 2048576    | 778.66                     | 1103.99                | 6   | 25016,25219,25422,25018,25221,25424 | 325.33   | 41.78    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 2048576    | 769.32                     | 1093.11                | 6   | 26234,26437,26640,26236,26439,26642 | 323.79   | 42.09    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 565536     | 2205.04                    | 2513.02                | 6   | 16448,16623,16798,16450,16625,16800 | 307.98   | 13.97    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4486.65                    | 4793.4                 | 6   | 14348,14523,14698,14350,14525,14700 | 306.75   | 6.84     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 2048576    | 1310.68                    | 1577.57                | 6   | 27452,27655,27858,27454,27657,27860 | 266.89   | 20.36    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 4034.31                    | 4270.97                | 6   | 11716,11891,12066,11718,11893,12068 | 236.66   | 5.87     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4211.9                     | 4432.44                | 6   | 3323,3498,3673,3325,3500,3675       | 220.54   | 5.24     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 565536     | 2179.38                    | 2399.78                | 6   | 9623,9798,9973,9625,9800,9975       | 220.4    | 10.11    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 503036     | 1941.22                    | 2155.62                | 6   | 9616,9791,9966,9618,9793,9968       | 214.4    | 11.04    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 440536     | 3515.68                    | 3728.35                | 6   | 11709,11884,12059,11711,11886,12061 | 212.67   | 6.05     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 440536     | 1726.91                    | 1930.04                | 6   | 9609,9784,9959,9611,9786,9961       | 203.13   | 11.76    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 378036     | 1455.49                    | 1644.9                 | 6   | 9602,9777,9952,9604,9779,9954       | 189.41   | 13.01    |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 386.59                     | 569.58                 | 6   | 25009,25212,25415,25011,25214,25417 | 182.99   | 47.33    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 4057.67                    | 4236.74                | 6   | 14341,14516,14691,14343,14518,14693 | 179.07   | 4.41     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 315536     | 2501.67                    | 2676.19                | 6   | 14320,14495,14670,14322,14497,14672 | 174.52   | 6.98     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 503036     | 3726.15                    | 3897.79                | 6   | 3316,3491,3666,3318,3493,3668       | 171.64   | 4.61     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 1048576    | 396.42                     | 557.97                 | 6   | 26227,26430,26633,26229,26432,26635 | 161.55   | 40.75    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 503036     | 3763.79                    | 3919.65                | 6   | 5941,6116,6291,5943,6118,6293       | 155.86   | 4.14     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 503036     | 2011.66                    | 2162.07                | 6   | 16441,16616,16791,16443,16618,16793 | 150.41   | 7.48     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 253036     | 999.02                     | 1146.08                | 6   | 9588,9763,9938,9590,9765,9940       | 147.06   | 14.72    |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 3018.81                    | 3164.79                | 6   | 11702,11877,12052,11704,11879,12054 | 145.98   | 4.84     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1995.22                    | 2137.54                | 6   | 14313,14488,14663,14315,14490,14665 | 142.32   | 7.13     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1215.2                     | 1354.98                | 6   | 9595,9770,9945,9597,9772,9947       | 139.78   | 11.5     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 440536     | 1761.3                     | 1899.4                 | 6   | 16434,16609,16784,16436,16611,16786 | 138.1    | 7.84     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 4243.86                    | 4381.7                 | 6   | 5948,6123,6298,5950,6125,6300       | 137.84   | 3.25     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2328.88                    | 2465.04                | 6   | 3295,3470,3645,3297,3472,3647       | 136.16   | 5.85     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3314.09                    | 3448.89                | 6   | 5934,6109,6284,5936,6111,6286       | 134.8    | 4.07     |
