+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+---------------+-------------------------+-----+-------------------------------------+-----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-munro | patched-geoghegan-munro | cnt |                 qid                 |   diff    | pct_diff |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 512144     | 2481.49       | 2498.17                 | 6   | 3745,3880,4015,3744,3879,4014       | 16.68     | 0.67     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 32768      | 176.15        | 188.77                  | 6   | 4535,4670,4805,4534,4669,4804       | 12.62     | 7.16     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 262144     | 1280.78       | 1292.01                 | 6   | 1715,1850,1985,1714,1849,1984       | 11.23     | 0.88     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 262144     | 1348.54       | 1358.83                 | 6   | 4550,4685,4820,4549,4684,4819       | 10.29     | 0.76     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 247.16        | 256.84                  | 6   | 895,1030,1165,894,1029,1164         | 9.68      | 3.92     |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 8192       | 124.17        | 131.71                  | 6   | 7270,7390,7510,7269,7389,7509       | 7.54      | 6.07     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 4096       | 28.13         | 35.42                   | 6   | 3710,3845,3980,3709,3844,3979       | 7.29      | 25.92    |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 512        | 38.62         | 45.11                   | 6   | 7610,7730,7850,7609,7729,7849       | 6.49      | 16.8     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 1024       | 15.43         | 20.3                    | 6   | 4915,5050,5185,4914,5049,5184       | 4.87      | 31.56    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 32768      | 173.38        | 177.78                  | 6   | 3725,3860,3995,3724,3859,3994       | 4.4       | 2.54     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 352.28        | 356.5                   | 6   | 4540,4675,4810,4539,4674,4809       | 4.22      | 1.2      |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 2048       | 21.13         | 24.91                   | 6   | 1680,1815,1950,1679,1814,1949       | 3.78      | 17.89    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 64         | 10.27         | 13.82                   | 6   | 440,575,710,439,574,709             | 3.55      | 34.57    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 262144     | 938.1         | 941.53                  | 6   | 6170,6305,6440,6169,6304,6439       | 3.43      | 0.37     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 512        | 14.78         | 17.8                    | 6   | 4505,4640,4775,4504,4639,4774       | 3.02      | 20.43    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 256        | 11.74         | 14.71                   | 6   | 3690,3825,3960,3689,3824,3959       | 2.97      | 25.3     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 512        | 12.89         | 15.72                   | 6   | 5720,5855,5990,5719,5854,5989       | 2.83      | 21.96    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 64         | 9.94          | 12.75                   | 6   | 1655,1790,1925,1654,1789,1924       | 2.81      | 28.27    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | asc        | 1024       | 13.43         | 16.13                   | 6   | 1675,1810,1945,1674,1809,1944       | 2.7       | 20.1     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 128        | 8.26          | 10.84                   | 6   | 5305,5440,5575,5304,5439,5574       | 2.58      | 31.23    |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 32         | 7.42          | 9.96                    | 6   | 1245,1380,1515,1244,1379,1514       | 2.54      | 34.23    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 8192       | 41.46         | 43.98                   | 6   | 6145,6280,6415,6144,6279,6414       | 2.52      | 6.08     |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 4096       | 101.61        | 104.1                   | 6   | 8705,8825,8945,8704,8824,8944       | 2.49      | 2.45     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2048       | 21.12         | 23.52                   | 6   | 2895,3030,3165,2894,3029,3164       | 2.4       | 11.36    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 2048       | 53.03         | 55.42                   | 6   | 8700,8820,8940,8699,8819,8939       | 2.39      | 4.51     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 256        | 11.2          | 13.58                   | 6   | 1260,1395,1530,1259,1394,1529       | 2.38      | 21.25    |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 8192       | 47.44         | 49.76                   | 6   | 2095,2230,2365,2094,2229,2364       | 2.32      | 4.89     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 16384      | 70.45         | 72.75                   | 6   | 885,1020,1155,884,1019,1154         | 2.3       | 3.26     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 65536      | 330.72        | 332.86                  | 6   | 3730,3865,4000,3729,3864,3999       | 2.14      | 0.65     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 32768      | 181.71        | 183.81                  | 6   | 2510,2645,2780,2509,2644,2779       | 2.1       | 1.16     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 32         | 6.38          | 8.42                    | 6   | 4080,4215,4350,4079,4214,4349       | 2.04      | 31.97    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 256        | 9.48          | 11.5                    | 6   | 3285,3420,3555,3284,3419,3554       | 2.02      | 21.31    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 128        | 11.08         | 13.06                   | 6   | 3685,3820,3955,3684,3819,3954       | 1.98      | 17.87    |
| 6   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 1024       | 27.31         | 29.27                   | 6   | 8695,8815,8935,8694,8814,8934       | 1.96      | 7.18     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | desc       | 64         | 6.39          | 8.22                    | 6   | 5300,5435,5570,5299,5434,5569       | 1.83      | 28.64    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 128        | 9.53          | 11.35                   | 6   | 3280,3415,3550,3279,3414,3549       | 1.82      | 19.1     |
| 5   | 40         | 10000000 | 312500    | 238096   | 0    | 512   | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 128        | 11.24         | 13.06                   | 6   | 7600,7720,7840,7599,7719,7839       | 1.82      | 16.19    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | asc        | 512        | 13.14         | 14.91                   | 6   | 4100,4235,4370,4099,4234,4369       | 1.77      | 13.47    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 1262144    | 4470.91       | 4472.66                 | 6   | 6190,6325,6460,6189,6324,6459       | 1.75      | 0.04     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 16384      | 101.41        | 103.14                  | 6   | 480,615,750,479,614,749             | 1.73      | 1.71     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 64         | 9.59          | 11.31                   | 6   | 5705,5840,5975,5704,5839,5974       | 1.72      | 17.94    |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 8192       | 48.29         | 50.01                   | 6   | 3310,3445,3580,3309,3444,3579       | 1.72      | 3.56     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | asc         | desc       | 64         | 9.99          | 11.58                   | 6   | 4490,4625,4760,4489,4624,4759       | 1.59      | 15.92    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 4096       | 25.81         | 27.4                    | 6   | 6140,6275,6410,6139,6274,6409       | 1.59      | 6.16     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | desc       | 262144     | 1278.33       | 1279.91                 | 6   | 3740,3875,4010,3739,3874,4009       | 1.58      | 0.12     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 1762144    | 8975.02       | 8976.6                  | 6   | 2555,2690,2825,2554,2689,2824       | 1.58      | 0.02     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 16384      | 72.06         | 73.51                   | 6   | 6150,6285,6420,6149,6284,6419       | 1.45      | 2.01     |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 64         | 8.97          | 10.41                   | 6   | 4895,5030,5165,4894,5029,5164       | 1.44      | 16.05    |
| 4   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | decrease  | desc        | desc       | 32768      | 131.73        | 133.15                  | 6   | 6155,6290,6425,6154,6289,6424       | 1.42      | 1.08     |
| 3   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | worker   | 12        | 16  | decrease  | asc         | asc        | 32768      | 161.08        | 162.5                   | 6   | 3320,3455,3590,3319,3454,3589       | 1.42      | 0.88     |
| 2   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | desc        | asc        | 2048       | 21.74         | 23.06                   | 6   | 2490,2625,2760,2489,2624,2759       | 1.32      | 6.07     |
| 1   | 20         | 10000000 | 2500000   | 476191   | 1024 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1024       | 18.43         | 19.74                   | 6   | 1270,1405,1540,1269,1404,1539       | 1.31      | 7.11     |
