+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values |  master  | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 95268      | 1461.47  | 1517.73                          | 6   | 22464,22632,22800,22469,22637,22805 | 56.26    | 3.85     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1235.9   | 1290.98                          | 6   | 9591,9766,9941,9596,9771,9946       | 55.08    | 4.46     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 4048576    | 6255.88  | 6307.18                          | 6   | 25635,25838,26041,25640,25843,26046 | 51.3     | 0.82     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 157768     | 1187.65  | 1237.16                          | 6   | 24494,24662,24830,24499,24667,24835 | 49.51    | 4.17     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 64018      | 978.14   | 1026.4                           | 6   | 22457,22625,22793,22462,22630,22798 | 48.26    | 4.93     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 6048576    | 9343.06  | 9390.46                          | 6   | 25649,25852,26055,25654,25857,26060 | 47.4     | 0.51     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 5048576    | 1834.95  | 1878.8                           | 6   | 25033,25236,25439,25038,25241,25444 | 43.85    | 2.39     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 64018      | 467.3    | 509.9                            | 6   | 17921,18089,18257,17926,18094,18262 | 42.6     | 9.12     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 64018      | 971.15   | 1013.3                           | 6   | 19937,20105,20273,19942,20110,20278 | 42.15    | 4.34     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 128036     | 504.79   | 542.33                           | 6   | 9570,9745,9920,9575,9750,9925       | 37.54    | 7.44     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 5048576    | 3178.11  | 3215.01                          | 4   | 27469,27672,27474,27677             | 36.9     | 1.16     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 95268      | 729.93   | 763.89                           | 6   | 24480,24648,24816,24485,24653,24821 | 33.96    | 4.65     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 1024.02  | 1054.75                          | 6   | 14295,14470,14645,14300,14475,14650 | 30.73    | 3.0      |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 4048576    | 1467.5   | 1497.43                          | 6   | 25026,25229,25432,25031,25234,25437 | 29.93    | 2.04     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 65536      | 261.9    | 291.0                            | 6   | 16388,16563,16738,16393,16568,16743 | 29.1     | 11.11    |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 261.48   | 289.31                           | 6   | 9563,9738,9913,9568,9743,9918       | 27.83    | 10.64    |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 253036     | 1907.35  | 1933.9                           | 6   | 5909,6084,6259,5914,6089,6264       | 26.55    | 1.39     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 527.64   | 554.15                           | 6   | 11663,11838,12013,11668,11843,12018 | 26.51    | 5.02     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 32768      | 497.01   | 522.37                           | 6   | 19930,20098,20266,19935,20103,20271 | 25.36    | 5.1      |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 496.88   | 522.2                            | 6   | 5888,6063,6238,5893,6068,6243       | 25.32    | 5.1      |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 14078.66 | 14103.97                         | 6   | 25670,25873,26076,25675,25878,26081 | 25.31    | 0.18     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1429.02  | 1454.12                          | 6   | 5902,6077,6252,5907,6082,6257       | 25.1     | 1.76     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 963.39   | 986.99                           | 6   | 5895,6070,6245,5900,6075,6250       | 23.6     | 2.45     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 32768      | 259.34   | 281.87                           | 6   | 11656,11831,12006,11661,11836,12011 | 22.53    | 8.69     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1532.42  | 1554.67                          | 6   | 11677,11852,12027,11682,11857,12032 | 22.25    | 1.45     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 126518     | 960.55   | 982.78                           | 6   | 24487,24655,24823,24492,24660,24828 | 22.23    | 2.31     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 7048576    | 10912.93 | 10935.15                         | 6   | 25656,25859,26062,25661,25864,26067 | 22.22    | 0.2      |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 4048576    | 1481.49  | 1502.92                          | 6   | 26244,26447,26650,26249,26452,26655 | 21.43    | 1.45     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 128036     | 509.0    | 527.78                           | 6   | 16395,16570,16745,16400,16575,16750 | 18.78    | 3.69     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 8048576    | 5080.4   | 5099.17                          | 4   | 27490,27693,27495,27698             | 18.77    | 0.37     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 3048576    | 4716.0   | 4734.65                          | 6   | 26846,27049,27252,26851,27054,27257 | 18.65    | 0.4      |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 518.35   | 536.38                           | 6   | 14288,14463,14638,14293,14468,14643 | 18.03    | 3.48     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | desc       | 32768      | 506.79   | 524.45                           | 6   | 22450,22618,22786,22455,22623,22791 | 17.66    | 3.48     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 8048576    | 2938.6   | 2956.1                           | 6   | 25054,25257,25460,25059,25262,25465 | 17.5     | 0.6      |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1515.87  | 1532.28                          | 6   | 14302,14477,14652,14307,14482,14657 | 16.41    | 1.08     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 64018      | 504.09   | 520.49                           | 6   | 24473,24641,24809,24478,24646,24814 | 16.4     | 3.25     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 16384      | 249.65   | 265.6                            | 6   | 19923,20091,20259,19928,20096,20264 | 15.95    | 6.39     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 32768      | 252.64   | 268.1                            | 6   | 24466,24634,24802,24471,24639,24807 | 15.46    | 6.12     |
