+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | desc       | 189018     | 1275.01                      | 1358.79                          | 6   | 23495,23663,23831,23498,23666,23834 | 83.78    | 6.57     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 9048576    | 14023.53                     | 14103.97                         | 6   | 25672,25875,26078,25675,25878,26081 | 80.44    | 0.57     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4300.13                      | 4380.4                           | 6   | 3321,3496,3671,3324,3499,3674       | 80.27    | 1.87     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 565536     | 4676.45                      | 4752.9                           | 6   | 11721,11896,12071,11724,11899,12074 | 76.45    | 1.63     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3330.03                      | 3405.28                          | 6   | 5932,6107,6282,5935,6110,6285       | 75.25    | 2.26     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 378036     | 1578.41                      | 1653.01                          | 6   | 16425,16600,16775,16428,16603,16778 | 74.6     | 4.73     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 440536     | 1177.1                       | 1248.74                          | 6   | 6982,7157,7332,6985,7160,7335       | 71.64    | 6.09     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 251518     | 1950.59                      | 2015.27                          | 6   | 24517,24685,24853,24520,24688,24856 | 64.68    | 3.32     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 220268     | 1715.79                      | 1771.1                           | 6   | 24510,24678,24846,24513,24681,24849 | 55.31    | 3.22     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 190536     | 2934.51                      | 2989.76                          | 6   | 11154,11329,11504,11157,11332,11507 | 55.25    | 1.88     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 126518     | 1738.31                      | 1792.22                          | 6   | 21465,21633,21801,21468,21636,21804 | 53.91    | 3.1      |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 503036     | 3826.64                      | 3878.08                          | 6   | 7514,7689,7864,7517,7692,7867       | 51.44    | 1.34     |
| 2   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 1949.79                      | 1999.99                          | 6   | 3286,3461,3636,3289,3464,3639       | 50.2     | 2.57     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | desc       | 282768     | 3035.01                      | 3084.9                           | 6   | 20492,20660,20828,20495,20663,20831 | 49.89    | 1.64     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 126518     | 1731.52                      | 1780.3                           | 6   | 18945,19113,19281,18948,19116,19284 | 48.78    | 2.82     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 3169.81                      | 3218.21                          | 6   | 11700,11875,12050,11703,11878,12053 | 48.4     | 1.53     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | desc       | 220268     | 1445.98                      | 1494.14                          | 6   | 23502,23670,23838,23505,23673,23841 | 48.16    | 3.33     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 1048576    | 406.25                       | 454.09                           | 6   | 25007,25210,25413,25010,25213,25416 | 47.84    | 11.78    |
