+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------+-----+-------------------------------------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz  | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-munro-728899ba | cnt |                 qid                 | pct_diff |
+-----+------------+----------+-----------+----------+--------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+------------------------+-----+-------------------------------------+----------+
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 256        | 6.57                             | 11.73                  | 6   | 44876,45065,45254,44877,45066,45255 | 78.54    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 4          | 1.23                             | 2.16                   | 6   | 14195,14370,14545,14196,14371,14546 | 75.61    |
| 21  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 128        | 5.94                             | 10.39                  | 6   | 43735,43924,44113,43736,43925,44114 | 74.92    |
| 16  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4          | 1.15                             | 1.99                   | 6   | 33410,33613,33816,33411,33614,33817 | 73.04    |
| 2   | 100        | 10000000 | 625000    | 93458    | 0      | 8     | 16   | worker   | 12        | 16  | increase  | desc        | desc       | 2          | 1.06                             | 1.82                   | 6   | 2638,2813,2988,2639,2814,2989       | 71.7     |
| 22  | 60         | 10000000 | 2500000   | 156250   | 262144 | 8     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 512        | 11.32                            | 19.35                  | 6   | 46584,46773,46962,46585,46774,46963 | 70.94    |
| 7   | 80         | 10000000 | 625000    | 117648   | 16     | 0     | 16   | worker   | 12        | 16  | decrease  | asc         | asc        | 1          | 1.06                             | 1.79                   | 6   | 12606,12781,12956,12607,12782,12957 | 68.87    |
| 25  | 80         | 10000000 | 2500000   | 117648   | 16     | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512144     | 617.87                           | 1031.54                | 6   | 52891,53080,53269,52892,53081,53270 | 66.95    |
| 15  | 80         | 10000000 | 10000000  | 117648   | 1024   | 8     | 1    | worker   | 12        | 16  | decrease  | asc         | asc        | 16         | 1.74                             | 2.9                    | 6   | 29770,29973,30176,29771,29974,30177 | 66.67    |
